team,espn_name,twitter,url,ncaa_id,stats_name,private,team_state,conference,division
Idaho,Idaho,vandalswbb,https://govandals.com/sports/womens-basketball,295,Idaho,NA,ID,Big Sky,I
Benedictine (IL),Benedictine (IL),benuwbb,https://benueagles.com/sports/womens-basketball,296,Benedictine (IL),NA,IL,NACC,III
Illinois Col.,Illinois Col.,ICWBB,https://illinoiscollegeathletics.com/sports/womens-basketball,297,Illinois College,NA,IL,MWC,III
Illinois State,Illinois St,redbirdwbb,https://goredbirds.com/sports/womens-basketball,299,Illinois St.,NA,IL,MVC,I
Ill. Wesleyan,Ill. Wesleyan,IWUWomensBball,https://www.iwusports.com/sports/womens-basketball,300,Ill. Wesleyan,NA,IL,CCIW,III
Illinois,Illinois,illiniwbb,https://fightingillini.com/sports/womens-basketball,301,Illinois,NA,IL,Big Ten,I
Illinois-Chicago,UIC,UIC_WBB,https://uicflames.com/sports/womens-basketball,302,Uic,NA,IL,MVC,I
Indiana State,Indiana St,indstwbb,https://gosycamores.com/sports/womens-basketball,305,Indiana St.,NA,IN,MVC,I
Indiana,Indiana,indianawbb,https://iuhoosiers.com/sports/womens-basketball,306,Indiana,NA,IN,Big Ten,I
Indiana (PA),Indiana (PA),IUP_WBB,https://iupathletics.com/sports/womens-basketball,307,Indiana (PA),NA,PA,PSAC,II
Purdue-Fort Wayne,Purdue FW,mastodonwbb,https://gomastodons.com/sports/womens-basketball,308,Purdue Fort Wayne,NA,IN,Horizon,I
UIndy,UIndy,UIndyWBB,https://athletics.uindy.edu/sports/womens-basketball,309,UIndy,NA,IN,GLVC,II
Iona,Iona,ionawbb,https://ionagaels.com/sports/womens-basketball,310,Iona,NA,NY,MAAC,I
Iowa State,Iowa State,cyclonewbb,https://cyclones.com/sports/womens-basketball,311,Iowa St.,NA,IA,Big 12,I
Iowa,Iowa,iowawbb,https://hawkeyesports.com/sports/wbball,312,Iowa,NA,IA,Big Ten,I
Ithaca,Ithaca,ithacawbb,https://athletics.ithaca.edu/sports/womens-basketball,313,Ithaca,NA,NY,Liberty League,III
Jackson St.,Jackson St.,GoJSUTigersWBB,https://gojsutigers.com/sports/womens-basketball,314,Jackson St.,NA,MS,SWAC,I
Jacksonville St.,Jax State,JSUGamecocksWBB,https://jsugamecocksports.com/sports/womens-basketball,315,NA,NA,AL,ASUN,I
Jacksonville,Jacksonville,jax_wbb,https://judolphins.com/sports/womens-basketball,316,Jacksonville,NA,FL,ASUN,I
James Madison,James Madison,JMUWBasketball,https://jmusports.com/sports/womens-basketball,317,James Madison,NA,VA,Sun Belt,I
John Carroll,John Carroll,JohnCarroll_WBB,https://jcusports.com/sports/womens-basketball,320,John Carroll,FALSE,OH,OAC,III
John Jay,John Jay,JJCWBasketball,https://johnjayathletics.com/sports/womens-basketball,321,John Jay,NA,NY,CUNYAC,III
Johns Hopkins,Johns Hopkins,JHUwbb,https://hopkinssports.com/sports/womens-basketball,322,Johns Hopkins,NA,MD,Centennial,III
Johnson C. Smith,Johnson C. Smith,jcsmith_wbb,https://goldenbullsports.com/sports/womens-basketball,323,Johnson C. Smith,NA,NC,CIAA,II
Juniata,Juniata,JuniataWBB,https://www.juniatasports.net/sports/wbkb/index,325,NA,NA,PA,Landmark,III
Kalamazoo,Kalamazoo,KzooWBball,https://hornets.kzoo.edu/sports/wbkb/index,326,NA,NA,MI,Michigan Intercol. Ath. Assn.,III
Kansas State,Kansas St,kstatewbb,https://www.kstatesports.com/sports/womens-basketball,327,Kansas St.,NA,KS,Big 12,I
Kansas,Kansas,kuwbball,https://kuathletics.com/sports/wbball/,328,Kansas,NA,KS,Big 12,I
Keene St.,Keene St.,KeeneWBB,https://keeneowls.com/sports/womens-basketball,330,Keene St.,NA,NH,Little East,III
Kent State,Kent State,kentstwbb,https://kentstatesports.com/sports/womens-basketball,331,Kent St.,NA,OH,MAC,I
Kentucky St.,Kentucky St.,KYSUWBB,https://ksuthorobreds.com/sports/womens-basketball,332,Kentucky St.,NA,KY,SIAC,II
Ky. Wesleyan,Ky. Wesleyan,kwcwomenshoops,https://kwcpanthers.com/sports/womens-basketball,333,Ky. Wesleyan,NA,KY,G-MAC,II
Kentucky,Kentucky,kentuckywbb,https://ukathletics.com/sports/wbball,334,Kentucky,NA,KY,SEC,I
Kenyon,Kenyon,KenyonWBB,https://athletics.kenyon.edu/sports/womens-basketball,335,Kenyon,NA,OH,NCAC,III
King's (PA),King's (PA),Monarchs_KCWB,https://kingscollegeathletics.com/sports/womens-basketball,336,King's (PA),NA,PA,MAC Freedom,III
Knox,Knox,KnoxWomensBBall,https://prairiefire.knox.edu/sports/womens-basketball,337,Knox,NA,IL,MWC,III
Kutztown,Kutztown,KUBearsWBB,https://kubears.com/sports/womens-basketball,339,Kutztown,NA,PA,PSAC,II
LaSalle,LaSalle,lasalle_wbb,https://goexplorers.com/sports/womens-basketball,340,La Salle,NA,PA,Atlantic 10,I
La Verne,La Verne,ULVLeopardsWBB,https://www.leopardathletics.com/sports/wbkb/index,341,NA,NA,CA,SCIAC,III
Lafayette,Lafayette,lafayettewbb,https://goleopards.com/sports/womens-basketball,342,Lafayette,NA,PA,Patriot,I
Lake Forest,Lake Forest,LFC_WBB,https://www.goforesters.com/sports/wbkb/index,344,NA,NA,IL,MWC,III
Lake Superior St.,Lake Superior St.,LakeStateWBB,https://www.lssulakers.com/sports/w-baskbl/index,345,NA,NA,MI,GLIAC,II
Lamar,Lamar,lamarwbb,https://lamarcardinals.com/sports/womens-basketball,346,Lamar University,NA,TX,Southland,I
Lawrence,Lawrence,LUVikingsWBB,https://vikings.lawrence.edu/sports/womens-basketball,348,Lawrence University,NA,WI,MWC,III
Le Moyne,Le Moyne,LeMoyneWBB,https://lemoynedolphins.com/sports/womens-basketball,349,NA,NA,NY,NE10,II
Lebanon Valley,Lebanon Valley,lvcwbb,https://godutchmen.com/sports/womens-basketball,351,NA,NA,PA,MAC Commonwealth,III
Lehigh,Lehigh,lehighwbb,https://lehighsports.com/sports/womens-basketball,352,Lehigh,NA,PA,Patriot,I
Lewis,Lewis,LewisWBBall,https://lewisflyers.com/sports/womens-basketball,354,Lewis,NA,IL,GLVC,II
Liberty,Liberty,libertywbb,https://www.liberty.edu/flames/index.cfm?PID=36964&teamID=7,355,Liberty,NA,VA,ASUN,I
West Alabama,West Alabama,UWA_WBB,https://uwaathletics.com/sports/womens-basketball,358,West Ala.,NA,AL,Gulf South,II
Lock Haven,Lock Haven,LHUWBB,https://www.golhu.com/sports/womens-basketball,360,Lock Haven,NA,PA,PSAC,II
Long Island,Long Island,liuwbb,https://www.liuathletics.com/sports/womens-basketball,361,Liu,NA,NY,NEC,I
Longwood,Longwood,longwoodwbb,https://longwoodlancers.com/sports/womens-basketball,363,Longwood,NA,VA,Big South,I
Loras,Loras,DuhawkWBB,https://duhawks.com/sports/womens-basketball,364,Loras,NA,IA,American Rivers,III
LSU,LSU,LSUwbkb,https://lsusports.net/sports/womens-basketball,365,Lsu,NA,LA,SEC,I
Louisiana Tech,Louisiana Tech,LATechWBB,https://latechsports.com/sports/womens-basketball,366,Louisiana Tech,NA,LA,C-USA,I
Louisville,Louisville,LouisvilleWBB,https://gocards.com/sports/womens-basketball,367,Louisville,NA,KY,ACC,I
UMass Lowell,UMass Lowell,riverhawkwbb,https://goriverhawks.com/sports/womens-basketball,368,UMass Lowell,NA,MA,America East,I
Loyola-Maryland,Loyola MD,loyolawbb,https://loyolagreyhounds.com/sports/womens-basketball,369,Loyola Maryland,NA,MD,Patriot,I
Loyola Marymount,LMU,lmulionswb,https://lmulions.com/sports/womens-basketball,370,Loyola Marymount,NA,CA,WCC,I
Loyola-Chicago,Loyola Chicago,ramblerswbb,https://loyolaramblers.com/sports/womens-basketball,371,Loyola Chicago,NA,IL,Atlantic 10,I
Luther,Luther,LutherWBB,https://luthernorse.com/sports/womens-basketball,372,NA,NA,IA,American Rivers,III
Lycoming,Lycoming,lycowomensbb,https://lycomingathletics.com/sports/womens-basketball,373,NA,NA,PA,MAC Freedom,III
Lynchburg,Lynchburg,lynchburg_wbb,https://www.lynchburgsports.com/sports/wbkb/index,374,NA,NA,VA,ODAC,III
Macalester,Macalester,MacalesterWBB,https://athletics.macalester.edu/sports/womens-basketball,376,Macalester College,NA,MN,MIAC,III
MacMurray,MacMurray,MacWHoops,https://mchighlanders.com/sports/womens-basketball,377,NA,NA,IL,NA,NA
Me.-Farmington,Me.-Farmington,UMFwomenshoops,https://athletics.umf.maine.edu/sports/wbkb/index,379,NA,NA,ME,North Atlantic,III
Maine,Maine,blackbearswbb,https://goblackbears.com/sports/womens-basketball,380,Maine,NA,ME,America East,I
Manhattan,Manhattan,manhattan_wbb,https://gojaspers.com/sports/womens-basketball,381,Manhattan,NA,NY,MAAC,I
Manhattanville,Manhattanville,valiantswbb,https://govaliants.com/sports/womens-basketball,382,NA,FALSE,NY,Skyline,III
Minnesota St.,Minnesota St.,MinnStWBB,https://msumavericks.com/sports/womens-basketball,383,NA,NA,MN,NSIC,II
Mansfield,Mansfield,MansfieldWBB,https://gomounties.com/sports/womens-basketball,384,Mansfield,NA,PA,PSAC,II
Marietta,Marietta,Marietta_WBB,https://pioneers.marietta.edu/sports/womens-basketball,385,Marietta,NA,OH,OAC,III
Marist,Marist,maristwbb,https://goredfoxes.com/sports/womens-basketball,386,Marist,NA,NY,MAAC,I
Marquette,Marquette,marquettewbb,https://gomarquette.com/sports/womens-basketball,387,Marquette,NA,WI,Big East,I
Marshall,Marshall,herdwbb,https://herdzone.com/sports/womens-basketball,388,Marshall,NA,WV,Sun Belt,I
Mary Baldwin,Mary Baldwin,MBaldwinWBB,https://www.marybaldwinathletics.com/sports/wbkb/index,389,NA,NA,VA,USA South,III
Mary Washington,Mary Washington,umwwbasketball,https://umweagles.com/sports/wbkb/index,390,NA,NA,VA,C2C,III
UMBC,UMBC,umbcwbb,https://umbcretrievers.com/sports/womens-basketball,391,Umbc,NA,MD,America East,I
Maryland,Maryland,TerpsWBB,https://umterps.com/sports/womens-basketball,392,Maryland,NA,MD,Big Ten,I
Maryland-Eastern Shore,MD Eastern,eshawkswbb,https://easternshorehawks.com/sports/womens-basketball,393,Maryland Eastern Shore,NA,MD,MEAC,I
Marymount (VA),Marymount (VA),Marymount_WBB,https://www.marymountsaints.com/sports/wbkb/index,394,NA,NA,VA,Atlantic East,III
Maryville (MO),Maryville (MO),MaryvilleWBB,https://maryvillesaints.com/sports/womens-basketball,395,Maryville (MO),FALSE,MO,GLVC,II
Marywood,Marywood,MarywoodWBB,https://marywoodpacers.com/sports/womens-basketball,397,Marywood,NA,PA,Atlantic East,III
MIT,MIT,mitwbball,https://mitathletics.com/sports/womens-basketball,398,NA,NA,MA,NEWMAC,III
Massachusetts,UMass,umasswbb,https://umassathletics.com/sports/womens-basketball,400,Massachusetts,NA,MA,Atlantic 10,I
McNeese State,McNeese,mcneesewbb,https://mcneesesports.com/sports/womens-basketball,402,McNeese,NA,LA,Southland,I
Memphis,Memphis,memphiswbb,https://gotigersgo.com/sports/womens-basketball,404,Memphis,NA,TN,AAC,I
Mercer,Mercer,mercer_wbb,https://mercerbears.com/sports/womens-basketball,406,Mercer,NA,NJ,SoCon,I
Mercy,Mercy,WbbMercy,https://mercyathletics.com/sports/womens-basketball,407,Mercy,NA,NY,ECC,II
Mercyhurst,Mercyhurst,HurstWBB,https://hurstathletics.com/sports/womens-basketball,408,Mercyhurst,NA,PA,PSAC,II
Meredith,Meredith,MeredithCBB,https://www.goavengingangels.com/sports/wbkb/index,409,NA,NA,NC,USA South,III
Merrimack,Merrimack,merrimackwbb,https://merrimackathletics.com/sports/womens-basketball,410,Merrimack,NA,MA,NEC,I
Messiah,Messiah,messiahwbball,https://gomessiah.com/sports/womens-basketball,411,NA,NA,PA,MAC Commonwealth,III
MSU Denver,MSU Denver,MSUDenverWBB,https://roadrunnersathletics.com/sports/womens-basketball,413,MSU Denver,NA,MN,RMAC,II
Miami Ohio,Miami OH,miamioh_wbb,https://miamiredhawks.com/sports/womens-basketball,414,Miami (OH),NA,OH,MAC,I
Miami,Miami,caneswbb,https://miamihurricanes.com/sports/wbball,415,Miami (FL),NA,FL,ACC,I
Michigan State,Michigan St,msu_wbasketball,https://msuspartans.com/sports/womens-basketball,416,Michigan St.,NA,MI,Big Ten,I
Michigan Tech,Michigan Tech,mtuwbb,https://www.michigantechhuskies.com/sports/wbkb/index,417,NA,NA,MI,GLIAC,II
Michigan,Michigan,umichwbball,https://mgoblue.com/sports/womens-basketball,418,Michigan,NA,MI,Big Ten,I
Middle Tennessee,MTSU,mt_wbb,https://goblueraiders.com/sports/womens-basketball,419,Middle Tenn.,NA,TN,C-USA,I
Middlebury,Middlebury,middwbball,https://athletics.middlebury.edu/sports/wbball,420,NA,NA,VT,NESCAC,III
Miles,Miles,Miles_wbb,https://milesgoldenbears.com/sports/womens-basketball,422,Miles College,NA,AL,SIAC,II
Millersville,Millersville,millersvillewbb,https://millersvilleathletics.com/sports/womens-basketball,423,Millersville,NA,PA,PSAC,II
Millikin,Millikin,MillikinWBB,https://athletics.millikin.edu/sports/womens-basketball,424,Millikin,NA,IL,CCIW,III
Millsaps,Millsaps,MillsapsWBB,https://gomajors.com/sports/womens-basketball,426,Millsaps,NA,MS,SAA,III
Minn. Duluth,Minn. Duluth,UMDWomensBBall,https://umdbulldogs.com/sports/womens-basketball,427,Minn. Duluth,NA,MN,NSIC,II
Minnesota,Minnesota,gopherwbb,https://gophersports.com/sports/womens-basketball,428,Minnesota,NA,MN,Big Ten,I
Mississippi College,Mississippi College,GoChoctaws_WBB,https://www.gochoctaws.com/sports/womens-basketball,429,Mississippi Col.,NA,MS,Gulf South,II
Mississippi State,Mississippi St,HailStateWBK,https://hailstate.com/sports/womens-basketball,430,Mississippi St.,NA,MS,SEC,I
Mississippi Valley State,Miss Valley St,ValleyStateWBB,https://mvsusports.com/sports/womens-basketball,432,Mississippi Val.,NA,MS,SWAC,I
Mississippi,Ole Miss,olemisswbb,https://olemisssports.com/sports/womens-basketball,433,Ole Miss,NA,MS,SEC,I
Missouri,Missouri,mizzouwbb,https://mutigers.com/sports/womens-basketball,434,Missouri,NA,MO,SEC,I
Missouri S&T,Missouri S&T,Miners_WBB,https://minerathletics.com/sports/womens-basketball,435,Missouri S&T,NA,MO,GLVC,II
Missouri-St. Louis,Missouri-St. Louis,UMSLWBB,https://umsltritons.com/sports/womens-basketball,436,Mo.-St. Louis,NA,MO,GLVC,II
Monmouth (IL),Monmouth (IL),ScotsWHoops,https://monmouthscots.com/sports/womens-basketball,438,NA,NA,IL,MWC,III
Monmouth,Monmouth,muhawkswbb,https://monmouthhawks.com/sports/womens-basketball,439,Monmouth,NA,NJ,CAA,I
Montana State,Montana St,msubobcatswbb,https://msubobcats.com/sports/womens-basketball,440,Montana St.,NA,MT,Big Sky,I
Montana,Montana,montanagrizwbb,https://gogriz.com/sports/womens-basketball,441,Montana,NA,MT,Big Sky,I
Montclair St.,Montclair St.,montclairstwbb,https://montclairathletics.com/sports/womens-basketball,442,NA,NA,NJ,NJAC,III
Moravian,Moravian,MoravianWBB,https://www.moraviansports.com/sports/wbkb/index,443,NA,NA,PA,Landmark,III
Morehead State,Morehead St,msueagleswbb,https://msueagles.com/sports/womens-basketball,444,Morehead St.,NA,KY,OVC,I
Morgan St.,Morgan St.,NA,https://morganstatebears.com/sports/womens-basketball,446,Morgan St.,TRUE,MD,MEAC,I
Mount Holyoke,Mount Holyoke,mhc_basketball,https://athletics.mtholyoke.edu/sports/wbkb/index,449,NA,TRUE,MA,NEWMAC,III
Mount St. Mary's,Mount St. Mary's,mount_wbb,https://mountathletics.com/sports/womens-basketball,450,Mount St. Mary's,NA,MD,MAAC,I
CMSV,CMSV,CMSVWBB,https://cmsvathletics.com/sports/womens-basketball,451,NA,NA,NY,Skyline,III
Mount Union,Mount Union,MountUnionWbb,https://athletics.mountunion.edu/sports/womens-basketball,452,Mount Union,NA,OH,OAC,III
Muhlenberg,Muhlenberg,Muhl_wbb,https://muhlenbergsports.com/sports/womens-basketball,453,Muhlenberg,NA,PA,Centennial,III
Murray State,Murray St,racerswbb,https://goracers.com/sports/womens-basketball,454,Murray St.,NA,KY,MVC,I
Muskingum,Muskingum,MuskingumWBB,https://www.fightingmuskies.com/sports/wbkb/index,455,NA,NA,OH,OAC,III
UNC Asheville,UNC Asheville,uncavlwbb,https://uncabulldogs.com/sports/womens-basketball,456,UNC Asheville,NA,NC,Big South,I
North Carolina,North Carolina,uncwbb,https://goheels.com/sports/womens-basketball,457,North Carolina,NA,NC,ACC,I
Charlotte,Charlotte,charlottewbb,https://charlotte49ers.com/sports/womens-basketball,458,Charlotte,NA,NC,C-USA,I
UNC Greensboro,UNC Greensboro,uncgwbb,https://uncgspartans.com/sports/womens-basketball,459,UNC Greensboro,NA,NC,SoCon,I
UNCW,UNC Wilmington,UNCWwomenshoops,https://uncwsports.com/sports/womens-basketball,460,Uncw,NA,NC,CAA,I
Nazareth,Nazareth,Nazareth_WBB,https://nazathletics.com/sports/womens-basketball,461,NA,NA,NY,Empire 8,III
Neb. Wesleyan,Neb. Wesleyan,NWU_WomensBB,https://nwusports.com/sports/womens-basketball,462,Neb. Wesleyan,NA,NE,American Rivers,III
Nebraska,Nebraska,huskerswbb,https://huskers.com/sports/womens-basketball,463,Nebraska,NA,NE,Big Ten,I
Omaha,Omaha,omahawbb,https://omavs.com/sports/womens-basketball,464,Omaha,NA,NE,Summit League,I
UNLV,UNLV,UNLVLadyRebels,https://unlvrebels.com/sports/womens-basketball,465,Unlv,NA,NV,Mountain West,I
Nevada,Nevada,nevadawbb,https://nevadawolfpack.com/sports/womens-basketball,466,Nevada,NA,NV,Mountain West,I
New England Col.,New England Col.,NEC_WBB,https://athletics.nec.edu/sports/wbkb/index,467,NA,NA,NH,NECC,III
Southern N.H.,Southern N.H.,SNHUWBB,https://snhupenmen.com/sports/womens-basketball,468,NA,NA,NH,NE10,II
New Hampshire,New Hampshire,unhwbb,https://unhwildcats.com/sports/womens-basketball,469,New Hampshire,NA,NH,America East,I
New Haven,New Haven,UNewHavenWBB,https://newhavenchargers.com/sports/womens-basketball,470,New Haven,NA,CT,NE10,II
New Jersey Institute of Technology,NJIT,njitwbb,https://www.njithighlanders.com/sports/womens-basketball,471,Njit,NA,NJ,America East,I
New Mexico State,New Mexico St,nmstatewbb,https://nmstatesports.com/sports/womens-basketball,472,New Mexico St.,NA,NM,WAC,I
New Mexico,New Mexico,unmlobowbb,https://golobos.com/sports/Wbball/,473,New Mexico,NA,NM,Mountain West,I
New Orleans,New Orleans,privateerswbb,https://unoprivateers.com/sports/womens-basketball,474,New Orleans,FALSE,LA,Southland,I
NYU,NYU,nyuwomenshoops,https://gonyuathletics.com/sports/womens-basketball,479,Nyu,NA,NY,UAA,III
CCNY,CCNY,ccnywbb,https://ccnyathletics.com/sports/womens-basketball,480,Ccny,NA,NY,CUNYAC,III
Niagara,Niagara,niagarawbb,https://purpleeagles.com/sports/womens-basketball,482,Niagara,NA,NY,MAAC,I
Nicholls State,Nicholls,nicholls_wbb,https://geauxcolonels.com/sports/womens-basketball,483,Nicholls St.,NA,LA,Southland,I
Nichols,Nichols,ncbison_wbball,https://nicholsathletics.com/sports/womens-basketball,484,NA,NA,MA,CCC,III
Norfolk State,Norfolk St,norfolkstatewbb,https://nsuspartans.com/sports/womens-basketball,485,Norfolk State,NA,VA,MEAC,I
MCLA,MCLA,MCLAWbasketball,https://athletics.mcla.edu/sports/wbkb/index,486,NA,NA,MA,MASCAC,III
North Alabama,North Alabama,UNAHOOPS,http://www.roarlions.com/sports/womens-basketball,487,North Ala.,NA,AL,ASUN,I
N.C. A&T,NC A&T,LadyAggieBall,https://ncataggies.com/sports/womens-basketball,488,N.C. A&T,NA,NC,CAA,I
North Carolina Central,NC Central,nccuwbb,https://nccueaglepride.com/sports/womens-basketball,489,N.C. Central,NA,NC,MEAC,I
NC State,NC State,PackWomensBball,https://gopack.com/sports/womens-basketball,490,NC State,NA,NC,ACC,I
N.C. Wesleyan,N.C. Wesleyan,NCWU_WBB,https://www.ncwcsports.com/sports/wbkb/index,491,NA,NA,NC,USA South,III
North Dakota State,N Dakota St,ndsuwbb,https://gobison.com/sports/womens-basketball,493,North Dakota St.,NA,ND,Summit League,I
North Dakota,North Dakota,UNDwbasketball,https://fightinghawks.com/sports/womens-basketball,494,North Dakota,NA,ND,Summit League,I
North Park,North Park,NPU_womenshoops,https://athletics.northpark.edu/sports/womens-basketball,496,North Park,NA,IL,CCIW,III
North Texas,North Texas,meangreenwbb,https://meangreensports.com/sports/womens-basketball,497,NA,NA,TX,C-USA,I
Louisiana Monroe,UL Monroe,ulm_wbb,https://ulmwarhawks.com/sports/womens-basketball,498,La.-Monroe,NA,LA,Sun Belt,I
Truman State,Truman State,Truman_WBB,https://trumanbulldogs.com/sports/womens-basketball,499,Truman,NA,MO,GLVC,II
Northeastern,Northeastern,GoNUwbasketball,https://nuhuskies.com/sports/womens-basketball,500,Northeastern,NA,MA,CAA,I
Northern Arizona,N Arizona,nau_wbb,https://nauathletics.com/sports/womens-basketball,501,Northern Ariz.,NA,AZ,Big Sky,I
Northern Colorado,N Colorado,unc_bearswbb,https://uncbears.com/sports/womens-basketball,502,Northern Colo.,NA,CO,Big Sky,I
Northern Illinois,N Illinois,gohuskieswbb,https://niuhuskies.com/sports/womens-basketball,503,Northern Ill.,NA,IL,MAC,I
Northern Iowa,Northern Iowa,uniwbb,https://unipanthers.com/sports/womens-basketball,504,Uni,NA,IA,MVC,I
Northern Kentucky,N Kentucky,nkunorsewbb,https://nkunorse.com/sports/womens-basketball,505,Northern Ky.,NA,KY,Horizon,I
Northern Michigan,Northern Michigan,NMU_WBBall,https://nmuwildcats.com/sports/womens-basketball,506,Northern Mich.,NA,MI,GLIAC,II
Northwest Missouri State,Northwest Missouri State,nwbearcatwbb,https://bearcatsports.com/sports/womens-basketball,507,Northwest Mo. St.,NA,MO,Mid-America Intercollegiate,II
Northwestern State,N'Western St,nsudemonswbb,https://nsudemons.com/sports/womens-basketball,508,Northwestern St.,NA,LA,Southland,I
Northwestern,Northwestern,nuwbball,https://nusports.com/sports/womens-basketball,509,Northwestern,NA,IL,Big Ten,I
Northwood,Northwood,NorthwoodWBB,https://www.gonorthwood.com/sports/wbkb/index,510,NA,NA,MI,G-MAC,II
Norwich,Norwich,NorwichWBB,https://www.norwichathletics.com/sports/wbkb/index,511,NA,NA,VT,Great Northeast,III
Notre Dame,Notre Dame,ndwbb,https://und.com/sports/wbball,513,Notre Dame,NA,IN,ACC,I
Oakland,Oakland,OaklandWBBall,https://goldengrizzlies.com/sports/womens-basketball,514,Oakland,NA,MI,Horizon,I
Oberlin,Oberlin,Yeo_WBB,https://goyeo.com/sports/womens-basketball,515,Oberlin,NA,OH,NCAC,III
Occidental,Occidental,tigerswbb,https://www.oxyathletics.com/sports/wbkb/index,516,Occidental,NA,CA,SCIAC,III
Ohio Northern,Ohio Northern,Onuwomensbball,https://www.onusports.com/sports/wbkb/index,517,NA,NA,OH,OAC,III
Ohio State,Ohio State,ohiostatewbb,https://ohiostatebuckeyes.com/sports/w-baskbl/,518,Ohio St.,NA,OH,Big Ten,I
Ohio,Ohio,OhioWBasketball,https://ohiobobcats.com/sports/wbball,519,NA,NA,OH,MAC,I
Oklahoma State,Oklahoma St,osuwbb,https://okstate.com/sports/womens-basketball,521,Oklahoma St.,NA,OK,Big 12,I
Oklahoma,Oklahoma,ou_wbball,https://soonersports.com/sports/womens-basketball,522,Oklahoma,NA,OK,SEC,I
Old Dominion,Old Dominion,ODU_WBB,https://odusports.com/sports/womens-basketball,523,Old Dominion,NA,VA,Sun Belt,I
Olivet,Olivet,olivet_wbb,https://www.olivetcomets.com/sports/wbkb/index,525,NA,NA,MI,Michigan Intercol. Ath. Assn.,III
SUNY Oneonta,SUNY Oneonta,OState_WBB,https://oneontaathletics.com/sports/womens-basketball,526,NA,NA,NY,SUNYAC,III
Oral Roberts,Oral Roberts,oruwbb,https://oruathletics.com/sports/womens-basketball,527,Oral Roberts,NA,OK,Summit League,I
Oregon State,Oregon St,beaverwbb,https://osubeavers.com/sports/womens-basketball,528,Oregon St.,NA,OR,Pac-12,I
Oregon,Oregon,OregonWBB,https://goducks.com/sports/womens-basketball,529,Oregon,NA,OR,Big Ten,I
Oswego St.,Oswego St.,OswegoWBball,https://oswegolakers.com/sports/womens-basketball,530,NA,NA,NY,SUNYAC,III
Otterbein,Otterbein,Otterbein_WBB,https://otterbeincardinals.com/sports/womens-basketball,531,Otterbein,NA,OH,OAC,III
Elms,Elms,ElmsBlazersWBB,https://www.ecblazers.com/sports/wbkb/index,532,NA,NA,MA,Great Northeast,III
Pace,Pace,PaceWBB,https://paceuathletics.com/sports/womens-basketball,533,NA,NA,NY,NE10,II
UT-Rio Grande Valley,UT Rio Grande,utrgvwbb,https://goutrgv.com/sports/womens-basketball,536,Utrgv,NA,TX,WAC,I
UNC Pembroke,UNC Pembroke,UNCP_WBB,https://uncpbraves.com/sports/wbball,537,UNC Pembroke,NA,NC,Conference Carolinas,II
Penn St.-Behrend,Penn St.-Behrend,PSB_WBB,https://www.psblions.com/sports/wbkb/index,538,NA,NA,PA,AMCC,III
Penn State,Penn State,pennstatewbb,https://gopsusports.com/sports/womens-basketball,539,Penn St.,NA,PA,Big Ten,I
Pennsylvania,Penn,pennwbb,https://pennathletics.com/sports/womens-basketball,540,Penn,NA,PA,Ivy League,I
Pepperdine,Pepperdine,WavesHoops,https://pepperdinewaves.com/sports/womens-basketball,541,Pepperdine,NA,CA,WCC,I
Pfeiffer,Pfeiffer,NA,https://gofalconsports.com/sports/womens-basketball,542,Pfeiffer,TRUE,NC,USA South,III
Jefferson,Jefferson,Jefferson_WBB,https://jeffersonrams.com/sports/womens-basketball,543,Jefferson,NA,PA,CACC,II
Pine Manor,Pine Manor,PineManorWBB,https://pmcathletics.com/sports/wbkb/index,544,NA,NA,MA,DIII Independent,III
Pittsburgh,Pitt,pitt_wbb,https://pittsburghpanthers.com/sports/womens-basketball,545,Pittsburgh,NA,PA,ACC,I
Pitt.-Johnstown,Pitt.-Johnstown,MountainCatsWBB,https://pittjohnstownathletics.com/sports/womens-basketball,546,Pitt-Johnstown,NA,PA,PSAC,II
Plattsburgh St.,Plattsburgh St.,Cardinals_WBB,https://gocardinalsports.com/sports/womens-basketball,547,NA,NA,NY,SUNYAC,III
Pomona-Pitzer,Pomona-Pitzer,pomonapitzerwbb,https://www.sagehens.com/sports/wbkb/index,549,NA,NA,CA,SCIAC,III
Portland State,Portland St,psuvikswbb,https://goviks.com/sports/womens-basketball,550,Portland St.,NA,OR,Big Sky,I
Portland,Portland,portlandwbb,https://portlandpilots.com/sports/womens-basketball,551,Portland,NA,OR,WCC,I
SUNY Potsdam,SUNY Potsdam,PotsdamWbb,https://potsdambears.com/sports/womens-basketball,552,NA,NA,NY,SUNYAC,III
Prairie View A&M,Prairie View,PVAMUwbb,https://pvpanthers.com/sports/womens-basketball,553,Prairie View,NA,TX,SWAC,I
Princeton,Princeton,princetonwbb,https://goprincetontigers.com/sports/womens-basketball,554,Princeton,NA,NJ,Ivy League,I
Providence,Providence,providencewbb,https://friars.com/sports/womens-basketball,556,Providence,NA,RI,Big East,I
Puget Sound,Puget Sound,PSwbasketball,https://loggerathletics.com/sports/womens-basketball,557,Puget Sound,NA,WA,NWC,III
Purdue,Purdue,purduewbb,https://purduesports.com/sports/womens-basketball,559,Purdue,NA,IN,Big Ten,I
Queens (NY),Queens (NY),QCKNIGHTS_WBB,https://queensknights.com/sports/womens-basketball,560,NA,NA,NY,ECC,II
Quincy,Quincy,QUHawksWBB,https://quhawks.com/sports/womens-basketball,561,Quincy,NA,IL,GLVC,II
