team,espn_name,twitter,url,ncaa_id,stats_name,private,team_state,conference,division
UC Riverside,UC Riverside,ucr_wbb,https://gohighlanders.com/sports/womens-basketball,111,UC Riverside,FALSE,CA,Big West,I
UC San Diego,UC San Diego,UCSDwbb,https://ucsdtritons.com/sports/womens-basketball,112,UC San Diego,NA,CA,Big West,I
UC Santa Cruz,UC Santa Cruz,ucscwbb,https://goslugs.com/sports/womens-basketball,113,NA,NA,CA,C2C,III
Calvin,Calvin,CalvinWBball,https://calvinknights.com/sports/wbkb/index,114,NA,NA,MI,Michigan Intercol. Ath. Assn.,III
Campbell,Campbell,gocamelswbb,https://gocamels.com/sports/womens-basketball,115,Campbell,NA,NC,Big South,I
Canisius,Canisius,griffswbb,https://gogriffs.com/sports/womens-basketball,116,Canisius,NA,NY,MAAC,I
Capital,Capital,CapitalWBB,https://athletics.capital.edu/sports/womens-basketball,117,NA,NA,OH,OAC,III
Carleton,Carleton,Carleton_WBB,https://athletics.carleton.edu/sports/womens-basketball,118,Carleton,NA,MN,MIAC,III
Carnegie Mellon,Carnegie Mellon,cmutartanswbb,https://athletics.cmu.edu/sports/wbkb/index,119,NA,NA,PA,UAA,III
Carroll (WI),Carroll (WI),carrollu_wbb,https://gopios.com/sports/womens-basketball,120,NA,NA,WI,CCIW,III
Carthage,Carthage,Carthage_WBB,https://athletics.carthage.edu/sports/womens-basketball,121,Carthage,NA,WI,CCIW,III
CWRU,CWRU,CWRUWBB,https://athletics.case.edu/sports/wbkb/index,122,NA,NA,OH,UAA,III
Castleton,Castleton,CastletonWBB,https://castletonsports.com/sports/womens-basketball,123,NA,NA,VT,Little East,III
Catholic,Catholic,CatholicU_WBB,https://www.catholicathletics.com/sports/wbkb/index,124,NA,NA,DC,Landmark,III
Centenary (LA),Centenary (LA),CentenaryWBB,https://www.gocentenary.com/sports/wbkb/index,125,Centenary (LA),NA,LA,SCAC,III
Central Connecticut,C Connecticut,ccsu_wbb,https://ccsubluedevils.com/sports/wbkb/index,127,NA,NA,CT,NEC,I
Central Florida,UCF,ucf_wbb,https://ucfknights.com/sports/womens-basketball,128,Ucf,NA,FL,Big 12,I
Central Michigan,C Michigan,cmuwbball,https://cmuchippewas.com/sports/womens-basketball,129,Central Mich.,NA,MI,MAC,I
Central Mo.,Central Mo.,UCMWBB,https://ucmathletics.com/sports/womens-basketball,130,Central Mo.,NA,MO,Mid-America Intercollegiate,II
Centre,Centre,CCWBasketball,https://centrecolonels.com/sports/womens-basketball,132,Centre,NA,KY,SAA,III
Chicago State,Chicago St,chistatewbb,https://www.gocsucougars.com/sports/womens-basketball,136,Chicago St.,NA,IL,DI Independent,I
Chicago,Chicago,UChicagoWBB,https://athletics.uchicago.edu/sports/wbkb/index,137,NA,NA,IL,UAA,III
Chris. Newport,Chris. Newport,cnuwbb,https://www.cnusports.com/sports/womens-basketball,139,NA,NA,VA,C2C,III
Cincinnati,Cincinnati,gobearcatswbb,https://gobearcats.com/sports/womens-basketball,140,Cincinnati,NA,OH,Big 12,I
Claremont-M-S,Claremont-M-S,cmswbasketball,https://www.cmsathletics.org/sports/wbkb/index,142,Claremont-M-S,NA,CA,SCIAC,III
Clark Atlanta,Clark Atlanta,CAU_WBasketball,https://clarkatlantasports.com/sports/womens-basketball,144,NA,NA,GA,SIAC,II
Clark (MA),Clark (MA),ClarkU_wbb,https://www.clarkathletics.com/sports/wbkb/index,145,NA,NA,MA,NEWMAC,III
Clarkson,Clarkson,Clarkson_WBB,https://clarksonathletics.com/sports/womens-basketball,146,NA,NA,NY,Liberty League,III
Clemson,Clemson,clemsonwbb,https://clemsontigers.com/sports/w-basketball/,147,Clemson,NA,SC,ACC,I
Cleveland State,Cleveland St,CSU_WBasketball,https://www.csuvikings.com/sports/w-baskbl/index,148,NA,NA,OH,Horizon,I
Coastal Carolina,Coastal,coastalwbb,https://goccusports.com/sports/womens-basketball,149,Coastal Carolina,NA,SC,Sun Belt,I
Coe,Coe,CoeCollegeWBB,https://kohawkathletics.com/sports/womens-basketball,150,NA,NA,IA,American Rivers,III
Colby,Colby,ColbyWBB,https://colbyathletics.com/sports/womens-basketball,151,NA,NA,ME,NESCAC,III
Colgate,Colgate,colgatewbb,https://colgateathletics.com/sports/womens-basketball,153,Colgate,NA,NY,Patriot,I
Colorado Col.,Colorado Col.,cc_wbb,https://cctigers.com/sports/womens-basketball,154,NA,NA,CO,SCAC,III
Colo. Sch. of Mines,Colo. Sch. of Mines,MinesWBB,https://minesathletics.com/sports/womens-basketball,155,Colo. Sch. of Mines,NA,CO,RMAC,II
Colorado St.,Colorado St.,CSUWBasketball,https://csurams.com/sports/womens-basketball,156,Colorado St.,NA,CO,Mountain West,I
Colorado,Colorado,cubuffswbb,https://cubuffs.com/sports/womens-basketball,157,Colorado,NA,CO,Big 12,I
Columbia,Columbia,culionswbb,https://gocolumbialions.com/sports/womens-basketball,158,Columbia,NA,NY,Ivy League,I
Columbus St.,Columbus St.,CSUCougarsWBB,https://csucougars.com/sports/womens-basketball,159,Columbus State,NA,GA,Peach Belt,II
Concordia Chicago,Concordia Chicago,CUCWBball,https://www.cucougars.com/sports/womens-basketball,160,Concordia Chicago,NA,IL,NACC,III
Connecticut Col.,Connecticut Col.,conncollegewbb,https://camelathletics.com/sports/womens-basketball,163,Connecticut Col.,NA,CT,NESCAC,III
UConn,UConn,UConnWBB,https://uconnhuskies.com/sports/womens-basketball,164,UConn,NA,CT,Big East,I
Coppin State,Coppin St,CoppinState_WBB,https://coppinstatesports.com/sports/womens-basketball,165,Coppin St.,NA,MD,MEAC,I
Cornell College,Cornell College,CornellRamsWBB,https://cornellrams.com/sports/womens-basketball,166,NA,NA,IA,MWC,III
Cornell,Cornell,cornellwbball,https://cornellbigred.com/sports/womens-basketball,167,Cornell,NA,NY,Ivy League,I
Creighton,Creighton,creightonwbb,https://gocreighton.com/sports/womens-basketball,169,Creighton,NA,NE,Big East,I
Dartmouth,Dartmouth,dartmouthwbb,https://dartmouthsports.com/sports/womens-basketball,172,Dartmouth,NA,VT,Ivy League,I
Davidson,Davidson,davidsonwbb,https://davidsonwildcats.com/sports/womens-basketball,173,Davidson,NA,NC,Atlantic 10,I
Davis & Elkins,Davis & Elkins,Senator_WBB,https://senatornation.com/sports/womens-basketball,174,Davis & Elkins,NA,WV,MEC,II
Dayton,Dayton,daytonwbb,https://daytonflyers.com/sports/womens-basketball,175,Dayton,NA,OH,Atlantic 10,I
DePaul,DePaul,DePaulWBBHoops,https://depaulbluedemons.com/sports/womens-basketball,176,DePaul,NA,IL,Big East,I
