year,ncaa_id,team,region,seed,qualified,wins,losses,first_round
1986,317,James Madison,,8,at-large,2,1,
1986,441,Montana,,8,auto,1,1,
1986,434,Missouri,,9,auto,1,1,
1986,519,Ohio,,9,auto,0,1,
1986,556,Providence,,9,at-large,0,1,
1986,732,Utah,,9,auto,0,1,
1986,189,Drake,,10,at-large,1,1,
1986,340,La Salle,,10,auto,0,1,
1986,419,Middle Tenn.,,10,auto,1,1,
1986,497,North Texas,,10,auto,0,1,
1987,37,Auburn,,1,auto,2,1,
1987,99,Long Beach St.,,1,at-large,3,1,
1987,366,Louisiana Tech,,1,at-large,4,1,
1987,703,Texas,,1,auto,3,1,
1987,257,Georgia,,2,at-large,1,1,
1987,518,Ohio St.,,2,auto,2,1,
1987,587,Rutgers,,2,auto,2,1,
1987,694,Tennessee,,2,at-large,5,0,
1987,312,Iowa,,3,at-large,2,1,
1987,490,NC State,,3,auto,1,1,
1987,657,Southern California,,3,auto,1,1,
1987,746,Virginia,,3,at-large,1,1,
1987,317,James Madison,,4,auto,1,1,
1987,365,LSU,,4,at-large,0,1,
1987,457,North Carolina,,4,at-large,0,1,
1987,433,Ole Miss,,4,at-large,1,1,
1987,523,Old Dominion,,5,auto,1,1,
1987,539,Penn St.,,5,at-large,0,1,
1987,659,Southern Ill.,,5,auto,1,1,
1987,736,Vanderbilt,,5,at-large,0,1,
1987,404,Memphis,,6,at-large,0,1,
1987,474,New Orleans,,6,at-large,0,1,
1987,739,Villanova,,6,auto,0,1,
1987,772,Western Ky.,,6,at-large,0,1,
1987,193,Duke,,7,at-large,1,1,
1987,328,Kansas,,7,auto,1,1,
1987,529,Oregon,,7,at-large,1,1,
1987,692,Tennessee Tech,,7,auto,1,1,
1987,301,Illinois,,8,at-large,1,1,
1987,327,Kansas St.,,8,at-large,0,1,
1987,646,South Alabama,,8,at-large,0,1,
1987,756,Washington,,8,at-large,1,1,
1987,71,Bowling Green,,9,auto,0,1,
1987,472,New Mexico St.,,9,auto,0,1,
1987,509,Northwestern,,9,at-large,1,1,
1987,606,Saint Joseph's,,9,at-large,1,1,
1987,207,Eastern Wash.,,10,auto,0,1,
1987,381,Manhattan,,10,auto,0,1,
1987,508,Northwestern St.,,10,auto,0,1,
1987,664,Southern Miss.,,10,auto,0,1,
1988,37,Auburn,,1,at-large,4,1,
1988,312,Iowa,,1,auto,2,1,
1988,694,Tennessee,,1,auto,3,1,
1988,703,Texas,,1,auto,2,1,
1988,99,Long Beach St.,,2,auto,3,1,
1988,366,Louisiana Tech,,2,at-large,5,0,
1988,392,Maryland,,2,auto,2,1,
1988,746,Virginia,,2,at-large,2,1,
1988,518,Ohio St.,,3,at-large,1,1,
1988,433,Ole Miss,,3,at-large,1,1,
1988,587,Rutgers,,3,auto,1,1,
1988,756,Washington,,3,auto,1,1,
1988,257,Georgia,,4,at-large,1,1,
1988,317,James Madison,,4,auto,1,1,
1988,441,Montana,,4,auto,0,1,
1988,657,Southern California,,4,at-large,1,1,
1988,147,Clemson,,5,at-large,0,1,
1988,463,Nebraska,,5,at-large,0,1,
1988,674,Stanford,,5,at-large,1,1,
1988,772,Western Ky.,,5,auto,0,1,
1988,288,Houston,,6,at-large,0,1,
1988,472,New Mexico St.,,6,auto,0,1,
1988,523,Old Dominion,,6,at-large,0,1,
1988,688,Syracuse,,6,at-large,0,1,
1988,157,Colorado,,7,at-large,1,1,
1988,328,Kansas,,7,auto,1,1,
1988,606,Saint Joseph's,,7,at-large,1,1,
1988,603,St. John's (NY),,7,auto,1,1,
1988,340,La Salle,,8,at-large,0,1,
1988,676,SFA,,8,at-large,1,1,
1988,648,South Carolina,,8,auto,1,1,
1988,739,Villanova,,8,at-large,0,1,
1988,8,Alabama,,9,at-large,0,1,
1988,365,LSU,,9,at-large,0,1,
1988,539,Penn St.,,9,at-large,1,1,
1988,749,Wake Forest,,9,at-large,1,1,
1988,71,Bowling Green,,10,auto,0,1,
1988,201,Eastern Ill.,,10,auto,0,1,
1988,220,Fairfield,,10,auto,0,1,
1988,419,Middle Tenn.,,10,auto,0,1,
1989,37,Auburn,,1,at-large,4,1,
1989,366,Louisiana Tech,,1,at-large,3,1,
1989,392,Maryland,,1,auto,3,1,
1989,694,Tennessee,,1,auto,5,0,
1989,99,Long Beach St.,,2,auto,2,1,
1989,490,NC State,,2,at-large,1,1,
1989,674,Stanford,,2,auto,2,1,
1989,703,Texas,,2,auto,2,1,
1989,157,Colorado,,3,auto,0,1,
1989,312,Iowa,,3,at-large,1,1,
1989,518,Ohio St.,,3,auto,1,1,
1989,433,Ole Miss,,3,at-large,2,1,
1989,147,Clemson,,4,at-large,1,1,
1989,365,LSU,,4,at-large,1,1,
1989,676,SFA,,4,at-large,1,1,
1989,746,Virginia,,4,at-large,1,1,
1989,257,Georgia,,5,at-large,1,1,
1989,559,Purdue,,5,at-large,1,1,
1989,756,Washington,,5,at-large,1,1,
1989,772,Western Ky.,,5,auto,0,1,
1989,317,James Madison,,6,auto,1,1,
1989,523,Old Dominion,,6,at-large,1,1,
1989,648,South Carolina,,6,auto,0,1,
1989,465,UNLV,,6,at-large,2,1,
1989,97,Cal St. Fullerton,,7,at-large,0,1,
1989,299,Illinois St.,,7,auto,1,1,
1989,587,Rutgers,,7,at-large,1,1,
1989,736,Vanderbilt,,7,at-large,0,1,
1989,140,Cincinnati,,8,at-large,0,1,
1989,415,Miami (FL),,8,at-large,0,1,
1989,690,Temple,,8,at-large,1,1,
1989,164,UConn,,8,auto,0,1,
1989,71,Bowling Green,,9,auto,1,1,
1989,285,Holy Cross,,9,auto,0,1,
1989,340,La Salle,,9,at-large,1,1,
1989,521,Oklahoma St.,,9,at-large,1,1,
1989,441,Montana,,10,auto,1,1,
1989,508,Northwestern St.,,10,at-large,0,1,
1989,606,Saint Joseph's,,10,at-large,1,1,
1989,664,Southern Miss.,,10,at-large,0,1,
1989,556,Providence,,11,at-large,0,1,
1989,692,Tennessee Tech,,11,auto,1,1,
1989,732,Utah,,11,auto,0,1,
1989,739,Villanova,,11,at-large,0,1,
1989,31,Arkansas,,12,at-large,0,1,
1989,693,Chattanooga,,12,auto,0,1,
1989,277,Hawaii,,12,at-large,0,1,
1989,768,West Virginia,,12,auto,1,1,
1990,366,Louisiana Tech,,1,auto,3,1,
1990,674,Stanford,,1,auto,5,0,
1990,694,Tennessee,,1,at-large,2,1,
1990,756,Washington,,1,at-large,2,1,
1990,37,Auburn,,2,auto,4,1,
1990,257,Georgia,,2,at-large,0,1,
1990,490,NC State,,2,at-large,1,1,
1990,746,Virginia,,2,auto,3,1,
1990,312,Iowa,,3,auto,0,1,
1990,556,Providence,,3,auto,1,1,
1990,676,SFA,,3,auto,1,1,
1990,703,Texas,,3,auto,2,1,
1990,509,Northwestern,,4,at-large,0,1,
1990,559,Purdue,,4,at-large,1,1,
1990,164,UConn,,4,at-large,0,1,
1990,465,UNLV,,4,auto,0,1,
1990,147,Clemson,,5,at-large,2,1,
1990,503,Northern Ill.,,5,at-large,1,1,
1990,433,Ole Miss,,5,at-large,2,1,
1990,648,South Carolina,,5,at-large,2,1,
1990,99,Long Beach St.,,6,at-large,1,1,
1990,392,Maryland,,6,at-large,1,1,
1990,518,Ohio St.,,6,at-large,1,1,
1990,736,Vanderbilt,,6,at-large,2,1,
1990,31,Arkansas,,7,at-large,3,1,
1990,521,Oklahoma St.,,7,auto,0,1,
1990,539,Penn St.,,7,auto,1,1,
1990,692,Tennessee Tech,,7,auto,1,1,
1990,176,DePaul,,8,at-large,1,1,
1990,441,Montana,,8,auto,0,1,
1990,523,Old Dominion,,8,auto,1,1,
1990,664,Southern Miss.,,8,auto,1,1,
1990,277,Hawaii,,9,at-large,1,1,
1990,365,LSU,,9,at-large,0,1,
1990,606,Saint Joseph's,,9,at-large,0,1,
1990,772,Western Ky.,,9,at-large,0,1,
1990,234,Florida St.,,10,at-large,0,1,
1990,418,Michigan,,10,at-large,1,1,
1990,575,Richmond,,10,auto,0,1,
1990,110,UCLA,,10,at-large,0,1,
1990,27,Appalachian St.,,11,auto,0,1,
1990,107,California,,11,at-large,0,1,
1990,587,Rutgers,,11,at-large,0,1,
1990,659,Southern Ill.,,11,auto,0,1,
1990,71,Bowling Green,,12,auto,0,1,
1990,381,Manhattan,,12,auto,0,1,
1990,700,Texas Tech,,12,at-large,0,1,
1990,732,Utah,,12,auto,0,1,
1991,257,Georgia,,1,at-large,2,1,
1991,539,Penn St.,,1,auto,0,1,
1991,694,Tennessee,,1,at-large,5,0,
1991,746,Virginia,,1,at-large,4,1,
1991,365,LSU,,2,auto,0,1,
1991,490,NC State,,2,auto,1,1,
1991,559,Purdue,,2,auto,0,1,
1991,674,Stanford,,2,auto,3,1,
1991,31,Arkansas,,3,auto,1,1,
1991,37,Auburn,,3,at-large,2,1,
1991,164,UConn,,3,auto,3,1,
1991,756,Washington,,3,at-large,1,1,
1991,147,Clemson,,4,at-large,2,1,
1991,99,Long Beach St.,,4,auto,1,1,
1991,416,Michigan St.,,4,at-large,0,1,
1991,772,Western Ky.,,4,auto,1,1,
1991,234,Florida St.,,5,auto,1,1,
1991,521,Oklahoma St.,,5,auto,2,1,
1991,556,Providence,,5,at-large,1,1,
1991,657,Southern California,,5,at-large,1,1,
1991,312,Iowa,,6,at-large,1,1,
1991,392,Maryland,,6,at-large,0,1,
1991,509,Northwestern,,6,at-large,1,1,
1991,587,Rutgers,,6,at-large,0,1,
1991,97,Cal St. Fullerton,,7,at-large,1,1,
1991,575,Richmond,,7,auto,0,1,
1991,648,South Carolina,,7,at-large,0,1,
1991,703,Texas,,7,at-large,0,1,
1991,317,James Madison,,8,at-large,2,1,
1991,669,Missouri St.,,8,auto,1,1,
1991,676,SFA,,8,auto,1,1,
1991,465,UNLV,,8,at-large,1,1,
1991,334,Kentucky,,9,at-large,0,1,
1991,433,Ole Miss,,9,at-large,0,1,
1991,692,Tennessee Tech,,9,auto,0,1,
1991,700,Texas Tech,,9,at-large,0,1,
1991,249,George Washington,,10,at-large,1,1,
1991,346,Lamar,,10,at-large,3,1,
1991,366,Louisiana Tech,,10,auto,0,1,
1991,736,Vanderbilt,,10,at-large,2,1,
1991,285,Holy Cross,,11,at-large,1,1,
1991,441,Montana,,11,auto,0,1,
1991,709,Toledo,,11,auto,1,1,
1991,754,Washington St.,,11,at-large,0,1,
1991,27,Appalachian St.,,12,auto,0,1,
1991,176,DePaul,,12,auto,0,1,
1991,220,Fairfield,,12,at-large,0,1,
1991,732,Utah,,12,auto,0,1,
1992,312,Iowa,,1,auto,0,1,
1992,674,Stanford,,1,auto,5,0,
1992,694,Tennessee,,1,auto,1,1,
1992,746,Virginia,,1,auto,3,1,
1992,392,Maryland,,2,at-large,2,1,
1992,415,Miami (FL),,2,at-large,1,1,
1992,433,Ole Miss,,2,at-large,2,1,
1992,676,SFA,,2,auto,1,1,
1992,539,Penn St.,,3,at-large,1,1,
1992,559,Purdue,,3,at-large,1,1,
1992,657,Southern California,,3,at-large,2,1,
1992,736,Vanderbilt,,3,at-large,2,1,
1992,703,Texas,,4,at-large,0,1,
1992,700,Texas Tech,,4,auto,1,1,
1992,768,West Virginia,,4,at-large,1,1,
1992,772,Western Ky.,,4,auto,4,1,
1992,8,Alabama,,5,at-large,1,1,
1992,107,California,,5,at-large,0,1,
1992,147,Clemson,,5,at-large,1,1,
1992,110,UCLA,,5,at-large,2,1,
1992,28,Arizona St.,,6,at-large,0,1,
1992,366,Louisiana Tech,,6,at-large,0,1,
1992,164,UConn,,6,at-large,1,1,
1992,796,Wisconsin,,6,at-large,0,1,
1992,157,Colorado,,7,auto,0,1,
1992,169,Creighton,,7,auto,1,1,
1992,457,North Carolina,,7,at-large,1,1,
1992,556,Providence,,7,at-large,0,1,
1992,249,George Washington,,8,auto,1,1,
1992,288,Houston,,8,at-large,0,1,
1992,669,Missouri St.,,8,auto,4,1,
1992,587,Rutgers,,8,at-large,1,1,
1992,328,Kansas,,9,at-large,0,1,
1992,664,Southern Miss.,,9,auto,0,1,
1992,104,UC Santa Barbara,,9,auto,1,1,
1992,738,Vermont,,9,at-large,0,1,
1992,99,Long Beach St.,,10,at-large,0,1,
1992,523,Old Dominion,,10,auto,0,1,
1992,659,Southern Ill.,,10,at-large,1,1,
1992,709,Toledo,,10,auto,1,1,
1992,176,DePaul,,11,at-large,1,1,
1992,441,Montana,,11,auto,1,1,
1992,503,Northern Ill.,,11,auto,1,1,
1992,617,Saint Peter's,,11,auto,0,1,
1992,693,Chattanooga,,12,auto,0,1,
1992,513,Notre Dame,,12,auto,0,1,
1992,631,Santa Clara,,12,auto,1,1,
1992,692,Tennessee Tech,,12,auto,0,1,
1993,518,Ohio St.,,1,auto,4,1,
1993,674,Stanford,,1,auto,1,1,
1993,694,Tennessee,,1,at-large,2,1,
1993,736,Vanderbilt,,1,auto,3,1,
1993,312,Iowa,,2,at-large,3,1,
1993,392,Maryland,,2,at-large,0,1,
1993,700,Texas Tech,,2,auto,5,0,
1993,746,Virginia,,2,auto,2,1,
1993,37,Auburn,,3,at-large,1,1,
1993,539,Penn St.,,3,at-large,0,1,
1993,657,Southern California,,3,at-large,1,1,
1993,703,Texas,,3,at-large,0,1,
1993,157,Colorado,,4,at-large,2,1,
1993,457,North Carolina,,4,at-large,1,1,
1993,676,SFA,,4,auto,1,1,
1993,772,Western Ky.,,4,auto,1,1,
1993,8,Alabama,,5,at-large,1,1,
1993,147,Clemson,,5,at-large,1,1,
1993,415,Miami (FL),,5,auto,1,1,
1993,104,UC Santa Barbara,,5,auto,1,1,
1993,251,Georgetown,,6,at-large,2,1,
1993,366,Louisiana Tech,,6,at-large,3,1,
1993,463,Nebraska,,6,at-large,1,1,
1993,164,UConn,,6,at-large,0,1,
1993,235,Florida,,7,at-large,1,1,
1993,440,Montana St.,,7,auto,0,1,
1993,521,Oklahoma St.,,7,at-large,0,1,
1993,692,Tennessee Tech,,7,auto,0,1,
1993,257,Georgia,,8,at-large,1,1,
1993,328,Kansas,,8,auto,0,1,
1993,509,Northwestern,,8,at-large,1,1,
1993,738,Vermont,,8,at-large,0,1,
1993,107,California,,9,at-large,1,1,
1993,255,Georgia Tech,,9,at-large,0,1,
1993,587,Rutgers,,9,auto,1,1,
1993,626,San Diego St.,,9,at-large,0,1,
1993,71,Bowling Green,,10,auto,0,1,
1993,669,Missouri St.,,10,auto,2,1,
1993,523,Old Dominion,,10,auto,1,1,
1993,756,Washington,,10,at-large,1,1,
1993,176,DePaul,,11,at-large,0,1,
1993,367,Louisville,,11,auto,1,1,
1993,503,Northern Ill.,,11,auto,0,1,
1993,627,San Diego,,11,auto,0,1,
1993,77,BYU,,12,auto,0,1,
1993,253,Ga. Southern,,12,auto,0,1,
1993,617,Saint Peter's,,12,auto,0,1,
1993,82,Xavier,,12,auto,0,1,
1994,539,Penn St.,,1,auto,3,1,
1994,559,Purdue,,1,at-large,4,1,
1994,694,Tennessee,,1,auto,2,1,
1994,164,UConn,,1,auto,3,1,
1994,657,Southern California,,2,auto,3,1,
1994,674,Stanford,,2,at-large,3,1,
1994,700,Texas Tech,,2,at-large,2,1,
1994,736,Vanderbilt,,2,at-large,2,1,
1994,157,Colorado,,3,at-large,2,1,
1994,312,Iowa,,3,at-large,1,1,
1994,457,North Carolina,,3,auto,6,0,
1994,746,Virginia,,3,at-large,2,1,
1994,235,Florida,,4,at-large,0,1,
1994,366,Louisiana Tech,,4,auto,5,1,
1994,635,Seton Hall,,4,at-large,2,1,
1994,664,Southern Miss.,,4,at-large,2,1,
1994,433,Ole Miss,,5,at-large,1,1,
1994,587,Rutgers,,5,auto,0,1,
1994,626,San Diego St.,,5,auto,1,1,
1994,703,Texas,,5,auto,1,1,
1994,8,Alabama,,6,at-large,4,1,
1994,669,Missouri St.,,6,auto,1,1,
1994,523,Old Dominion,,6,auto,1,1,
1994,529,Oregon,,6,at-large,1,1,
1994,71,Bowling Green,,7,auto,0,1,
1994,249,George Washington,,7,at-large,1,1,
1994,441,Montana,,7,auto,1,1,
1994,513,Notre Dame,,7,auto,0,1,
1994,231,FIU,,8,auto,0,1,
1994,676,SFA,,8,auto,0,1,
1994,742,Virginia Tech,,8,auto,0,1,
1994,756,Washington,,8,at-large,1,1,
1994,37,Auburn,,9,at-large,1,1,
1994,66,Boise St.,,9,at-large,0,1,
1994,147,Clemson,,9,at-large,1,1,
1994,328,Kansas,,9,at-large,1,1,
1994,169,Creighton,,10,at-large,1,1,
1994,428,Minnesota,,10,at-large,1,1,
1994,9,UAB,,10,auto,0,1,
1994,465,UNLV,,10,auto,0,1,
1994,503,Northern Ill.,,11,at-large,0,1,
1994,528,Oregon St.,,11,at-large,0,1,
1994,606,Saint Joseph's,,11,at-large,0,1,
1994,631,Santa Clara,,11,at-large,0,1,
1994,277,Hawaii,,12,at-large,0,1,
1994,306,Indiana,,12,at-large,0,1,
1994,521,Oklahoma St.,,12,at-large,0,1,
1994,772,Western Ky.,,12,at-large,1,1,
1994,663,SMU,,13,at-large,0,1,
1994,691,Tennessee St.,,13,auto,0,1,
1994,697,Texas A&M,,13,at-large,2,1,
1994,738,Vermont,,13,auto,0,1,
1994,253,Ga. Southern,,14,auto,0,1,
1994,369,Loyola (MD),,14,auto,0,1,
1994,387,Marquette,,14,at-large,0,1,
1994,450,Mt. St. Mary's,,14,auto,0,1,
1994,261,Grambling,,15,auto,0,1,
1994,794,Green Bay,,15,auto,0,1,
1994,434,Missouri,,15,auto,0,1,
1994,551,Portland,,15,auto,0,1,
1994,80,Brown,,16,auto,0,1,
1994,236,Fordham,,16,auto,0,1,
1994,488,NC A&T,,16,auto,0,1,
1994,563,Radford,,16,auto,0,1,
1995,157,Colorado,,1,auto,3,1,
1995,694,Tennessee,,1,at-large,5,1,
1995,164,UConn,,1,auto,6,0,
1995,736,Vanderbilt,,1,auto,2,1,
1995,366,Louisiana Tech,,2,at-large,2,1,
1995,539,Penn St.,,2,auto,1,1,
1995,674,Stanford,,2,auto,4,1,
1995,700,Texas Tech,,2,auto,3,1,
1995,257,Georgia,,3,at-large,4,1,
1995,457,North Carolina,,3,auto,2,1,
1995,746,Virginia,,3,at-large,3,1,
1995,756,Washington,,3,at-large,2,1,
1995,8,Alabama,,4,at-large,2,1,
1995,249,George Washington,,4,auto,2,1,
1995,559,Purdue,,4,at-large,3,1,
1995,772,Western Ky.,,4,auto,2,1,
1995,189,Drake,,5,auto,1,1,
1995,193,Duke,,5,at-large,1,1,
1995,528,Oregon St.,,5,at-large,1,1,
1995,626,San Diego St.,,5,at-large,0,1,
1995,31,Arkansas,,6,at-large,1,1,
1995,235,Florida,,6,at-large,1,1,
1995,529,Oregon,,6,at-large,0,1,
1995,635,Seton Hall,,6,at-large,1,1,
1995,328,Kansas,,7,at-large,0,1,
1995,490,NC State,,7,at-large,2,1,
1995,522,Oklahoma,,7,at-large,1,1,
1995,664,Southern Miss.,,7,auto,0,1,
1995,404,Memphis,,8,at-large,1,1,
1995,523,Old Dominion,,8,auto,0,1,
1995,732,Utah,,8,auto,0,1,
1995,742,Virginia Tech,,8,at-large,1,1,
1995,231,FIU,,9,auto,1,1,
1995,669,Missouri St.,,9,at-large,1,1,
1995,606,Saint Joseph's,,9,at-large,0,1,
1995,657,Southern California,,9,at-large,0,1,
1995,369,Loyola (MD),,10,auto,0,1,
1995,387,Marquette,,10,auto,0,1,
1995,663,SMU,,10,at-large,1,1,
1995,796,Wisconsin,,10,at-large,1,1,
1995,367,Louisville,,11,at-large,1,1,
1995,563,Radford,,11,auto,0,1,
1995,629,San Francisco,,11,auto,0,1,
1995,676,SFA,,11,auto,0,1,
1995,441,Montana,,12,auto,1,1,
1995,521,Oklahoma St.,,12,at-large,0,1,
1995,433,Ole Miss,,12,at-large,0,1,
1995,691,Tennessee St.,,12,auto,0,1,
1995,176,DePaul,,13,at-large,0,1,
1995,450,Mt. St. Mary's,,13,auto,0,1,
1995,551,Portland,,13,at-large,0,1,
1995,709,Toledo,,13,auto,0,1,
1995,172,Dartmouth,,14,auto,0,1,
1995,306,Indiana,,14,at-large,0,1,
1995,519,Ohio,,14,at-large,0,1,
1995,771,Western Ill.,,14,auto,0,1,
1995,244,Furman,,15,auto,0,1,
1995,314,Jackson St.,,15,auto,0,1,
1995,718,Tulane,,15,at-large,0,1,
1995,109,UC Irvine,,15,auto,0,1,
1995,228,Florida A&M,,16,auto,0,1,
1995,285,Holy Cross,,16,auto,0,1,
