team_id,team_short_display_name,n_wins,entropy,entropy_norm,primary_archetype,n_archetypes_used,arch_share_1,arch_share_2,arch_share_3,arch_share_4,arch_share_5
239,Baylor,24,1.3411260338154942,0.8332884564569419,2,5,0.3615757990321887,0.3163959560400264,0.23340389645567902,0.027436866195606344,0.06118748227649954
193,Miami OH,22,1.3382591495043434,0.831507161081083,2,5,0.16296597687696024,0.48201999538885193,0.10839132415537356,0.2093411909076783,0.03728151267113599
290,GA Southern,21,1.3338369259492053,0.8287594790978433,2,5,0.26421879319729935,0.3137928989391336,0.3443031798266961,0.03270952759447195,0.04497560044239894
2348,Louisiana Tech,21,1.3317967072807475,0.8274918199649898,2,5,0.37659272966879914,0.3813024941624504,0.06954089632274658,0.11783064373633804,0.05473323610966593
277,West Virginia,22,1.3213328971608065,0.8209902891888721,1,4,0.3462349887631692,0.20684371080802819,0,0.31830462534336446,0.1286166750854382
2628,TCU,25,1.3123592786107188,0.8154146664942904,3,4,0,0.23579321324314587,0.38651319446816035,0.2571549392079479,0.12053865308074596
2250,Gonzaga,21,1.3096244349759485,0.8137154126034496,1,5,0.42400818073041063,0.11602439352321976,0.3198838314812876,0.12088499202648391,0.019198602238598213
41,UConn,29,1.2973417548874608,0.8060837543744525,2,5,0.05961168417659138,0.44825728201336407,0.14923655542991876,0.03764948474311034,0.3052449936370155
251,Texas,26,1.2874992730117072,0.7999682765422769,4,4,0.15381833730462255,0,0.21421078067323587,0.4498796688145203,0.18209121320762134
161,FDU,24,1.2848333207754554,0.7983118272840264,2,5,0.1180049722815303,0.47820803490349684,0.2932047613300838,0.05477211920991783,0.05581011227497115
2815,Lindenwood,22,1.2833203340369808,0.7973717557678867,2,5,0.17172929096949494,0.4860203448578735,0.21657214301381789,0.1143266398928563,0.011351581265957363
135,Minnesota,21,1.2796485955906125,0.7950903764005924,3,5,0.05198990147664058,0.08781871920980931,0.5412284738207985,0.1299072343390344,0.18905567115371724
242,Rice,24,1.269518751357289,0.7887963502967813,3,5,0.18457416008595617,0.14571431376923868,0.5213722718954849,0.13057949750218897,0.01775975674713125
93,Murray St,24,1.264868188443145,0.7859067930928563,3,5,0.35615669951934364,0.13846780492232147,0.41191637990428326,0.08107857543294719,0.01238054022110445
2294,Iowa,22,1.259913717587523,0.7828284072680008,3,4,0.27912893018214485,0.22327505556018043,0.4162354133557835,0,0.08136060090189128
145,Ole Miss,21,1.254326757306996,0.7793570336677125,5,4,0.40274102647377313,0,0.32913645702949157,0.08752453272768386,0.18059798376905137
294,Jacksonville,20,1.2506066857391316,0.7770456232435364,1,5,0.4920376715738415,0.04781265821572872,0.17459857219555575,0.2566118575158803,0.028939240498993695
2710,W Illinois,23,1.2424888632881155,0.7720017365621678,1,5,0.453732162764127,0.058108870901277775,0.3497229856671782,0.10421084060268138,0.034225140064735635
261,Vermont,23,1.2330449095016094,0.7661338781542449,3,5,0.0370539833695864,0.1684604502256915,0.5458410593134978,0.19120805520844267,0.05743645188278169
256,James Madison,21,1.2255590682276432,0.7614826634561616,3,5,0.32140059631545226,0.13390801806358207,0.47308924845162936,0.02982938901174225,0.04177274815759404
2579,South Carolina,27,1.2182362242341094,0.7569327246626489,3,4,0.2621319964628457,0.08206809756094419,0.4757887493602414,0,0.18001115661596867
47,Howard,20,1.2105837078583777,0.7521779489011173,1,4,0.43990667864298416,0,0.28326135274866376,0.22292060697762955,0.05391136163072259
21,San Diego St,22,1.2022848894017337,0.7470216030784363,3,5,0.09271176256234197,0.35298274016381465,0.4631419028046478,0.07699501945966833,0.014168575009527343
38,Colorado,20,1.1898476812042509,0.7392939311369491,1,4,0.3110849304528286,0,0.3368052922469664,0.3262027711510113,0.025907006149193678
70,Idaho,23,1.177712093883049,0.7317536667828877,3,5,0.4353747135598394,0.03229691472634822,0.38046882531528414,0.13595952684094145,0.015900019557586815
9,Arizona St,22,1.1714822128497304,0.7278828240587365,1,4,0.3285373691938425,0.021827950609094572,0.3763358986002523,0.2732987815968106,0
2571,S Dakota St,22,1.1710546637909698,0.7276171728922904,3,4,0.05858825381741874,0.2611836114002854,0.5011910153200623,0,0.17903711946223363
2458,N Colorado,20,1.1690362226493989,0.7263630448976801,1,5,0.587654819443417,0.048157910569995,0.09357580209031786,0.21666835378377575,0.053943114112494396
68,Boise St,22,1.1572755934949046,0.7190557551515925,1,4,0.4179984722690168,0.04549925603562261,0.38641169065576625,0.15009058103959438,0
2272,High Point,24,1.1568516700623357,0.7187923567133591,2,4,0.28632718324285406,0.3758651712080303,0.3218265801640876,0,0.01598106538502811
2217,Fairfield,24,1.1359836916146584,0.70582635269018,2,5,0.06131408495116943,0.6151241124950632,0.09474485984121181,0.18938018384724942,0.03943675886530616
151,East Carolina,20,1.1325028336170726,0.7036635740140388,1,4,0.4271730812164828,0,0.17800200772564276,0.3691370392550295,0.025687871802845114
36,Colorado St,21,1.126008148871612,0.6996281994927327,3,5,0.15615239094712957,0.07117100592872126,0.6167415752643771,0.1357362111203423,0.0201988167394297
2599,St John's,21,1.124190078963023,0.6984985691450548,1,4,0.5378602290386845,0.10883526599488637,0.2790542337311387,0.07425027123529052,0
2754,Youngstown St,21,1.1220252031583076,0.6971534561786022,3,4,0.26060763321129793,0.21662559241457127,0.4975146610585738,0,0.025252113315557063
2541,Santa Clara,21,1.1050379951050981,0.6865987103745108,3,5,0.04451246662787217,0.47239855889435356,0.40768007128906286,0.042977553985531755,0.032431349203179596
2653,Troy,23,1.0956555991562262,0.6807691000016062,3,4,0.26533386985538965,0,0.5393768875470698,0.16038614402961157,0.03490309856792896
238,Vanderbilt,25,1.0854157152770683,0.6744067024216515,2,4,0.1340144468139552,0.6164986189468513,0.13810285143514447,0,0.11138408280404914
2514,Quinnipiac,22,1.0771997810681486,0.6693018554776063,3,4,0.14881940337197705,0.29690268843851053,0.5278954100712147,0,0.02638249811829779
232,Charleston,21,1.073500001178108,0.6670030529817429,3,5,0.06527219644041528,0.11843964627036577,0.6730925788708575,0.061836817680393424,0.08135876073796817
99,LSU,24,1.0671001986226638,0.6630266320797616,5,3,0.43225835863190176,0,0.22978207558689553,0,0.3379595657812028
227,Rhode Island,24,1.0658910730351379,0.6622753601119619,3,5,0.08242856880539473,0.059174410739046876,0.6800778628991669,0.09510173154489676,0.0832174260114946
2377,McNeese,24,1.0445563507139755,0.649019351814695,4,5,0.05237820707390258,0.018061450715138823,0.2957209741319403,0.586523147138249,0.04731622094076927
2032,Arkansas St,22,1.0000035532707447,0.6213371423308575,2,4,0.08492977057653611,0.4602199820914811,0,0.437062525456004,0.017787721875978876
2739,Green Bay,21,0.9128845178694585,0.5672070421709028,3,4,0.09766444428556935,0.20935956855095,0.669013894686391,0,0.023962092477089587
204,Oregon St,20,0.9016461469805995,0.560224249730117,3,4,0.5161513708169081,0.03496098875293834,0.4283223529284251,0,0.020565287501728438
2617,SF Austin,20,0.9005874208565017,0.559566426203084,2,3,0.49818557791993134,0.4292049672849496,0.07260945479511918,0,0
302,UC Davis,21,0.8947722652798038,0.5559532668933825,2,3,0.1651323612969539,0.6457503624868421,0.1891172762162039,0,0
276,Marshall,23,0.8185424923059712,0.5085890458911922,2,4,0.19409806379291059,0.7190864337591724,0.0629749758689554,0,0.023840526578961685
325,Cleveland St,21,0.7084473630722103,0.4401830959734014,1,3,0.7590822497912771,0,0.1560584110562176,0,0.08485933915250539
257,Richmond,23,0.16213352169904247,0.10073922109479395,2,2,0,0.9618146678989037,0.038185332101096404,0,0
