team_id,team_short_display_name,off_mahal_mean,off_mahal_median,off_mahal_sd,off_mahal_max,off_gen_var_ratio,def_mahal_mean,def_mahal_median,def_mahal_sd,def_mahal_max,def_gen_var_ratio,n_wins,conference_short_name,conf_tier,off_def_gap,total_mahal
2908,SC Upstate,5.5886223942592155,4.782958254542669,4.192443442784916,15.587612341825444,0.808636708409874,3.762782409736215,2.4713079550253623,3.013005637157789,10.523774593956215,0.15121668506256913,10,NA,NA,1.8258399845230007,9.35140480399543
197,Oklahoma St,5.181554609919308,4.128127655699773,2.9982030102379924,12.784015102482934,0.3136323172917016,4.1603043771678285,3.7882561209172363,3.193609795539266,14.074219616167202,0.8670237540840436,21,NA,NA,1.0212502327514796,9.341858987087136
2427,UNC Asheville,4.213665141559117,3.9850738709007496,2.427563475267306,7.877273021586967,0.06981606732983914,5.100458712157177,5.058287411194924,3.650050806919622,10.778506475494613,2.59195509636201,11,Big South,Mid/Low Major,-0.8867935705980603,9.314123853716294
2378,UMBC,4.9123996005204695,4.545204358151152,2.151435881641325,9.568948052945933,0.5439580769149281,4.31621695188785,3.8335931953992546,2.6323483475469898,10.16842077489418,1.2627603573352426,13,America East,Mid/Low Major,0.5961826486326194,9.228616552408319
2229,FIU,4.175114579817061,2.8663729917672462,2.89518798236162,8.996260208209963,0.051941638375644146,4.797333884953382,3.088655305998177,5.994196513045751,25.942202604914076,1.2925861711876663,17,C-USA,Mid/Low Major,-0.622219305136321,8.972448464770443
2571,S Dakota St,4.910185870920937,4.224770397489071,2.892948045892927,9.952907174134788,0.5645437469515898,4.009342657799891,3.3115912665845144,2.522938600068792,9.805390903693691,0.8510942169197325,22,NA,NA,0.9008432131210462,8.919528528720829
194,Ohio State,3.190918019843428,2.5940112200663967,1.9743912598643878,7.495314982741836,0.09986557322359563,5.716249318594833,4.186298697696842,4.977061719169873,18.278647621663985,2.4598837098192057,23,Big Ten,Power 4,-2.5253312987514045,8.90716733843826
171,Columbia,4.375104502378067,4.359352810077807,2.2858193941448004,9.601045793315564,0.3281962104459308,4.521360820402177,4.420917081580029,2.6405946786044443,9.48711779398632,1.4497187727196412,18,Ivy League,Mid/Low Major,-0.14625631802411032,8.896465322780244
159,Dartmouth,5.784377544744574,5.417324067240248,2.8247728843166384,10.378959887289911,0.6720853254325235,3.0168229593672478,2.59285338044801,1.6320548103899792,6.030555061145527,0.05896560963335598,10,Ivy League,Mid/Low Major,2.7675545853773262,8.801200504111822
278,Fresno St,3.920151486683948,3.7875806062152932,1.1690232057916232,5.889924123080643,0.2516914163351293,4.855149513027087,4.082029293613012,3.945466848594758,11.874224329308289,1.0116501926156476,14,NA,NA,-0.9349980263431394,8.775300999711035
66,Iowa State,5.716265413278976,4.534578055012316,4.697091706767241,19.84735478806666,0.4664851758453025,3.035683884299539,2.027203424929416,2.9123502356063584,10.056116781679208,0.15268128973537912,21,Big 12,Power 4,2.6805815289794372,8.751949297578516
