country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
USA,Serbia,110,84,1008,6,Sue Bird,19:54,2,1/4,1/2,0/2,0/0,0,2,2,3,2,1,2,0,11,5
USA,Serbia,110,84,1008,7,Maya Moore,15:42,10,4/9,3/6,1/3,1/1,3,3,6,4,2,2,2,0,9,15
USA,Serbia,110,84,1008,8,Angel McCoughtry,17:49,13,5/6,5/6,0/0,3/3,1,3,4,1,1,2,0,0,9,15
USA,Serbia,110,84,1008,9,Breanna Stewart,15:44,17,5/8,4/5,1/3,6/6,1,4,5,0,4,1,1,1,9,20
USA,Serbia,110,84,1008,10,Tamika Catchings,12:51,6,2/3,2/3,0/0,2/2,1,2,3,1,2,0,3,0,11,12
USA,Serbia,110,84,1008,11,Elena Delle Donne,12:31,2,1/4,1/2,0/2,0/0,0,1,1,3,4,0,0,1,8,4
USA,Serbia,110,84,1008,12,Diana Taurasi,23:58,25,7/12,1/2,6/10,5/5,2,1,3,6,1,4,0,0,21,25
USA,Serbia,110,84,1008,13,Sylvia Fowles,10:55,4,2/3,2/3,0/0,0/0,2,4,6,0,2,3,0,0,14,6
USA,Serbia,110,84,1008,14,Tina Charles,20:03,15,4/8,4/8,0/0,7/7,3,5,8,4,2,1,1,0,12,23
USA,Serbia,110,84,1008,15,Brittney Griner,11:21,7,3/5,3/5,0/0,1/1,0,2,2,0,2,2,0,1,-4,6
Serbia,USA,84,110,1008,4,Tamara Radocaj,19:20,2,1/4,1/4,0/0,0/0,1,1,2,2,2,0,2,0,-25,5
Serbia,USA,84,110,1008,5,Sonja Petrovic,17:59,15,4/9,2/6,2/3,5/5,0,2,2,1,2,1,0,0,-1,12
Serbia,USA,84,110,1008,6,Sasa Cado,11:47,3,1/3,0/1,1/2,0/0,0,0,0,2,0,1,3,0,-2,5
Serbia,USA,84,110,1008,7,Sara Krnjic,08:54,4,2/2,2/2,0/0,0/0,1,0,1,0,0,0,0,0,-17,5
Serbia,USA,84,110,1008,8,Nevena Jovanovic,14:34,2,1/4,1/2,0/2,0/0,0,0,0,1,1,1,0,0,-15,-1
Serbia,USA,84,110,1008,9,Jelena Milovanovic,24:56,15,3/12,0/9,3/3,6/10,3,1,4,2,2,6,0,0,-19,2
Serbia,USA,84,110,1008,10,Dajana Butulija,18:14,10,2/5,0/3,2/2,4/6,0,3,3,1,1,2,1,0,-23,8
Serbia,USA,84,110,1008,11,Aleksandra Crvendakic,06:59,7,3/4,2/2,1/2,0/0,0,0,0,2,1,1,0,0,-7,7
Serbia,USA,84,110,1008,12,Dragana Stankovic,09:22,3,1/1,1/1,0/0,1/2,2,0,2,0,2,0,0,0,-10,4
Serbia,USA,84,110,1008,13,Milica Dabovic,25:31,3,1/3,1/2,0/1,1/2,1,1,2,4,3,1,6,0,-11,11
Serbia,USA,84,110,1008,14,Ana Dabovic,20:40,5,2/7,1/5,1/2,0/0,1,4,5,4,4,3,0,0,-1,6
Serbia,USA,84,110,1008,15,Danielle Page,21:44,15,6/11,4/8,2/3,1/1,0,2,2,1,4,1,1,1,1,14
Senegal,Canada,58,68,1008,4,Oumoul Thiam,24:51,12,5/8,3/3,2/5,0/0,0,1,1,1,2,2,1,0,0,10
Senegal,Canada,58,68,1008,5,Aya Traore,13:29,3,1/4,0/2,1/2,0/0,0,0,0,0,0,3,0,0,-12,-3
Senegal,Canada,58,68,1008,6,Bintou Diémé,26:00,5,2/5,2/3,0/2,1/2,0,3,3,6,1,3,0,0,-6,7
Senegal,Canada,58,68,1008,7,Fatou Dieng,07:44,3,1/2,0/0,1/2,0/0,0,0,0,0,0,0,0,0,-1,2
Senegal,Canada,58,68,1008,8,Diodio Diouf,13:34,0,0/4,0/2,0/2,0/0,0,2,2,0,1,1,1,0,-12,-2
Senegal,Canada,58,68,1008,10,Astou Traore,34:22,24,7/14,7/11,0/3,10/11,2,4,6,2,2,4,4,0,1,24
Senegal,Canada,58,68,1008,11,Maimouna Diarra,23:27,4,1/3,1/3,0/0,2/4,1,8,9,2,4,3,2,0,13,10
Senegal,Canada,58,68,1008,12,Mame Marie Sy,34:13,7,3/7,3/5,0/2,1/2,0,5,5,5,2,4,2,1,0,11
Senegal,Canada,58,68,1008,13,Oumou Toure,09:03,0,0/1,0/1,0/0,0/0,0,1,1,0,2,1,1,1,-19,1
Senegal,Canada,58,68,1008,14,Marie-Sadio Rosche,13:17,0,0/2,0/2,0/0,0/0,0,1,1,0,2,2,0,0,-14,-3
Canada,Senegal,68,58,1008,4,Miah-Marie Langlois,25:02,9,4/9,3/5,1/4,0/0,1,2,3,6,3,1,2,1,-3,15
Canada,Senegal,68,58,1008,5,Kia Nurse,27:21,14,4/13,3/8,1/5,5/6,0,0,0,0,4,0,2,0,19,6
Canada,Senegal,68,58,1008,6,Shona Thorburn,11:35,0,0/1,0/0,0/1,0/0,0,1,1,3,0,3,2,0,12,2
Canada,Senegal,68,58,1008,7,Nayo Raincock-Ekunwe,16:29,9,2/6,2/5,0/1,5/6,2,1,3,0,4,1,1,0,-2,7
Canada,Senegal,68,58,1008,8,Kim Gaucher,21:47,7,3/6,2/3,1/3,0/0,0,6,6,2,1,1,1,0,4,12
Canada,Senegal,68,58,1008,9,Miranda Ayim,18:16,2,1/6,1/6,0/0,0/0,0,3,3,2,2,1,0,0,-5,1
Canada,Senegal,68,58,1008,10,Nirra Fields,11:07,1,0/2,0/1,0/1,1/2,1,1,2,2,0,1,1,0,-5,2
Canada,Senegal,68,58,1008,11,Natalie Achonwa,09:27,7,3/4,3/4,0/0,1/2,0,2,2,0,0,2,0,0,1,5
Canada,Senegal,68,58,1008,12,Lizanne Murphy,13:46,2,1/3,1/1,0/2,0/0,0,1,1,2,3,2,0,0,6,1
Canada,Senegal,68,58,1008,13,Tamara Tatham,27:01,13,6/9,5/7,1/2,0/2,4,6,10,1,1,2,3,0,12,20
Canada,Senegal,68,58,1008,14,Katherine Plouffe,12:17,2,1/4,1/4,0/0,0/0,2,2,4,2,3,1,0,1,14,5
Canada,Senegal,68,58,1008,15,Michelle Plouffe,05:52,2,1/4,1/4,0/0,0/0,1,0,1,1,0,1,0,0,-3,0
Belarus,Turkey,71,74,1108,4,Maryia Papova,21:43,11,4/6,3/4,1/2,2/2,0,2,2,2,1,0,0,1,-4,14
Belarus,Turkey,71,74,1108,5,Aliaksandra Tarasava,02:42,0,0/1,0/0,0/1,0/0,0,1,1,0,0,2,0,0,-1,-2
Belarus,Turkey,71,74,1108,6,Katsiaryna Snytsina,17:45,6,2/5,0/3,2/2,0/0,0,1,1,1,1,1,1,0,1,5
Belarus,Turkey,71,74,1108,8,Tatsiana Likhtarovich,40:00,9,4/8,3/4,1/4,0/0,2,2,4,4,2,2,2,0,-3,13
