country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Chile,Uruguay,73,56,3010,9,Josefa Orrego,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Chile,Uruguay,73,56,3010,10,Francisca Rocha,16:50,3,1/5,0/4,1/1,0/2,1,2,3,1,1,3,0,0,0,-2
Chile,Uruguay,73,56,3010,11,Pia Henriquez,08:43,4,2/6,2/5,0/1,0/0,3,1,4,0,1,0,0,1,-3,5
Chile,Uruguay,73,56,3010,12,Valentina Ojeda,29:38,18,8/9,8/9,0/0,2/6,7,5,12,1,5,2,0,1,18,25
Chile,Uruguay,73,56,3010,13,Damaris Alarcon,08:41,6,1/3,1/3,0/0,4/4,0,2,2,0,4,2,0,0,-17,4
Chile,Uruguay,73,56,3010,14,Martina Gallardo,06:32,3,1/1,0/0,1/1,0/0,0,0,0,1,0,0,0,0,-2,4
Chile,Uruguay,73,56,3010,15,Leyla Olivares,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Uruguay,Chile,56,73,3010,0,Pierina Rossi,31:31,9,3/11,2/5,1/6,2/2,0,5,5,1,5,2,1,0,-3,6
Uruguay,Chile,56,73,3010,3,Lucia Auza,13:28,3,1/2,1/2,0/0,1/3,0,1,1,0,1,2,0,0,-8,-1
Uruguay,Chile,56,73,3010,4,Cecilia Ladra,02:34,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-4,0
Uruguay,Chile,56,73,3010,5,Giuliana Pérez,04:25,0,0/0,0/0,0/0,0/0,1,0,1,0,1,1,0,0,-4,0
Uruguay,Chile,56,73,3010,6,Camila Mazzariello,06:58,0,0/1,0/1,0/0,0/0,0,1,1,0,4,2,0,0,-7,-2
Uruguay,Chile,56,73,3010,8,Carolina Frenandez,31:05,13,5/12,2/7,3/5,0/0,1,4,5,2,1,4,2,1,-17,12
Uruguay,Chile,56,73,3010,10,Josefina Zeballos,32:32,15,4/13,3/10,1/3,6/6,2,2,4,2,4,4,1,0,-20,9
Uruguay,Chile,56,73,3010,11,Paula Fernandez,04:42,0,0/0,0/0,0/0,0/0,0,0,0,0,2,0,0,0,3,0
Uruguay,Chile,56,73,3010,13,Sofia Sica,03:58,0,0/1,0/1,0/0,0/0,1,0,1,0,0,0,0,0,-2,0
Uruguay,Chile,56,73,3010,15,Zoé Castro,03:02,0,0/1,0/1,0/0,0/0,0,0,0,0,0,0,0,0,-5,-1
Uruguay,Chile,56,73,3010,23,Maite Pereira,37:03,13,3/14,3/12,0/2,7/11,3,1,4,3,2,5,6,0,-12,6
Uruguay,Chile,56,73,3010,33,Evangelina Rolon,28:34,3,1/4,1/4,0/0,1/2,3,5,8,0,3,1,0,0,-6,6
Brazil,Ecuador,62,55,3110,4,Raiane Santos,36:55,23,7/16,4/13,3/3,6/10,0,8,8,5,0,7,6,0,2,22
Brazil,Ecuador,62,55,3110,5,Maria Eduarda Pereira,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Brazil,Ecuador,62,55,3110,7,Anna Clara Santos,30:58,2,1/11,1/7,0/4,0/0,0,2,2,3,2,5,3,0,15,-5
Brazil,Ecuador,62,55,3110,8,Giovanna Juzzo,23:21,8,4/9,4/9,0/0,0/2,2,4,6,0,2,2,1,0,4,6
Brazil,Ecuador,62,55,3110,10,Vitoria Carvalho,05:09,4,2/2,2/2,0/0,0/0,0,0,0,0,0,2,0,1,-1,3
Brazil,Ecuador,62,55,3110,11,Brenda Silva,36:46,17,4/16,4/11,0/5,9/11,13,9,22,1,3,3,6,0,13,29
Brazil,Ecuador,62,55,3110,13,Stephany Gonçalves,00:51,0,0/0,0/0,0/0,0/0,0,0,0,0,1,0,0,0,-2,0
Brazil,Ecuador,62,55,3110,14,Wanessa Silva,19:27,2,1/9,1/8,0/1,0/0,3,1,4,1,0,2,0,0,-4,-3
Brazil,Ecuador,62,55,3110,15,Ana Paula Dias,15:21,4,2/3,2/2,0/1,0/0,0,0,0,2,2,1,1,1,-6,6
Brazil,Ecuador,62,55,3110,18,Eduarda Reolon,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Brazil,Ecuador,62,55,3110,19,Rhayssa  Souza,31:08,2,1/10,1/9,0/1,0/0,3,9,12,1,3,2,0,1,14,5
Brazil,Ecuador,62,55,3110,23,Kerolene Santos,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Ecuador,Brazil,55,62,3110,3,Samy Bacilio,35:10,21,8/20,8/20,0/0,5/7,6,8,14,2,2,4,1,0,4,20
Ecuador,Brazil,55,62,3110,5,Rebeca Carrión,14:59,0,0/8,0/3,0/5,0/0,1,2,3,2,1,1,1,0,-6,-3
Ecuador,Brazil,55,62,3110,8,Paulina Vaicekauskas,35:31,12,5/10,3/8,2/2,0/1,4,2,6,0,2,0,1,3,0,16
Ecuador,Brazil,55,62,3110,9,Daniela Argüello,12:39,4,1/3,0/1,1/2,1/2,0,2,2,0,1,4,0,0,-4,-1
Ecuador,Brazil,55,62,3110,10,Waleska Pulla,05:01,0,0/2,0/2,0/0,0/0,0,1,1,0,0,2,0,0,-8,-3
Ecuador,Brazil,55,62,3110,11,Blanca Quiñonez,29:58,13,5/18,4/16,1/2,2/4,5,6,11,3,3,4,4,4,-6,16
Ecuador,Brazil,55,62,3110,13,Ana Espinosa,02:13,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-2,0
Ecuador,Brazil,55,62,3110,15,Evelyn Castillo,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Ecuador,Brazil,55,62,3110,16,Maria Sarmiento,15:25,2,1/3,1/3,0/0,0/0,0,1,1,1,1,3,2,0,3,1
Ecuador,Brazil,55,62,3110,17,Adela Oviedo,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Ecuador,Brazil,55,62,3110,20,Daleska Prado,33:40,3,1/3,1/3,0/0,1/2,0,2,2,5,3,6,3,0,-1,4
Ecuador,Brazil,55,62,3110,23,Evelyn Pilay,15:21,0,0/5,0/3,0/2,0/0,1,4,5,0,2,0,2,0,-15,2
Argentina,Uruguay,58,56,3110,4,Natassja Kolff,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Argentina,Uruguay,58,56,3110,5,Giuliana Baccareli,14:30,2,1/4,1/3,0/1,0/0,1,3,4,2,4,1,1,0,11,5
Argentina,Uruguay,58,56,3110,6,Nicole Caumo,24:39,3,1/5,0/1,1/4,0/0,0,2,2,3,3,3,2,1,-3,4
Argentina,Uruguay,58,56,3110,7,Georgina Buzzetti,11:00,0,0/0,0/0,0/0,0/0,1,3,4,1,1,1,0,0,4,4
