country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Russia,Egypt,94,37,2207,7,Daria Kolosovskaia,26:59,17,6/8,2/2,4/6,1/2,1,4,5,4,0,1,3,0,41,25
Russia,Egypt,94,37,2207,8,Anastasia Kuplinova,08:59,0,0/2,0/0,0/2,0/0,0,1,1,1,2,1,0,0,5,-1
Russia,Egypt,94,37,2207,9,Kseniia Levchenko,23:53,7,3/11,3/8,0/3,1/1,1,0,1,5,3,3,4,1,39,7
Russia,Egypt,94,37,2207,10,Tatiana Sema,14:05,6,2/3,2/2,0/1,2/3,0,2,2,3,3,1,3,0,7,11
Russia,Egypt,94,37,2207,11,Viktoriia Zavialova,15:43,8,3/7,1/3,2/4,0/0,1,2,3,2,0,1,3,0,29,11
Russia,Egypt,94,37,2207,12,Anna Burovaya,16:06,6,2/7,2/6,0/1,2/4,0,2,2,2,2,1,2,0,18,4
Russia,Egypt,94,37,2207,13,Zhosselina Maiga,16:22,7,1/4,1/3,0/1,5/6,2,3,5,2,1,1,0,1,17,10
Russia,Egypt,94,37,2207,14,Elizaveta Bratchikova,06:01,6,2/3,2/3,0/0,2/2,0,1,1,0,1,0,1,0,17,7
Russia,Egypt,94,37,2207,15,Elizaveta Krymova,17:57,0,0/5,0/3,0/2,0/0,1,0,1,0,3,2,0,1,26,-5
Egypt,Russia,37,94,2207,4,Nada Abdelhamid,06:12,0,0/0,0/0,0/0,0/0,0,0,0,0,1,1,0,0,-20,-1
Egypt,Russia,37,94,2207,5,Nouralla Talaat,09:07,0,0/0,0/0,0/0,0/0,0,1,1,0,1,0,0,0,-4,1
Egypt,Russia,37,94,2207,6,Farah Khaled Kandil,04:58,0,0/0,0/0,0/0,0/0,0,0,0,0,1,2,1,0,-5,-1
Egypt,Russia,37,94,2207,7,Nadine Selaawi,28:49,12,2/14,2/11,0/3,8/12,1,1,2,2,2,2,6,0,-32,4
Egypt,Russia,37,94,2207,8,Asrar Maged,16:27,0,0/2,0/2,0/0,0/0,0,1,1,1,0,2,0,0,-23,-2
Egypt,Russia,37,94,2207,9,Sara Nady,22:29,0,0/5,0/5,0/0,0/0,0,3,3,2,3,5,1,0,-28,-4
Egypt,Russia,37,94,2207,10,Nada Amr,17:30,0,0/3,0/3,0/0,0/0,0,1,1,0,4,3,1,0,-29,-4
Egypt,Russia,37,94,2207,11,Radwa Salem,05:43,0,0/6,0/6,0/0,0/0,1,1,2,0,1,0,0,0,-17,-4
Egypt,Russia,37,94,2207,12,Farida Wael Amin Abdelnabi,17:13,0,0/4,0/3,0/1,0/0,0,1,1,2,4,4,2,0,-31,-3
Egypt,Russia,37,94,2207,13,Nadine Rehan,08:16,0,0/2,0/2,0/0,0/0,2,0,2,0,2,0,0,0,-8,0
Egypt,Russia,37,94,2207,14,Fatma Mamdouh,27:30,9,2/5,2/5,0/0,5/8,2,5,7,0,1,1,0,0,-42,9
Egypt,Russia,37,94,2207,15,Raneem Elgedawy,35:39,16,8/17,8/17,0/0,0/2,1,5,6,0,3,2,1,0,-46,10
Netherlands,Spain,68,73,2207,4,Fleur Kuijt,20:38,15,5/8,0/2,5/6,0/0,0,1,1,1,2,1,1,0,11,14
