country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Croatia,France,63,105,1706,4,Ana-Marija Begic,22:07,0,0/4,0/2,0/2,0/0,0,1,1,0,3,0,0,1,-25,-2
Croatia,France,63,105,1706,6,Iva Slonjsak,28:20,9,4/10,3/7,1/3,0/2,0,4,4,1,1,4,2,0,-32,4
Croatia,France,63,105,1706,7,Ivana Tikvic,25:20,12,4/6,4/6,0/0,4/4,3,6,9,1,1,2,0,1,-26,19
Croatia,France,63,105,1706,10,Andrijana Cvitkovic,13:10,3,1/3,0/1,1/2,0/0,0,2,2,1,3,1,0,0,-13,3
Croatia,France,63,105,1706,11,Ana Petrak,02:58,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-7,0
Croatia,France,63,105,1706,14,Nina Premasunac,06:11,2,1/2,1/2,0/0,0/2,0,1,1,0,0,0,0,0,-13,0
Croatia,France,63,105,1706,18,Ivana Dojkic,30:48,10,2/13,1/8,1/5,5/9,0,0,0,2,3,3,1,0,-35,-5
Croatia,France,63,105,1706,19,Matea Tadic,22:04,6,2/4,2/3,0/1,2/2,0,1,1,3,1,2,1,0,-9,7
Croatia,France,63,105,1706,22,Lea Miletic,13:12,4,2/4,2/2,0/2,0/0,0,1,1,0,2,0,0,0,-7,3
Croatia,France,63,105,1706,24,Klaudia Perisa,16:58,3,1/5,0/0,1/5,0/0,0,0,0,2,0,0,2,0,-20,3
Belarus,Spain,53,51,1706,4,Alena Karasevich,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Belarus,Spain,53,51,1706,5,Aliaksandra Tarasava,16:59,2,1/5,1/4,0/1,0/0,0,0,0,1,3,0,1,0,-3,0
Belarus,Spain,53,51,1706,7,Yuliya Rytsikava,26:28,0,0/2,0/0,0/2,0/0,1,1,2,1,0,1,1,0,4,1
Belarus,Spain,53,51,1706,8,Tatsiana Likhtarovich,28:08,2,1/9,1/7,0/2,0/0,1,6,7,2,1,2,1,1,-1,3
Belarus,Spain,53,51,1706,9,Volha Ziuzkova,21:57,4,2/4,2/3,0/1,0/0,0,1,1,2,1,1,0,0,1,4
