country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Tahiti,Samoa,91,75,2311,11,Oceane Julie Poerani Lefranc,39:40,25,8/20,8/18,0/2,9/14,9,10,19,2,2,3,1,0,14,27
Tahiti,Samoa,91,75,2311,12,Maea Lextreyt,29:46,8,2/8,1/4,1/4,3/4,1,2,3,4,3,1,2,0,-2,9
Tahiti,Samoa,91,75,2311,13,Pitoura Lucie Matohil,27:23,16,7/12,7/12,0/0,2/2,3,4,7,0,3,3,1,0,11,16
Tahiti,Samoa,91,75,2311,14,Rosa Manaha Tuhiata Mariteragi,15:52,9,3/5,2/2,1/3,2/3,1,2,3,1,1,1,0,0,22,9
Tahiti,Samoa,91,75,2311,15,Temana Jamie Desirie Teururai,12:46,0,0/6,0/6,0/0,0/0,2,3,5,1,5,3,0,0,7,-3
Samoa,Tahiti,75,91,2311,1,Valina Leota,03:49,0,0/1,0/1,0/0,0/0,0,0,0,0,1,0,0,0,-5,-1
Samoa,Tahiti,75,91,2311,2,Aufui Sau,10:04,2,1/1,1/1,0/0,0/0,1,1,2,0,5,0,0,0,9,4
Samoa,Tahiti,75,91,2311,3,Fialauia Faifeau Hunt,17:30,12,4/10,4/9,0/1,4/5,2,3,5,0,1,1,1,0,-14,10
Samoa,Tahiti,75,91,2311,4,Taylor Tamapua Muaulu,00:34,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-1,0
Samoa,Tahiti,75,91,2311,5,Cherish  Manumaleuga,33:13,34,11/23,10/17,1/6,11/15,1,2,3,0,4,3,2,0,-12,20
Samoa,Tahiti,75,91,2311,6,Linda Junita Kelsall,16:00,2,0/3,0/2,0/1,2/2,0,3,3,1,4,0,0,0,-5,3
Samoa,Tahiti,75,91,2311,7,Cellestin  Pauga,10:31,8,2/6,0/2,2/4,2/2,2,0,2,1,0,1,1,0,0,7
Samoa,Tahiti,75,91,2311,8,Theresa Maelegameli Vaaelua,30:43,2,1/9,1/9,0/0,0/6,3,1,4,0,3,2,1,0,-16,-9
Samoa,Tahiti,75,91,2311,9,Courtenay Paige Le'Au'Anae,28:04,1,0/6,0/5,0/1,1/6,0,2,2,3,3,5,0,0,-12,-10
Samoa,Tahiti,75,91,2311,10,Frances Teneva Ropati,35:10,14,6/11,6/8,0/3,2/4,6,12,18,2,3,3,1,0,-19,25
Samoa,Tahiti,75,91,2311,11,Moana Melody Paulo,08:40,0,0/2,0/2,0/0,0/2,1,1,2,1,2,0,0,0,-10,-1
Samoa,Tahiti,75,91,2311,12,Theresa Tina Avilla Vaoliko,05:35,0,0/0,0/0,0/0,0/0,0,0,0,0,1,0,0,0,5,0
American Samoa,Samoa,53,70,2411,4,Cecilia Rosary Taufa'asau,18:04,4,2/5,2/5,0/0,0/0,0,3,3,1,2,1,0,0,-12,4
American Samoa,Samoa,53,70,2411,5,Racquelle Monsua Toleafoa,32:10,14,6/13,6/12,0/1,2/3,2,6,8,0,3,3,1,0,-14,12
American Samoa,Samoa,53,70,2411,6,Olivialynn Meliame- Vaiomounga,32:43,5,2/7,2/5,0/2,1/2,1,7,8,2,1,7,1,0,-11,3
American Samoa,Samoa,53,70,2411,10,Christina Aileen Mendoza,22:04,4,2/4,2/4,0/0,0/0,1,2,3,1,2,3,1,0,-8,4
American Samoa,Samoa,53,70,2411,11,Esther Sasaouaga Taufa'asau,12:35,2,1/2,1/2,0/0,0/0,1,2,3,0,1,3,1,0,-2,2
American Samoa,Samoa,53,70,2411,12,Mariah Litara Masoli,38:52,12,4/11,3/7,1/4,3/4,1,4,5,3,2,5,2,0,-18,9
American Samoa,Samoa,53,70,2411,23,Rhozlyn June Dee Toleafoa,19:56,0,0/5,0/3,0/2,0/0,2,4,6,2,4,2,1,0,-10,2
American Samoa,Samoa,53,70,2411,33,Raelisa Ivalua Airah  Toleafoa,23:31,12,6/12,6/12,0/0,0/0,4,1,5,2,2,6,0,0,-10,7
Samoa,American Samoa,70,53,2411,1,Valina Leota,11:28,2,1/2,1/2,0/0,0/0,0,3,3,0,0,0,0,0,7,4
Samoa,American Samoa,70,53,2411,2,Aufui Sau,27:55,10,3/8,3/8,0/0,4/6,5,8,13,2,1,3,2,0,18,17
Samoa,American Samoa,70,53,2411,3,Fialauia Faifeau Hunt,24:15,18,6/15,6/13,0/2,6/14,2,0,2,1,2,2,3,0,10,5
Samoa,American Samoa,70,53,2411,4,Taylor Tamapua Muaulu,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Samoa,American Samoa,70,53,2411,5,Cherish  Manumaleuga,21:36,9,3/11,2/6,1/5,2/2,1,1,2,1,2,1,4,0,6,7
Samoa,American Samoa,70,53,2411,6,Linda Junita Kelsall,17:28,4,2/7,2/4,0/3,0/0,2,0,2,2,1,2,2,0,6,3
Samoa,American Samoa,70,53,2411,7,Cellestin  Pauga,11:41,2,1/11,1/5,0/6,0/0,1,1,2,0,2,0,0,0,1,-6
Samoa,American Samoa,70,53,2411,8,Theresa Maelegameli Vaaelua,20:48,14,7/9,7/8,0/1,0/0,3,0,3,2,3,2,2,0,14,17
Samoa,American Samoa,70,53,2411,9,Courtenay Paige Le'Au'Anae,22:22,5,1/7,0/4,1/3,2/6,2,3,5,3,0,4,2,0,11,1
Samoa,American Samoa,70,53,2411,10,Frances Teneva Ropati,15:40,2,1/3,1/3,0/0,0/0,1,4,5,0,1,0,3,0,12,8
Samoa,American Samoa,70,53,2411,11,Moana Melody Paulo,11:41,2,1/1,1/1,0/0,0/0,0,1,1,1,0,0,0,0,1,4
Samoa,American Samoa,70,53,2411,12,Theresa Tina Avilla Vaoliko,15:01,2,1/2,1/2,0/0,0/0,1,1,2,0,2,1,0,0,-1,2
Cook Islands,Tahiti,91,58,2411,2,Janet  Main,26:25,12,4/8,4/7,0/1,4/6,3,3,6,0,2,4,1,0,16,9
Cook Islands,Tahiti,91,58,2411,5,Jasmine  Davis,26:56,3,1/4,1/3,0/1,1/2,2,5,7,3,2,2,1,0,19,8
Cook Islands,Tahiti,91,58,2411,6,Terai Sadler,25:58,8,3/7,3/7,0/0,2/5,6,7,13,2,2,1,2,0,18,17
Cook Islands,Tahiti,91,58,2411,7,Adoniah Lewis,22:38,9,3/10,1/4,2/6,1/2,2,3,5,1,3,0,0,0,19,7
Cook Islands,Tahiti,91,58,2411,9,Keziah-Brittany  Lewis,24:47,22,7/23,5/16,2/7,6/6,2,2,4,2,2,0,5,0,24,17
Cook Islands,Tahiti,91,58,2411,10,Kayla Kiriau,19:15,14,4/11,2/8,2/3,4/8,5,1,6,2,0,3,2,0,26,10
Cook Islands,Tahiti,91,58,2411,11,Dalen  Pilitati,18:55,16,6/11,2/5,4/6,0/0,3,4,7,0,1,2,0,0,18,16
Cook Islands,Tahiti,91,58,2411,13,Richelle  Gempton,11:40,3,1/4,1/4,0/0,1/2,4,1,5,0,5,2,1,0,7,3
Cook Islands,Tahiti,91,58,2411,14,Maine  Mareko,03:52,0,0/0,0/0,0/0,0/0,0,0,0,0,3,1,0,0,2,-1
