team_id,team,total,no_hs,vue_json_players,vue_json_hs,sidearm_hs_values,dl_hs_cells,dl_hs_nonempty,presto_combined,sidearm_hs_sample,error
402,McNeese State,13,2,0,0,11,0,0,0,"['Campbell High', 'Granada Mas Baloncesta', 'Griffin High']",
405,Menlo,17,17,0,0,0,0,0,0,[],
410,Merrimack,15,3,0,0,12,0,0,0,"['Archbishop Williams', 'Carondelet High School', 'Chanhassen High School']",
413,MSU Denver,12,2,0,0,10,0,0,0,"['Centennial', 'City of London Academy', 'Coronado']",
417,Michigan Tech,16,1,0,0,15,0,0,0,"['Becker', 'Delano', 'East Lansing']",
422,Miles,1,1,0,0,0,0,0,0,[],
424,Millikin,23,1,0,0,22,0,0,0,"['Academy High', 'Alton High School', 'Bloom Township']",
426,Millsaps,24,12,0,0,12,0,0,0,"['Ashville', 'Baker', 'Brusly']",
427,Minn. Duluth,15,1,0,0,14,0,0,0,"['Appleton East HS', 'Dallas Center-Grimes High School', 'Davies High School']",
429,Mississippi College,15,15,0,0,0,0,0,0,[],
431,MUW,17,1,0,0,15,0,0,0,"['Columbus Christian Academy', 'Gulfport HS (MS)', 'Kossuth HS']",
435,Missouri S&T,18,8,0,0,10,0,0,0,"['Galesburg', 'Holland Hall', 'Lake Park']",
437,Molloy,11,3,0,0,7,0,0,0,"['Baldwin', 'Bayonne', 'Brooklyn High School for Law and Technology']",
438,Monmouth (IL),12,6,0,0,6,0,0,0,"['Charleston', 'Harvard', 'Lincoln']",
460,UNCW,12,1,0,0,11,0,0,0,"['Central Pointe Christian Academy', 'Dorman High School', 'Houston Christian Academy']",
466,Nevada,16,2,0,0,14,0,0,0,"['Albert M. Lowry HS', 'Bishop Manogue HS', 'Clovis East High School']",
470,New Haven,20,3,0,0,17,0,0,0,"['Alexandria Area High School', 'Baldwin', 'Boswell']",
472,New Mexico State,14,13,0,0,1,0,0,0,['Las Cruces HS'],
474,New Orleans,13,13,0,0,0,0,0,0,[],
48,Charleston Southern,13,4,0,0,9,0,0,0,"['Billings Senior High School', 'Blanche Ely HS', 'Box Hill Senior Secondary College']",
482,Niagara,14,6,0,0,8,0,0,0,"['Charnwood College', 'Colegio Villalkor', 'Gloucester Catholic']",
49,Barry,14,14,0,0,0,0,0,0,[],
498,Louisiana Monroe,13,2,0,0,11,0,0,0,"['Baradene College', 'Bartlett High School', 'Ben L. Smith HS']",
500,Northeastern,13,6,0,0,7,0,0,0,"['Averill Park', 'Canton', 'Hightower High School']",
505,Northern Kentucky,13,7,0,0,6,0,0,0,"['Conner HS', 'Hof Hasharon', 'Lafayette Jefferson']",
514,Oakland,14,3,0,0,11,0,0,0,"['Boilingbrook H.S.', 'Butler College Prep', 'Cathedral']",
515,Oberlin,11,1,0,0,10,0,0,0,"['Bishop Fenwick', 'Haldane', 'Ithaca']",
527,Oral Roberts,12,1,0,0,11,0,0,0,"['Andover HS', 'Bethany HS', 'Bixby HS']",
533,Pace,18,10,0,0,8,0,0,0,"['East Meadow High School', 'Greens Farms Academy', 'Hanover High School']",
534,Pacific,14,3,0,0,11,0,0,0,"['Folsom HS', 'Gymnasium Kraljevo', 'La Cueva HS']",
536,UT-Rio Grande Valley,13,1,0,0,12,0,0,0,"['Carlsbad High School', 'Chaparral High School', 'Clear Brook High School']",
54,Bemidji St.,14,6,0,0,8,0,0,0,"['Alexandria Area HS', 'Cass Lake-Bena HS', 'Chaska HS']",
560,Queens (NY),15,8,0,0,7,0,0,0,"['Bayonne High School', 'Franklin D. Roosevelt Senior High School', 'Leonia']",
565,Randolph-Macon,18,7,0,0,11,0,0,0,"['A.C. Reynolds', 'Berks Catholic', 'Cave Spring']",
572,Rhode Island,13,2,0,0,11,0,0,0,"['Bon Soleil (UAlbany)', 'Cégep Champlain Saint-Lambert (UAlbany)', 'IES Carmen Martin Gaite (Wofford)']",
579,Robert Morris,15,2,0,0,13,0,0,0,"['Bullis', 'George Rogers Clark', 'Hampton']",
6,Alabama A&M,15,15,0,0,0,0,0,0,[],
608,Saint Leo,16,1,0,0,17,0,0,0,"['Berkeley Prep', 'Division Avenue', 'George Rogers Clark']",
609,Saint Louis,12,3,0,0,9,0,0,0,"['Capital Courts Academy (Canada)', 'Centralia High School', 'Gibson Southern']",
613,Saint Michael's,13,1,0,0,14,0,0,0,"['Brentwood School', 'Colonie Central', 'Colonie Central (Saint Rose)']",
627,San Diego,13,1,0,0,12,0,0,0,"['Centennial', 'Cherry Creek', 'Crescenta Valley']",
647,South Carolina St.,19,19,0,0,0,0,0,0,[],
648,South Carolina,15,2,0,0,0,0,0,0,[],
655,Southeastern Louisiana,14,1,0,0,13,0,0,0,"['Brandeis HS', 'Brewer HS', 'Church Point HS']",
670,Texas State,13,2,0,0,11,0,0,0,"['AZ Compass Prep (Ariz.)', 'Cibenik Medical School', 'Elizabeth Seton HS']",
678,Stetson,13,1,0,0,12,0,0,0,"['Antioch Community High School', 'Bartlett High School', 'Catholic High School']",
683,Stony Brook,13,1,0,0,11,0,0,0,"['Archbishop Carroll', 'Bishop McNamara Catholic', 'Champlain College Saint-Lambert']",
691,Tennessee St.,13,3,0,0,10,0,0,0,"['Beech', 'Brewbaker Tech Magnet', 'Camden']",
696,Tex. A&M-Kingsville,13,2,0,0,9,0,0,0,"['Bishop High School', 'Clark High School', 'Farwell High School']",
701,Texas Woman's,14,8,0,0,6,0,0,0,"['Argyle', 'Brewer', 'Burges']",
704,Texas-El Paso,13,10,0,0,3,0,0,0,"['Brewer High School', 'Downingtown East HS', 'North Shore Senior HS']",
711,Towson,15,1,0,0,14,0,0,0,"['Archbishop Wood', 'Burlington County Institute of Technology', 'DME Academy']",
72,Bradley,13,4,13,9,0,0,0,0,[],
738,Vermont,14,1,0,0,13,0,0,0,"['Abbotsford Senior Secondary School', 'Alexandria', 'Champlain Valley Union']",
740,Virginia Commonwealth,8,3,0,0,5,0,0,0,"['Capital Courts', 'Carrollton', 'Grand Island Central Catholic']",
743,Virginia State,13,1,0,0,11,0,0,0,"['Culpeper County', 'David W. Butler', 'Garner Magnet']",
748,Wagner,15,2,0,0,13,0,0,0,"['Ardrey Kell High School', 'Columbia High School', 'GS Esperides Kalliotheas']",
769,Western Carolina,13,1,0,0,10,0,0,0,"['Blacksburg HS', 'Butler High School', 'Cass Tech']",
774,Western Michigan,13,2,0,0,9,0,0,0,"['Argyle Secondary', 'Bonita Vista Senior', 'Carroll']",
782,Wichita State,12,1,0,0,10,0,0,0,"['AZ Compass Prep', 'Alton HS', 'Blue Valley West HS']",
792,Winthrop,14,2,0,0,12,0,0,0,"['Alief Taylor H.S.', 'Baldwin H.S.', 'Crockett']",
794,Green Bay,15,1,0,0,12,0,0,0,"['Becker', 'Elkhorn HS', 'Gladstone HS']",
811,Wyoming,15,1,15,14,0,0,0,0,[],
8366,Goldey-Beacom,14,2,0,0,12,0,0,0,"['Clearview', 'Conrad', 'Early College School']",
84,Buena Vista,20,1,0,0,18,0,0,0,"['Cherokee Washington High School', 'East Sac County', 'Fleming']",
8411,Ark.-Monticello,13,1,0,0,12,0,0,0,"['Baptist Prep Highschool', 'Benton High School', 'Cossatot River High School']",
8744,Southwestern Okla.,12,12,0,0,0,0,0,0,[],
8935,Converse,19,3,0,0,16,0,0,0,"['1 of 1 Academy', 'A.C. Flora High School', 'Antonius College Gouda']",
8965,East Central,13,7,0,0,6,0,0,0,"['Byron Nelson HS', 'Chickasha High School', 'Rains HS']",
9012,Mo. Southern St.,15,15,0,0,0,0,0,0,[],
9223,North Greenville,15,15,0,0,0,0,0,0,[],
929,Adams St.,14,8,0,0,6,0,0,0,"['Beechcroft HS', 'Desert Oasis HS', 'Las Cruces HS']",
94,Cal State Bakersfield,15,15,0,0,1,0,0,0,['Laney College'],
947,Arkansas Tech,14,14,0,0,0,0,0,0,[],
985,Bluefield St.,16,12,0,0,4,0,0,0,"['Ben L. Smith HS', 'Hernando HS', 'Ithaca HS']",
