team_id,team,group,fix_count,total,no_hs,csv_hs_26,hs_25,payload_hs,roster_flavor,nuxt,note
30028,Texas-Tyler,site_publishes_none,,15,2,13,0,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30035,Crown (MN),site_publishes_none,,18,1,17,16,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30045,Palm Beach Atl.,site_publishes_none,,18,2,16,11,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30047,Keystone,genuine_gap,,10,3,7,16,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
30069,Franciscan,site_publishes_none,,12,5,7,13,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30073,William Smith,site_publishes_none,,13,2,11,13,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30092,Flagler,genuine_gap,,15,5,10,0,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
30105,Ark.-Fort Smith,site_publishes_none,,13,8,5,16,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30111,Covenant,site_publishes_none,,17,7,10,14,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30119,Ohio Dominican,genuine_gap,,9,3,6,15,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
30120,William Jewell,combined_column,,16,16,0,0,0,oas_card,False,2 missing rows have HS-looking values in previous_school
30127,Simon Fraser,genuine_gap,,14,1,13,14,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
30149,Point Loma,site_publishes_none,,13,1,12,12,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30153,Union (TN),combined_column,,16,11,5,6,0,oas_card,False,7 missing rows have HS-looking values in previous_school
30154,Young Harris,site_publishes_none,,17,1,16,18,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30178,Northwestern Okla.,site_publishes_none,,17,7,10,4,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30192,Southern Wesleyan,site_publishes_none,,15,6,9,17,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30202,Okla. Baptist,combined_column,,12,11,1,0,0,oas_card,False,6 missing rows have HS-looking values in previous_school
30220,Biola,bio_page_fixable,,15,15,0,0,0,oas_card,False,missing player's bio page shows: Lynden Christian School
30221,Davenport,site_publishes_none,,15,5,10,15,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30222,Purdue Northwest,genuine_gap,,15,3,12,13,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
307,Indiana (PA),site_publishes_none,,14,5,9,14,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
309,UIndy,genuine_gap,,16,1,15,16,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
315,Jacksonville St.,genuine_gap,,13,2,11,12,11,person_card,True,site publishes HS for only 11/13
