team_id,team,name,title,url,season
430,Mississippi State,Samantha Williams,Assistant Women's Basketball Coach / Chief Of Basketball Strategy,https://hailstate.com/sports/womens-basketball/roster/coaches/samantha-williams/3218,2025-26
430,Mississippi State,Tony Dukes,Assistant Women's Basketball Coach / Senior Director of Scouting and Analytics,https://hailstate.com/sports/womens-basketball/roster/coaches/tony-dukes/3214,2025-26
430,Mississippi State,Kaiti Jones,Strength & Conditioning Coach (WBK),https://hailstate.com/sports/wbball/roster/staff/kaiti-jones/5,2025-26
306,Indiana,Teri Moren,Head Coach,https://iuhoosiers.com/sports/womens-basketball/roster/coaches/teri-moren/4207,2025-26
306,Indiana,Rhet Wierzba,Associate Head Coach,https://iuhoosiers.com/sports/womens-basketball/roster/coaches/rhet-wierzba/4208,2025-26
306,Indiana,Colsten Thompson,Assistant Coach/Recruiting Coordinator,https://iuhoosiers.com/sports/womens-basketball/roster/coaches/colsten-thompson/4227,2025-26
306,Indiana,Ali Patberg,Assistant Coach,https://iuhoosiers.com/sports/womens-basketball/roster/coaches/ali-patberg/4210,2025-26
306,Indiana,Paul Miller,Director of Scouting and Analytics/Assistant Coach,https://iuhoosiers.com/sports/womens-basketball/roster/coaches/paul-miller/4229,2025-26
306,Indiana,Keyanna Warthen,Team & Recruitment Coordinator/Assistant Coach,https://iuhoosiers.com/sports/womens-basketball/roster/coaches/keyanna-warthen/4216,2025-26
694,Tennessee,Kim  Caldwell,Head Coach,https://utsports.com/sports/womens-basketball/roster/coaches/kim-caldwell/5691,2025-26
694,Tennessee,Roman Tubner,Assistant Coach,https://utsports.com/sports/womens-basketball/roster/coaches/roman-tubner/5692,2025-26
694,Tennessee,Gabe Lazo,Assistant Coach,https://utsports.com/sports/womens-basketball/roster/coaches/gabe-lazo/5693,2025-26
694,Tennessee,Jenna Burdette,Assistant Coach,https://utsports.com/sports/womens-basketball/roster/coaches/jenna-burdette/5694,2025-26
694,Tennessee,Angel Rizor,Assistant Coach,https://utsports.com/sports/womens-basketball/roster/coaches/angel-rizor/5695,2025-26
694,Tennessee,Lexie Barrier,Assistant Coach,https://utsports.com/sports/womens-basketball/roster/coaches/lexie-barrier/5696,2025-26
694,Tennessee,Maggie Stanley,Assistant Director of Women's Basketball Operations/Special Assistant to the Head Coach,https://utsports.com/sports/wbball/roster/staff/maggie-stanley/955,2025-26
387,Marquette,Cara Consuegra,Head Coach,https://gomarquette.com/sports/womens-basketball/roster/coaches/cara-consuegra/2013,2025-26
387,Marquette,Deont'a McChester,Assistant Coach,https://gomarquette.com/sports/womens-basketball/roster/coaches/deont-amcchester/2014,2025-26
387,Marquette,Khadijah Rushdan,Assistant Coach / Recruiting Coordinator,https://gomarquette.com/sports/womens-basketball/roster/coaches/khadijah-rushdan/2012,2025-26
387,Marquette,Chaia Huff,Assistant Coach,https://gomarquette.com/sports/womens-basketball/roster/coaches/chaia-huff/2015,2025-26
387,Marquette,Sam Logic,Assistant Coach,https://gomarquette.com/sports/womens-basketball/roster/coaches/sam-logic/2016,2025-26
387,Marquette,Michael Garven,Assistant Coach,https://gomarquette.com/sports/womens-basketball/roster/coaches/michael-garven/2047,2025-26
404,Memphis,Alex Simmons,Head Coach,https://gotigersgo.com/sports/womens-basketball/roster/coaches/alex-simmons/3998,2025-26
404,Memphis,Harlyn Wyatt,Assistant Coach/Recruiting Coordinator,https://gotigersgo.com/sports/womens-basketball/roster/coaches/harlyn-wyatt/3999,2025-26
404,Memphis,Garner Small,Assistant Coach,https://gotigersgo.com/sports/womens-basketball/roster/coaches/garner-small/4002,2025-26
404,Memphis,Vonn Read,Assistant Coach,https://gotigersgo.com/sports/womens-basketball/roster/coaches/vonn-read/4018,2025-26
404,Memphis,Brea Elmore,Assistant Coach,https://gotigersgo.com/sports/womens-basketball/roster/coaches/brea-elmore/4001,2025-26
404,Memphis,Kevin Sullivan,Assistant Coach,https://gotigersgo.com/sports/womens-basketball/roster/coaches/kevin-sullivan/4005,2025-26
419,Middle Tennessee,Rick Insell,Head Coach,https://goblueraiders.com/sports/womens-basketball/roster/coaches/rick-insell/2185,2025-26
419,Middle Tennessee,Matt Insell,Associate Head Coach,https://goblueraiders.com/sports/womens-basketball/roster/coaches/matt-insell/2187,2025-26
419,Middle Tennessee,Kim Brewton,Assistant Coach,https://goblueraiders.com/sports/womens-basketball/roster/coaches/kim-brewton/2186,2025-26
419,Middle Tennessee,Nina Davis,Assistant Coach,https://goblueraiders.com/sports/womens-basketball/roster/coaches/nina-davis/2189,2025-26
419,Middle Tennessee,Tom Hodges,Assistant Coach – Director of Analytics,https://goblueraiders.com/sports/womens-basketball/roster/coaches/tom-hodges/2188,2025-26
419,Middle Tennessee,Shelby Davis,Assistant Coach – Coordinator of Basketball Relations,https://goblueraiders.com/sports/womens-basketball/roster/coaches/shelby-davis/2228,2025-26
419,Middle Tennessee,Rachel Pike,Assistant Strength and Conditioning Coach (Women's Basketball & Women's Golf),https://goblueraiders.com/sports/wbball/roster/staff/rachel-pike/456,2025-26
529,Oregon,Kelly Graves,Head Coach,https://goducks.com/sports/womens-basketball/roster/coaches/kelly-graves/5359,2025-26
529,Oregon,Jodie Berry,Associate Head Coach,https://goducks.com/sports/womens-basketball/roster/coaches/jodie-berry/5360,2025-26
529,Oregon,Jerise Freeman,"Assistant Coach, Recruiting Coordinator",https://goducks.com/sports/womens-basketball/roster/coaches/jerise-freeman/5364,2025-26
529,Oregon,Tre Simmons,Assistant Coach,https://goducks.com/sports/womens-basketball/roster/coaches/tre-simmons/5361,2025-26
529,Oregon,Lisa O'Meara,"Director of Creativity, Assistant Coach",https://goducks.com/sports/womens-basketball/roster/coaches/lisa-o-meara/5362,2025-26
529,Oregon,Oti Gildon,"Director of Player Development, Assistant Coach",https://goducks.com/sports/womens-basketball/roster/coaches/oti-gildon/5363,2025-26
529,Oregon,Brittany Wiebe,Head Strength and Conditioning Coach,https://goducks.com/sports/wbball/roster/staff/brittany-wiebe/1536,2025-26
545,Pittsburgh,Tory Verdi,"Head Coach, Women's Basketball",https://pittsburghpanthers.com/sports/womens-basketball/roster/coaches/tory-verdi/2444,2025-26
545,Pittsburgh,Candice Finley,Assistant Coach / Recruiting Coordinator,https://pittsburghpanthers.com/sports/womens-basketball/roster/coaches/candice-finley/2445,2025-26
545,Pittsburgh,Anthony Brammer,Assistant Coach / GM,https://pittsburghpanthers.com/sports/womens-basketball/roster/coaches/anthony-brammer/2446,2025-26
545,Pittsburgh,Devan Newman,Assistant Coach,https://pittsburghpanthers.com/sports/womens-basketball/roster/coaches/devan-newman/2447,2025-26
545,Pittsburgh,Abby Anderson,Assistant Coach / Director of Player Development,https://pittsburghpanthers.com/sports/womens-basketball/roster/coaches/abby-anderson/2448,2025-26
545,Pittsburgh,Camron Blair,Head Strength & Conditioning Coach,https://pittsburghpanthers.com/sports/wbball/roster/staff/camron-blair/350,2025-26
635,Seton Hall,Anthony Bozzella,Head Coach,https://shupirates.com/sports/womens-basketball/roster/coaches/anthony-bozzella/3828,2025-26
635,Seton Hall,Jose Rebimbas,Assistant Coach,https://shupirates.com/sports/womens-basketball/roster/coaches/jose-rebimbas/3829,2025-26
635,Seton Hall,Cassandra Callaway,Assistant Coach / Recruiting Coordinator,https://shupirates.com/sports/womens-basketball/roster/coaches/cassandra-callaway/3832,2025-26
635,Seton Hall,Ka-Deidre Simmons,Assistant Coach,https://shupirates.com/sports/womens-basketball/roster/coaches/ka-deidre-simmons/3833,2025-26
690,Temple,Diane Richardson,Head Coach,https://owlsports.com/sports/womens-basketball/roster/coaches/diane-richardson/5207,2025-26
690,Temple,Wanisha Smith,Associate Head Coach/Recruiting Coordinator,https://owlsports.com/sports/womens-basketball/roster/coaches/wanisha-smith/5226,2025-26
690,Temple,Myles Jackson,Assistant Coach,https://owlsports.com/sports/womens-basketball/roster/coaches/myles-jackson/5210,2025-26
690,Temple,Cheyenne Curley,Assistant Coach,https://owlsports.com/sports/womens-basketball/roster/coaches/cheyenne-curley/5208,2025-26
690,Temple,Shenita Landry,Assistant Coach,https://owlsports.com/sports/womens-basketball/roster/coaches/shenita-landry/5209,2025-26
690,Temple,Aaron Thomas,Assistant Coach,https://owlsports.com/sports/womens-basketball/roster/coaches/aaron-thomas/5212,2025-26
716,Troy,Chanda Rigby,Head Coach,https://troytrojans.com/sports/womens-basketball/roster/coaches/chanda-rigby/1969,2025-26
716,Troy,Jennifer Graf,Associate Head Coach,https://troytrojans.com/sports/womens-basketball/roster/coaches/jennifer-graf/1970,2025-26
716,Troy,Stephanie Murphy,Assistant Coach,https://troytrojans.com/sports/womens-basketball/roster/coaches/stephanie-murphy/1972,2025-26
716,Troy,Grace Daniels,Assistant Coach,https://troytrojans.com/sports/womens-basketball/roster/coaches/grace-daniels/1973,2025-26
716,Troy,Shannon Lemons,Strength & Conditioning Coach,https://troytrojans.com/sports/wbball/roster/staff/shannon-lemons/68,2025-26
110,UCLA,Cori Close,The Michael Price Family UCLA Women's Head Basketball Coach,https://uclabruins.com/sports/womens-basketball/roster/coaches/cori-close/4245,2025-26
110,UCLA,Tony Newnan,Associate Head Coach,https://uclabruins.com/sports/womens-basketball/roster/coaches/tony-newnan/4246,2025-26
110,UCLA,Tasha Brown,Assistant Coach,https://uclabruins.com/sports/womens-basketball/roster/coaches/tasha-brown/4247,2025-26
110,UCLA,Soh Matsuura,Assistant Coach,https://uclabruins.com/sports/womens-basketball/roster/coaches/soh-matsuura/4248,2025-26
110,UCLA,James Clark,Assistant Coach,https://uclabruins.com/sports/womens-basketball/roster/coaches/james-clark/4249,2025-26
110,UCLA,Michaela Onyenwere,Assistant Coach,https://uclabruins.com/sports/womens-basketball/roster/coaches/michaela-onyenwere/4314,2025-26
164,UConn,Geno Auriemma,Head Coach,https://uconnhuskies.com/sports/womens-basketball/roster/coaches/geno-auriemma/1474,2025-26
164,UConn,Chris Dailey,Associate Head Coach,https://uconnhuskies.com/sports/womens-basketball/roster/coaches/chris-dailey/1475,2025-26
164,UConn,Jamelle Elliott,Assistant Coach,https://uconnhuskies.com/sports/womens-basketball/roster/coaches/jamelle-elliott/1476,2025-26
164,UConn,Morgan Valley,Assistant Coach,https://uconnhuskies.com/sports/womens-basketball/roster/coaches/morgan-valley/1477,2025-26
164,UConn,Tonya  Cardoza,Assistant Coach,https://uconnhuskies.com/sports/womens-basketball/roster/coaches/tonya-cardoza/1479,2025-26
418,Michigan,Kim Barnes Arico,J. Ira and Nicki Harris Family Head Women's Basketball Coach,https://mgoblue.com/sports/womens-basketball/roster/coaches/kim-barnes-arico/6700,2025-26
418,Michigan,Melanie Moore,Assistant Coach,https://mgoblue.com/sports/womens-basketball/roster/coaches/melanie-moore/6701,2025-26
418,Michigan,Justine Raterman,Assistant Coach,https://mgoblue.com/sports/womens-basketball/roster/coaches/justine-raterman/6702,2025-26
418,Michigan,Natalie Achonwa,Assistant Coach for Player Development,https://mgoblue.com/sports/womens-basketball/roster/coaches/natalie-achonwa/6704,2025-26
418,Michigan,Jordann Reese,Assistant Coach,https://mgoblue.com/sports/womens-basketball/roster/coaches/jordann-reese/6705,2025-26
418,Michigan,Danielle Rauch,Assistant Coach,https://mgoblue.com/sports/womens-basketball/roster/coaches/danielle-rauch/6706,2025-26
367,Louisville,Jeff Walz,Head Coach,https://gocards.com/sports/womens-basketball/roster/coaches/jeff-walz/2874,2025-26
367,Louisville,Jonneshia Pineda,Associate Coach,https://gocards.com/sports/womens-basketball/roster/coaches/jonneshia-pineda/2878,2025-26
367,Louisville,Shay Robinson,Associate Coach,https://gocards.com/sports/womens-basketball/roster/coaches/shay-robinson/2880,2025-26
367,Louisville,Amanda Butler,Assistant Coach,https://gocards.com/sports/womens-basketball/roster/coaches/amanda-butler/2882,2025-26
367,Louisville,Brittany Morris,Assistant Coach,https://gocards.com/sports/womens-basketball/roster/coaches/brittany-morris/2903,2025-26
367,Louisville,LaMont Russell,Assistant Coach/Director of Video Analytics and Graphic Design,https://gocards.com/sports/womens-basketball/roster/coaches/lamont-russell/2877,2025-26
367,Louisville,Rhen Vail,Head Strength & Conditioning Coach,https://gocards.com/sports/womens-basketball/roster/coaches/rhen-vail/2879,2025-26
732,Utah,Gavin Petersen,Head Coach,https://utahutes.com/sports/womens-basketball/roster/coaches/gavin-petersen/4295,2025-26
732,Utah,Jordan MacIntyre,Assistant Coach/ Recruiting Coordinator,https://utahutes.com/sports/womens-basketball/roster/coaches/jordan-macintyre/4298,2025-26
732,Utah,Morgan Bailey,Assistant Coach,https://utahutes.com/sports/womens-basketball/roster/coaches/morgan-bailey/4302,2025-26
732,Utah,Ryan Larsen,Assistant Coach,https://utahutes.com/sports/womens-basketball/roster/coaches/ryan-larsen/4304,2025-26
732,Utah,Jace Henderson,Assistant Coach,https://utahutes.com/sports/womens-basketball/roster/coaches/jace-henderson/4305,2025-26
732,Utah,Jenna  Ross,Assistant Coach,https://utahutes.com/sports/womens-basketball/roster/coaches/jenna-ross/4416,2025-26
749,Wake Forest,Megan Gebbia,Head Coach,https://godeacs.com/sports/womens-basketball/roster/coaches/megan-gebbia/1502,2025-26
749,Wake Forest,Nikki Flores,Assistant Coach/Recruiting Director,https://godeacs.com/sports/womens-basketball/roster/coaches/nikki-flores/1503,2025-26
749,Wake Forest,Emily Stallings,Assistant Coach,https://godeacs.com/sports/womens-basketball/roster/coaches/emily-stallings/1504,2025-26
749,Wake Forest,Darrick Gibbs,Assistant Coach,https://godeacs.com/sports/womens-basketball/roster/coaches/darrick-gibbs/1511,2025-26
47,Ball State,Brady Sallee,Head Coach,https://ballstatesports.com/sports/womens-basketball/roster/coaches/brady-sallee/2068,2025-26
47,Ball State,Audrey Spencer,Associate Head Coach,https://ballstatesports.com/sports/womens-basketball/roster/coaches/audrey-spencer/2069,2025-26
47,Ball State,Moriah Monaco,Assistant Coach,https://ballstatesports.com/sports/womens-basketball/roster/coaches/moriah-monaco/2070,2025-26
47,Ball State,Casey Morrissette,Assistant Coach,https://ballstatesports.com/sports/womens-basketball/roster/coaches/casey-morrissette/2071,2025-26
47,Ball State,Mariah King,Assistant Coach,https://ballstatesports.com/sports/womens-basketball/roster/coaches/mariah-king/2072,2025-26
47,Ball State,Shannon Patterson,Women's Basketball Strength and Conditioning Coach,https://ballstatesports.com/sports/wbball/roster/staff/shannon-patterson/309,2025-26
99,Long Beach State,Amy Wright,Head Coach,https://longbeachstate.com/sports/womens-basketball/roster/coaches/amy-wright/1404,2025-26
99,Long Beach State,Raru Archer,Assistant Coach,https://longbeachstate.com/sports/womens-basketball/roster/coaches/raru-archer/1407,2025-26
99,Long Beach State,Jesse Clark,Assistant Coach,https://longbeachstate.com/sports/womens-basketball/roster/coaches/jesse-clark/1420,2025-26
99,Long Beach State,Jashae Lee,Assistant Coach,https://longbeachstate.com/sports/womens-basketball/roster/coaches/jashae-lee/1406,2025-26
71,Bowling Green,Fred Chmiel,Head Women's Basketball Coach,https://bgsufalcons.com/sports/womens-basketball/roster/coaches/fred-chmiel/2316,2025-26
71,Bowling Green,Maggie Lucas,Assistant Women's Basketball Coach,https://bgsufalcons.com/sports/womens-basketball/roster/coaches/maggie-lucas/2317,2025-26
71,Bowling Green,John Nicolais,Assistant Women's Basketball Coach,https://bgsufalcons.com/sports/womens-basketball/roster/coaches/john-nicolais/2319,2025-26
71,Bowling Green,Kadie Hempfling,Assistant Women's Basketball Coach,https://bgsufalcons.com/sports/womens-basketball/roster/coaches/kadie-hempfling/2394,2025-26
66,Boise State,Gordy Presnell,Head Coach,https://broncosports.com/sports/womens-basketball/roster/coaches/gordy-presnell/1422,2025-26
66,Boise State,Heather Sower,Assistant Coach,https://broncosports.com/sports/womens-basketball/roster/coaches/heather-sower/1423,2025-26
66,Boise State,Cariann Ramirez,Assistant Coach,https://broncosports.com/sports/womens-basketball/roster/coaches/cariann-ramirez/1429,2025-26
66,Boise State,Mike Petrino,Assistant Coach,https://broncosports.com/sports/womens-basketball/roster/coaches/mike-petrino/1425,2025-26
66,Boise State,Jackie Robinson,Assistant Coach,https://broncosports.com/sports/womens-basketball/roster/coaches/jackie-robinson/1431,2025-26
66,Boise State,Justin Huynh,Sports Performance (Strength Coach),https://broncosports.com/sports/wbball/roster/staff/justin-huynh/521,2025-26
83,Bucknell,Trevor Woodruff,Head Coach,https://bucknellbison.com/sports/womens-basketball/roster/coaches/trevor-woodruff/1769,2025-26
83,Bucknell,Lauren Holden,Associate Head Coach,https://bucknellbison.com/sports/womens-basketball/roster/coaches/lauren-holden/1774,2025-26
83,Bucknell,Edward Joyner Jr.,Assistant Coach,https://bucknellbison.com/sports/womens-basketball/roster/coaches/edward-joyner-jr-/1773,2025-26
83,Bucknell,Danielle Patterson,Assistant Coach,https://bucknellbison.com/sports/womens-basketball/roster/coaches/danielle-patterson/1791,2025-26
83,Bucknell,Shelby Case,Basketball Operations/Assistant Coach,https://bucknellbison.com/sports/womens-basketball/roster/coaches/shelby-case/1771,2025-26
83,Bucknell,Justin McKenna,Basketball Strength & Conditioning Coach,https://bucknellbison.com/sports/wbball/roster/staff/justin-mckenna/30,2025-26
458,Charlotte,Tomekia Reed,Head Coach,https://charlotte49ers.com/sports/womens-basketball/roster/coaches/tomekia-reed/2385,2025-26
458,Charlotte,LaShonda Cousin,Associate Head Coach / Recruiting Coordinator,https://charlotte49ers.com/sports/womens-basketball/roster/coaches/lashonda-cousin/2381,2025-26
458,Charlotte,Chase Campbell,Associate Coach,https://charlotte49ers.com/sports/womens-basketball/roster/coaches/chase-campbell/2380,2025-26
458,Charlotte,Aaron A. Swinson,Assistant Coach,https://charlotte49ers.com/sports/womens-basketball/roster/coaches/aaron-a-swinson/2387,2025-26
458,Charlotte,Jariyah Covington,Director of Player Development / Special Assistant to Head Coach,https://charlotte49ers.com/sports/womens-basketball/roster/coaches/jariyah-covington/2388,2025-26
458,Charlotte,Trevor Boyd,Assistant Sports Performance Coach,https://charlotte49ers.com/sports/womens-basketball/roster/coaches/trevor-boyd/2409,2025-26
173,Davidson,Gayle Fulks,Head Coach,https://davidsonwildcats.com/sports/womens-basketball/roster/coaches/gayle-fulks/2157,2025-26
173,Davidson,James Janssen,Associate Head Coach,https://davidsonwildcats.com/sports/womens-basketball/roster/coaches/james-janssen/2158,2025-26
173,Davidson,Jasmine Jenkins,Assistant Coach/Recruiting Coordinator,https://davidsonwildcats.com/sports/womens-basketball/roster/coaches/jasmine-jenkins/2159,2025-26
173,Davidson,Laura Barry,Assistant Coach,https://davidsonwildcats.com/sports/womens-basketball/roster/coaches/laura-barry/2161,2025-26
173,Davidson,Ryan Bauder,Assistant Coach/Director of Operations and Development,https://davidsonwildcats.com/sports/womens-basketball/roster/coaches/ryan-bauder/2160,2025-26
173,Davidson,Brian Seitz,Head Basketball Sports Performance Coach,https://davidsonwildcats.com/sports/wbball/roster/staff/brian-seitz/259,2025-26
180,Delaware,Sarah Jenkins,Head Coach,https://bluehens.com/sports/womens-basketball/roster/coaches/sarah-jenkins/5630,2025-26
180,Delaware,Fred Batchelor,Associate Head Coach,https://bluehens.com/sports/womens-basketball/roster/coaches/fred-batchelor/5635,2025-26
