college,ncaa_id,college_clean,category
Azusa Pacific,30146,Azusa Pacific,College
B Maze Elite,,B Maze Elite,Other
B.C. Rain High School,,B.C. Rain High School,Other
B.Q. Martinenc,,B.Q. Martinenc,Other
Babson,45,Babson,College
Babson College,45,Babson College,College
Bachman High School,,Bachman High School,Other
Bahama National Team,,Bahama National Team,Other
Bainbridge High School,,Bainbridge High School,Other
Bakersfield,,Bakersfield,Other
Bakersfield High School,,Bakersfield High School,Other
Baldwin Park High School,,Baldwin Park High School,Other
Baldwin Wallace,46,Baldwin Wallace,College
Baldwin-Wallace,46,Baldwin-Wallace,College
Ball State,47,Ball State,College
Ballard High School,,Ballard High School,Other
Bally Total Fitness,,Bally Total Fitness,Other
Baltimore City Community College,,Baltimore City Community College,Community College
Bard College,962,Bard College,College
Barry,49,Barry,College
Barry University,49,Barry,College
Bartlett High School,,Bartlett High School,Other
Barton Community College,,Barton CC,Community College
Basketball Association of Itajai Valley,,Basketball Association of Itajai Valley,Other
Basketball BC,,Basketball BC,Other
Basketball Club Denver,,Basketball Club Denver,Other
Basketball Docs,,Basketball Docs,Other
Basketball Fiji,,Basketball Fiji,Other
Basketball Results,,Basketball Results,Other
Basketball Victoria,,Basketball Victoria,Other
Bates,50,Bates,College
Bates College,50,Bates College,College
Baton Rouge Community College,,Baton Rouge CC,Community College
Bay State Monarchs,,Bay State Monarchs,Other
Baylor,51,Baylor,College
Beachwood,,Beachwood,Other
Beaverton High School,,Beaverton High School,Other
Bella Vista College Prep,,Bella Vista College Prep,Other
Bellarmine,52,Bellarmine,College
Bellarmine University,52,Bellarmine,College
Bellarmine-Jefferson High School,,Bellarmine-Jefferson High School,Other
Belle Plaine High School,,Belle Plaine High School,Other
Bellevue University,,Bellevue,College
Bellevue West High,,Bellevue West High,Other
Belmont,14927,Belmont,College
Belmont Abbey,2683,Belmont Abbey College,College
Belmont Abbey College,2683,Belmont Abbey College,College
Beloit College,53,Beloit College,College
Bemidji State,54,Bemidji State,College
Benedict College,55,Benedict College,College
Benedictine University,296,Benedictine,College
Benedictine (IL),296,Benedictine (IL),College
Bentley,56,Bentley,College
Berea College,30171,Berea College,College
Berea Community High School,,Berea Community High School,Other
Berean Christian School,,Berean Christian School,Other
Bergen Community College,,Bergen Community College,Community College
Berry,973,Berry,College
Berry College,973,Berry College,College
Besant Hill School of Happy Valley,,Besant Hill School of Happy Valley,Other
Bethany,,Bethany College (Kan.),College
Bethany College,,Bethany College (Kan.),College
Bethany Lutheran College,30038,Bethany Lutheran College,College
Bethel University,60,Bethel,College
