college,ncaa_id,college_clean,category
Indianapolis Bandits,,Indianapolis Bandits,Other
Indy Southside Sports Academy,,Indy Southside Sports Academy,Other
Integrity Hoops,,Integrity Hoops,Other
Integrity Hoops Player Development,,Integrity Hoops Player Development,Other
International Prep,,International Prep,Other
Iona,310,Iona,College
Iona College,310,Iona,College
Iona University,310,Iona,College
Iowa,312,Iowa,College
Iowa Central Community College,,Iowa Central CC,Community College
Iowa Lakes Community College,,Iowa Lakes Community College,Community College
Iowa State,311,Iowa State,College
Iowa State University,311,Iowa State,College
Iowa Wesleyan,,Iowa Wesleyan,College
Iowa Western,,Iowa Western,Community College
Iowa Wolves,,Iowa Wolves,Other
IPFW,308,IPFW,College
Irondale High School,,Irondale High School,Other
Ironwood High School,,Ironwood High School,Other
Ithaca College,313,Ithaca,College
Ithaca,313,Ithaca,College
IU Indianapolis,2699,IU Indianapolis,College
IUPUI,2699,IUPUI,College
J.S. Clark Leadership Academy,,J.S. Clark Leadership Academy,Other
Jackson State,314,Jackson State,College
Jacksonville,316,Jacksonville,College
Jacksonville University,316,Jacksonville,College
Jacksonville College,,Jacksonville College,Community College
Jacksonville State,315,Jacksonville State,College
Jacksonville State University,315,Jacksonville State,College
Jamestown,30267,Jamestown,College
JCC Maccabi Games,,JCC Maccabi Games,Other
Jean Ribault High School,,Jean Ribault High School,Other
Jefferson,543,Jefferson,College
Jefferson Community College,,Jefferson CC,Community College
Jennings High School,,Jennings High School,Other
Jimmy C. Draughn High School,,Jimmy C. Draughn High School,Other
JLL Capital Markets,,JLL Capital Markets,Other
JMU,317,JMU,College
James Madison,317,JMU,College
John A. Ferguson Senior High School,,John A. Ferguson Senior High School,Other
John Brown University,,John Brown,College
John Carroll,320,John Carroll,College
John Carroll University,320,John Carroll,College
John Curtis Christian School,,John Curtis Christian School,Other
John Curtis HS,,John Curtis HS,Other
John Jay College of Criminal Justice,,John Jay College of Criminal Justice,Other
John Marshall High School,,John Marshall High School,Other
John T. Hoggard High School,,John T. Hoggard High School,Other
Johns Hopkins,322,Johns Hopkins,College
Johnson University,,Johnson,College
Johnson & Wales,22626,Johnson & Wales,College
Johnson and Wales University,22626,Johnson and Wales ,College
Johnson C. Smith,323,Johnson C. Smith,College
Johnson C. Smith University,323,Johnson C. Smith,College
Johnson County CC,,Johnson County CC,Community College
Johnson University (Fla.),,Johnson University (Fla.),College
Jones College,,Jones College,Community College
Jones County JC,,Jones County JC,Community College
Jones High School,,Jones High School,Other
JS Clark Leadership Academy,,JS Clark Leadership Academy,Other
JSerra Catholic High School,,JSerra Catholic High School,Other
Judson University,,Judson University,College
Juniata College,325,Juniata College,College
Junior High,,Junior High,Other
Jurupa Valley High School,,Jurupa Valley High School,Other
Kalamazoo,326,Kalamazoo,College
Kalamazoo College,326,Kalamazoo College,College
Kalkaska High School,,Kalkaska High School,Other
Kalkaska Middle School,,Kalkaska Middle School,Other
Kane's Basketball AAU,,Kane's Basketball AAU,Other
Kansai University,,Kansai University,College
Kansas,328,Kansas,College
Kansas City,2707,Kansas City,College
Kansas City Community College,,Kansas City CC,Community College
Kansas Elite AAU,,Kansas Elite AAU,Other
Kansas State,327,Kansas State,College
Kean University,329,Kean University,College
Keene State College,330,Keene State College,College
Keiser University,,Keiser,College
Kellogg Community College,,Kellogg CC,Community College
Kenner Angels,,Kenner Angels,Other
Kennesaw State,1157,Kennesaw State,College
Kent State,331,Kent State,College
Kentucky,334,Kentucky,College
University of Kentucky,334,Kentucky,College
Kentucky Christian College,,Kentucky Christian College,College
Kentucky Premier,,Kentucky Premier,Other
Kentucky State,332,Kentucky State,College
Kentucky State University,332,Kentucky State,College
Kentucky Wesleyan,333,Kentucky Wesleyan,College
Kentwood High School,,Kentwood High School,Other
Kenyon College,335,Kenyon College,College
Keuka,1159,Keuka,College
Keuka College,1159,Keuka College,College
Keystone,30047,Keystone,College
Keystone College,30047,Keystone College,College
Kilgore College,,Kilgore College,Community College
King College Prep,,King College Prep,Other
King Middle School,,King Middle School,Other
King Philip Regional High School,,King Philip Regional High School,Other
King University,30051,King University,College
Kingdom Hoops,,Kingdom Hoops,Other
Kingdom Sports Center,,Kingdom Sports Center,Other
Kings River Community College,,Kings River Community College,Community College
Kinsborough Community College,,Kinsborough CC,Community College
KIT SC College Wizards,,KIT SC College Wizards,Other
Klein Collins High School,,Klein Collins High School,Other
Knightdale High School,,Knightdale High School,Other
Knob Noster School District,,Knob Noster School District,Other
Knox,337,Knox,College
Knox College,337,Knox College,College
Knox Raiders,,Knox Raiders,Other
KOA Sports,,KOA Sports,Other
Kodiak High School,,Kodiak High School,Other
Kohelet Yeshiva High School,,Kohelet Yeshiva High School,Other
Kolbe Cathedral,,Kolbe Cathedral,Other
Konawa High School,,Konawa High School,Other
Kosovo Heritage,,Kosovo Heritage,Other
KPMG,,KPMG,Other
Kutztown,339,Kutztown,College
Kutztown University,339,Kutztown University,College
La Jolla Country Day High School,,La Jolla Country Day High School,Other
La Junta High School,,La Junta High School,Other
La Plata High School,,La Plata High School,Other
La Roche College,1163,La Roche,College
La Roche University,1163,La Roche,College
La Sierra University,,La Sierra University,College
LA Sparks,,LA Sparks,Professional
LA Tech,366,LA Tech,College
La Verne,341,La Verne,College
University of La Verne,341,La Verne,College
Labette Community College,,Labette CC,Community College
Lackawanna College,,Lackawanna College,College
Ladies First Akron Inc.,,Ladies First Akron Inc.,Other
Lady Choz (Gauchos),,Lady Choz (Gauchos),Other
Lady Team Teague,,Lady Team Teague,Other
Lafayette,342,Lafayette,College
LaGrange,1162,LaGrange,College
LaGrange College,1162,LaGrange College,College
Lake Erie,2746,Lake Erie,College
Lake Forest,344,Lake Forest,College
Lake Highland Prep,,Lake Highland Prep,Other
Lake Howell High School,,Lake Howell High School,Other
Lake Mary High School,,Lake Mary High School,Other
Lake Michigan Community College,,Lake Michigan CC,Community College
Lake Region State College,,Lake Region State College,College
Lake Superior St.,345,Lake Superior St.,College
Lake Superior State,345,Lake Superior State,College
Lake Superior State University,345,Lake Superior State University,College
Lakeland,1164,Lakeland,College
Lakeland High School,,Lakeland High School,Other
Lakeside High School,,Lakeside High School,Other
Lakeside School,,Lakeside School,Other
Lakeway Starz,,Lakeway Starz,Other
Lakewood Prep School,,Lakewood Prep School,Other
Lakota East High School,,Lakota East High School,Other
Lamar,346,Lamar,College
Lamar University,346,Lamar,College
Lamar Community College,,Lamar CC,Community College
Lamar High School,,Lamar High School,Other
Lamar State,,Lamar State,Community College
Lambuth University,,Lambuth ,College
Lancaster Bible College,30085,Lancaster Bible College,College
Lancaster H.S.,,Lancaster H.S.,Other
Lander,1167,Lander,College
Lander University,1167,Lander,College
Laney College,,Laney College,Community College
Langley,,Langley,Other
Langston,,Langston,College
Langston University,,Langston,College
Lanham Christian School,,Lanham Christian School,Other
Lansing High School,,Lansing High School,Other
Laramie County Community College,,Laramie County Community College,Community College
Largo High School,,Largo High School,Other
Las Vegas Aces,,Las Vegas Aces,Professional
La Salle,340,LaSalle,College
LaSalle,340,LaSalle,College
LaSalle University,340,LaSalle,College
Lasell College,8486,Lasell College,College
Lassen College,,Lassen College,Community College
Lathrop High School,,Lathrop High School,Other
Latta High School,,Latta High School,Other
Laurinburg Institute,,Laurinburg Institute,Other
Lawrence,348,Lawrence,College
Lawrence Tech,,Lawrence Tech,College
Lawrence Tech University,,Lawrence Tech University,College
Lawrence Technological University,,Lawrence Technological University,College
Layton Christian Academy,,Layton Christian Academy,Other
Le Moyne,349,Le Moyne,College
Le Moyne College,349,Le Moyne,College
LeMoyne College,349,Le Moyne,College
Leavenworth High School,,Leavenworth High School,Other
Lebanon Valley College,351,Lebanon Valley College,College
Lecanto High School,,Lecanto High School,Other
Leeds Beckett University,,Leeds Beckett,College
Lees-McRae,13302,Lees-McRae,College
Lees-McRae College,13302,Lees-McRae College,College
Legacy Charter,,Legacy Charter,Other
Legacy Christian Academy,,Legacy Christian Academy,Other
Legacy High School,,Legacy High School,Other
Legacy HS,,Legacy HS,Other
Lehi High School,,Lehi High School,Other
Lehigh,352,Lehigh,College
Lehman Catholic High School,,Lehman Catholic High School,Other
Lemvig Basketball Club,,Lemvig Basketball Club,Other
Lenoir Community College,,Lenoir CC,Community College
Lenoir City High School,,Lenoir City High School,Other
Lenoir-Rhyne,1170,Lenoir-Rhyne,College
Let It Rain Basketball,,Let It Rain Basketball,Other
LeTorneau University,8490,LeTorneau,College
LeTourneau,8490,LeTourneau,College
Lewis,354,Lewis,College
Lewis University,354,Lewis,College
Lewis and Clark College,22235,Lewis and Clark College,College
Lewis County High School,,Lewis County High School,Other
Lexington Catholic,,Lexington Catholic,Other
Lexington Catholic High School,,Lexington Catholic High School,Other
Lexington High School,,Lexington High School,Other
Liaoning,,Liaoning,Other
Liberty,355,Liberty,College
Liberty Christian Academy,,Liberty Christian Academy,Other
Liberty High School,,Liberty High School,Other
Liberty University,355,Liberty University,College
Lick-Wilmerding,,Lick-Wilmerding,Other
Life University,,Life University,College
Lighthouse Christian School,,Lighthouse Christian School,Other
Limestone College,1174,Limestone College,College
Lincoln University,,Lincoln,College
Lincoln Charter School,,Lincoln Charter School,Other
Lincoln College,,Lincoln College,College
Lincoln Memorial University,1176,Lincoln Memorial,College
Lincoln Memorial,1176,Lincoln Memorial,College
Lincoln Park High School,,Lincoln Park High School,Other
Lincoln University (Mo.),356,Lincoln University (Mo.),College
Lindenwood,30136,Lindenwood,College
Lindenwood University,30136,Lindenwood,College
Linn-Benton Community College,,Linn-Benton CC,Community College
Lipscomb,28600,Lipscomb,College
Little Rock,32,Little Rock,College
LIU Brooklyn,,LIU Brooklyn,Other
LIU-Brooklyn,,LIU Brooklyn,Other
LIU Post,,LIU Post,College
Livingstone College,359,Livingstone College,College
Lock Haven,360,Lock Haven,College
Lockney High School,,Lockney High School,Other
Logan County High School,,Logan County High School,Other
Lon Morris Junior College,,Lon Morris JC,Community College
Long Beach State,99,Long Beach State,College
Long Island,361,Long Island,College
Long Island University,361,Long Island,College
Long Island Knights,,Long Island Knights,Other
Longwood,363,Longwood,College
Longwood University,363,Longwood,College
Loranger High School,,Loranger High School,Other
Loras,364,Loras,College
Loras College,364,Loras,College
Los Altos High School,,Los Altos High School,Other
Los Angeles Clippers,,Los Angeles Clippers,Professional
Los Angeles Lakers,,Los Angeles Lakers,Professional
Los Angeles Southwest Community College,,Los Angeles Southwest Community College,Community College
Los Angeles Sparks,,Los Angeles Sparks,Professional
Louisburg College,,Louisburg College,Community College
Louisiana,671,Louisiana,College
Louisiana Christian University,,Louisiana Christian,College
Louisiana College,,Louisiana College,Other
Louisiana Lady Select AAU,,Louisiana Lady Select AAU,Other
Louisiana State University Shreveport,,Louisiana State University Shreveport,College
Louisiana Tech,366,Louisiana Tech,College
Louisiana Monroe,498,Louisiana-Monroe,College
Louisiana-Monroe,498,Louisiana-Monroe,College
Louisville,367,Louisville,College
University of Louisville,367,Louisville,College
Louisville Male High School,,Louisville Male High School,Other
Lourdes Academy,,Lourdes Academy,Other
Lourdes University,,Lourdes University,College
Love Joy High,,Love Joy High,Other
Love Live Hoop,,Love Live Hoop,Other
Lower Columbia College,,Lower Columbia College,Community College
Lower Richland High School,,Lower Richland High School,Other
Loyola (Md.),369,Loyola (MD),College
Loyola Maryland,369,Loyola (MD),College
Loyola University Maryland,369,Loyola (MD),College
Loyola of Maryland,369,Loyola (MD),College
Loyola-Maryland,369,Loyola (MD),College
Loyola Chicago,371,Loyola Chicago,College
Loyola University Chicago,371,Loyola Chicago,College
Loyola-Chicago,371,Loyola Chicago,College
Loyola Marymount,370,Loyola Marymount,College
Loyola New Orleans,,Loyola New Orleans,College
Loyola University New Orleans,,Loyola New Orleans,College
Loyola University (Md.),369,Loyola University (Md.),College
Loyola University of New Orleans,,Loyola University of New Orleans,College
LSU,365,LSU,College
LSU @ Eunice,,LSU @ Eunice,College
LSU Shreveport,,LSU Shreveport,College
LSU-Alexandria,,LSU-Alexandria,College
Lubbock,,Lubbock,Other
Lubbock Christian,30177,Lubbock Christian,College
Lubbock Christian High School,,Lubbock Christian High School,Other
Lubbock Christian University,30177,Lubbock Christian University,College
Lubbock Cooper High School,,Lubbock Cooper High School,Other
Lubbock High School,,Lubbock High School,Other
Lubbock Monterey High School,,Lubbock Monterey High School,Other
Lubbock Trinity Christian School,,Lubbock Trinity Christian School,Other
Lutheran High School of St. Charles County,,Lutheran High School of St. Charles County,Other
Lutheran High School South,,Lutheran High School South,Other
Luxembourg,,Luxembourg,Other
Lycoming College,373,Lycoming College,College
Lynbrook High School,,Lynbrook High School,Other
Lynchburg,374,Lynchburg,College
Lynchburg College,374,Lynchburg College,College
Lynn University,20794,Lynn University,College
Lyon College,22989,Lyon College,College
Lyon County High School,,Lyon County High School,Other
M14 AAU Program,,M14 AAU Program,Other
Mac Irvin Lady Fire,,Mac Irvin Lady Fire,Other
Macalester,376,Macalester,College
Macalester College,376,Macalester College,College
Maclay School,,Maclay School,Other
MacMurray,377,MacMurray,College
MacMurray College,377,MacMurray College,College
MADE Hoops,,MADE Hoops,Other
Madill High School,,Madill High School,Other
Madison County High School,,Madison County High School,Other
Madonna University,,Madonna University,College
Magic Valley Basketball Club,,Magic Valley Basketball Club,Other
Maine,380,Maine,College
University of Maine,380,Maine,College
Maine Fort Kent,,Maine Fort Kent,College
Maine Maritime,378,Maine Maritime,College
Maine Maritime Academy,378,Maine Maritime Academy,College
Maine Red Claws,,Maine Red Claws,Other
Mainland High School,,Mainland High School,Other
Malcolm X Shabazz High School,,Malcolm X Shabazz High School,Other
Malone High School,,Malone High School,Other
Malone University,30137,Malone University,College
Malta Women's U18 Team,,Malta Women's U18 Team,Other
Manchester,1192,Manchester,College
Manchester University,1192,Manchester,College
Manchester Academy,,Manchester Academy,Other
Manchester Mystics,,Manchester Mystics,Other
Mandarin High School,,Mandarin High School,Other
Manhattan,381,Manhattan,College
Manhattan College,381,Manhattan,College
Manhattanville College,382,Manhattanville College,College
Manning High School,,Manning High School,Other
Mansfield,384,Mansfield,College
Mansfield High School,,Mansfield High School,Other
Mansfield University,384,Mansfield University,College
Manual High School,,Manual High School,Other
Maret High School,,Maret High School,Other
Marian,1196,Marian,College
Marian University,1196,Marian,College
Marian (WI),1196,Marian (WI),College
Marietta,385,Marietta,College
Marietta College,385,Marietta College,College
Marion Harding High School,,Marion Harding High School,Other
Marist,386,Marist,College
Marist College,386,Marist,College
Maroochydore Clippers,,Maroochydore Clippers,Other
Marquette,387,Marquette,College
Marquette University,387,Marquette University,College
Mars Hill,1199,Mars Hill,College
Mars Hill University,1199,Mars Hill University,College
Marshall,388,Marshall,College
Marshall University,388,Marshall,College
Marshall High School,,Marshall High School,Other
Marshalltown Community College,,Marshalltown Community College,Community College
Marshfield High School,,Marshfield High School,Other
Martin Luther King Jr. High School,,Martin Luther King Jr. High School,Other
Martin Methodist College,,Martin Methodist College,College
University of Mary,30075,Mary,College
Mary Baldwin,389,Mary Baldwin,College
Mary Hardin-Baylor,1203,Mary Hardin-Baylor,College
Mary Washington,390,Mary Washington,College
Maryland,392,Maryland,College
University of Maryland,392,Maryland,College
Maryland Eastern Shore,393,Maryland Eastern Shore,College
Maryland-Eastern Shore,393,Maryland Eastern Shore,College
Marymount,394,Marymount,College
Marymount (VA),394,Marymount (VA),College
Maryville College,395,Maryville,College
Maryville University,395,Maryville,College
Maryville,395,Maryville,College
Maryville (MO),395,Maryville (MO),College
Mass Rivals 3SSB,,Mass Rivals 3SSB,Other
Massachusetts,400,Massachusetts,College
Massachusetts-Lowell,368,Massachusetts-Lowell,College
Massasoit Community College,,Massasoit Community College,Community College
Mater Dei High School,,Mater Dei High School,Other
Matthew Finders Anglican College,,Matthew Finders Anglican,Other
Maumee Valley Country Day School,,Maumee Valley Country Day School,Other
Maury High School,,Maury High School,Other
MaxHoops Elite Basketball Schools and Showcases,,MaxHoops Elite Basketball Schools and Showcases,Other
Mayo Clinic Orthopedics and Sports Medicine,,Mayo Clinic Orthopedics and Sports Medicine,Other
Mayville State,,Mayville State,College
Mayville State University,,Mayville State,College
MBJ Basketball and Player Development,,MBJ Basketball and Player Development,Other
McCook Community College,,McCook CC,Community College
McDaniel College,773,McDaniel College,College
McDermott Athletic Center,,McDermott Athletic Center,Other
McDonald's All-American Games,,McDonald's All-American Games,Other
McDonough High School,,McDonough High School,Other
McEachern High School,,McEachern High School,Other
McFarland High School,,McFarland High School,Other
McKendree,30138,McKendree,College
McKinney Boyd High School,,McKinney Boyd High School,Other
McLennan CC,,McLennan CC,Community College
McMurry,8530,McMurry,College
McMurry University,8530,McMurry University,College
McNary High School,,McNary High School,Other
McNeese,402,McNeese,College
McNeese State,402,McNeese,College
McPherson College,,McPherson,College
MEAC,,MEAC,Other
Mead High School,,Mead High School,Other
Medaille College,23725,Medaille College,College
Medina Highland,,Medina Highland,Other
Melbourne Roos,,Melbourne Roos,Other
Melissa McFerrin Hoops School,,Melissa McFerrin Hoops School,Other
Mellen High School,,Mellen High School,Other
Memphis,404,Memphis,College
University of Memphis,,Memphis,College
Memphis City School District,,Memphis City School District,Other
Memphis Elite,,Memphis Elite,Other
Memphis Grizzlies,,Memphis Grizzlies,Professional
Memphis University,404,Memphis University,College
Mentor Lake Catholic High School,,Mentor Lake Catholic High School,Other
Mercer,406,Mercer,College
Mercy College,407,Mercy,College
Mercy,407,Mercy,College
Mercy High School,,Mercy High School,Other
Mercy McAuley High School,,Mercy McAuley High School,Other
Mercyhurst,408,Mercyhurst,College
Mercyhurst University,408,Mercyhurst,College
Mercyhurst North East,,Mercyhurst North East,Community College
Mercyhurst Northeast,,Mercyhurst Northeast,Community College
Meredith,409,Meredith,College
Meridian HS,,Meridian HS,Other
Merrimack,410,Merrimack,College
Merrimack College,410,Merrimack,College
Mesa State,11416,Mesa State,College
Messiah,411,Messiah,College
Messiah College,411,Messiah College,College
Metro State,413,Metro State,College
Metro State Denver,413,Metro State Denver,College
Mexia High School,,Mexia High School,Other
Miami,415,Miami,College
Miami University,415,Miami,College
University of Miami,415,Miami,College
Miami (FL),415,Miami ,College
University of Miami (Fla.),415,Miami (Fla.),College
Miami (OH),414,Miami (OH),College
Miami (Ohio),414,Miami (OH),College
Miami Ohio,414,Miami (OH),College
Miami Heat,,Miami Heat,Professional
Miami School,,Miami School,Other
Miami Suns,,Miami Suns,Other
Miami-Dade CC Kendall,,Miami-Dade CC,Community College
Michigan,418,Michigan,College
University of Michigan,418,Michigan,College
Michigan Basketball Academies,,Michigan Basketball Academies,Other
Michigan Crossover,,Michigan Crossover,Other
Michigan State,416,Michigan State,College
Michigan Storm,,Michigan Storm,Other
Michigan Tech,417,Michigan Tech,College
Michigan Technological University,417,Michigan Technological University,College
University of Michigan Dearborn,,Michigan-Dearborn,College
Mid-America Christian University,,Mid-America Christian,College
Mid-America Christian,,Mid-America Christian,College
Mid-Michigan Community College,,Mid-Michigan CC,Community College
MidAmerica Nazarene University,,MidAmerica Nazarene,College
Middle Georgia State University,,Middle Georgia State,College
Middle Tennessee,419,Middle Tennessee,College
Middle Tennessee State,419,Middle Tennessee,College
Middle Tennessee State University,419,Middle Tennessee ,College
Middletown North High School,,Middletown North High School,Other
Midland College,,Midland,Community College
Midwest Basketball,,Midwest Basketball,Other
Midwest City High School,,Midwest City High School,Other
Midwestern State,1222,Midwestern State,College
Milby High School,,Milby High School,Other
Miles Community College,,Miles CC,Community College
Mill River High School,,Mill River High School,Other
Millard South High School,,Millard South High School,Other
Millersville University of Pennsylvania,423,Millersville ,College
Millersville University,423,Millersville University,College
Millikin,424,Millikin,College
Millikin University,424,Millikin University,College
Millington High School,,Millington High School,Other
Millsaps,426,Millsaps,College
Milwaukee,797,Milwaukee,College
Milwaukee Admirals,,Milwaukee Admirals,Other
Milwaukee Bucks,,Milwaukee Bucks,Professional
Mineral Area College,,Mineral Area,Community College
Minn.-Crookston,27854,Minn.-Crookston,College
Minnesota,428,Minnesota,College
University of Minnesota,428,Minnesota,College
Minnesota Crookston,27854,Minnesota Crookston,College
Minnesota Duluth,427,Minnesota Duluth,College
Minnesota Fury,,Minnesota Fury,Other
Minnesota Lynx,,Minnesota Lynx,Professional
Minnesota Metra Stars,,Minnesota Metra Stars,Other
Minnesota Rise,,Minnesota Rise,Other
Minnesota St.,383,Minnesota St.,College
Minnesota State,383,Minnesota State,College
Minnesota State University Moorhead,1240,Minnesota State University Moorhead,College
"Minnesota State University, Mankato",,"Minnesota State University, Mankato",College
Minnesota State-Moorhead,1240,Minnesota State-Moorhead,College
Minnesota Suns,,Minnesota Suns,Other
Minnesota Timberwolves,,Minnesota Timberwolves,Professional
Minnesota Timberwolves/Minnesota Lynx,,Minnesota Timberwolves/Minnesota Lynx,Professional
Minnesota-Crookston,27854,Minnesota-Crookston,College
Minnesota-Duluth,427,Minnesota-Duluth,College
University of Minnesota-Morris,1226,Minnesota-Morris,College
Minot State,30125,Minot State,College
Misericordia,16142,Misericordia,College
Misericordia University,16142,Misericordia University,College
Mission Junior,,Mission Junior,Other
Mission Senior Secondary,,Mission Senior Secondary,Other
Mississippi,433,Mississippi,College
Mississippi College,429,Mississippi College,College
Mississippi Gulf Coast CC,,Mississippi Gulf Coast CC,Community College
Mississippi State,430,Mississippi State,College
Mississippi State University,430,Mississippi State University,College
Mississippi Valley State,432,Mississippi Valley State,College
Mississippi Valley State University,432,Mississippi Valley State,College
Missouri,434,Missouri,College
University of Missouri,434,Missouri,College
Missouri Baptist University,,Missouri Baptist,College
Missouri Phenom,,Missouri Phenom,Other
Missouri S&T,435,Missouri S&T,College
Missouri Southern,,Missouri Southern,College
Missouri Southern State,9012,Missouri Southern State,College
Missouri Southern State University,9012,Missouri Southern State,College
Missouri State,669,Missouri State,College
Missouri Valley College,,Missouri Valley College,College
Missouri Western,9013,Missouri Western State,College
Missouri Western State,9013,Missouri Western State,College
Missouri Western State University,9013,Missouri Western State,College
Missouri-Kansas City,2707,Missouri-Kansas City,College
UMKC,2707,Missouri-Kansas City,College
University of Missouri-Kansas City,2707,Missouri-Kansas City,College
University of Missouri-St. Louis,436,Missouri-St. Louis,College
Missouri-St. Louis,436,Missouri-St. Louis,College
MIT,398,MIT,College
Mitchell,30042,Mitchell,College
Mitchell College,30042,Mitchell College,College
Mitchell High School,,Mitchell High School,Other
Moberly Area Community College,,Moberly Area CC,Community College
University of Mobile,,Mobile,College
Moe's All-Star Camps & Training,,Moe's All-Star Camps & Training,Other
Mohall Lansford Sherwood High School,,Mohall Lansford Sherwood High School,Other
Mohawk Valley Community College,,Mohawk Valley CC,Community College
Molloy College,437,Molloy,College
Momentum Skills Academy,,Momentum Skills Academy,Other
Monmouth,439,Monmouth,College
Monmouth University,439,Monmouth,College
Monmouth (IL),438,Monmouth (IL),College
Monmouth College,439,Monmouth College,College
Monona Grove High School,,Monona Grove High School,Other
Monroe,,Monroe,Community College
Monroe College,,Monroe,Community College
Monroe University,,Monroe,College
Monroe Community College,,Monroe Community College,Community College
Monroe Sports Center,,Monroe Sports Center,Other
Mont. St. Billings,205,Mont. St. Billings,College
Montana,441,Montana,College
University of Montana,441,Montana,College
Montana State,440,Montana State,College
Montana State Billings,205,Montana State Billings,College
Montana State University Billings,205,Montana State University Billings,College
Montana State University-Billings,205,Montana State University-Billings,College
Montana State-Billings,205,Montana State-Billings,College
Montana State-Northern,,Montana State-Northern,College
Montana Tech,,Montana Tech,College
Montana Western,,Montana Western,College
University of Montana Western,,Montana Western,College
Montclair State,442,Montclair State,College
University of Montevallo,1238,Montevallo,College
Montevallo,1238,Montevallo,College
Monteverde Academy,,Monteverde Academy,Other
Montgomery County High School,,Montgomery County High School,Other
Montini High School,,Montini High School,Other
Montreat College,,Montreat,College
Montrose Christian Academy,,Montrose Christian Academy,Other
Montrose Christian High School,,Montrose Christian High School,Other
Montverde Academy,,Montverde Academy,Other
Moody Bible Institute,,Moody Bible Institute,College
Moorpark College,,Moorpark,College
Moravian Academy,,Moravian Academy,Other
Morehead State,444,Morehead State,College
Morehead State University,444,Morehead State,College
Morgan City High School,,Morgan City High School,Other
Morgan State,446,Morgan State,College
Morgan State University,446,Morgan State,College
Morgantown Mavs,,Morgantown Mavs,Other
Morris Catholic,,Morris Catholic,Other
Morris Catholic High School,,Morris Catholic High School,Other
Morrisville State College,30067,Morrisville State College,College
Mother McAuley High School,,Mother McAuley High School,Other
Motion Sports Performance,,Motion Sports Performance,Other
Mount Ida College,,Mount Ida College,College
Mount Olive,1245,Mount Olive,College
Mount Olive College,1245,Mount Olive,College
Mount Saint Mary's,450,Mount Saint Mary's,College
Mount St. Joseph,8567,Mount St. Joseph,College
Mount St. Mary's,450,Mount St. Mary's,College
Mount Union,452,Mount Union,College
Mount Vernon School,,Mount Vernon School,Other
Mount Zion Christian Academy,,Mount Zion Christian Academy,Other
Mountain View High School,,Mountain View High School,Other
MSOE,20220,MSOE,College
MSU Billings,205,MSU Billings,College
MSU Denver,413,MSU Denver,College
MSU Moorhead,1240,MSU Moorhead,College
Mt. Olive High School,,Mt. Olive High School,Other
Mt. San Antonio College,,Mt. San Antonio,Community College
Mt. Vernon Nazarene College,,Mt. Vernon Nazarene College,College
Murray High School,,Murray High School,Other
Murray State,454,Murray State,College
Murray State College,454,Murray State,College
Musel Pikes Senior Women B,,Musel Pikes Senior Women B,Other
Musel Pikes Youth Boys,,Musel Pikes Youth Boys,Other
Muskegon Community College,,Muskegon Community College,Community College
Muskingum,455,Muskingum,College
Muskingum University,455,Muskingum University,College
N.C. A&T,488,N.C. A&T,College
N.C. Wesleyan,491,N.C. Wesleyan,College
N.M.E Academy,,N.M.E Academy,Other
NAIA Indiana,,NAIA Indiana,Other
Nansemond River High,,Nansemond River High,Other
Nassau Community College,,Nassau CC,Community College
Nate Smith Basketball School,,Nate Smith Basketball School,Other
National AAU,,National AAU,Other
National Basketball Academy,,National Basketball Academy,Other
Nationwide All Stars,,Nationwide All Stars,Other
Naval Academy,726,Navy,College
Navy,726,Navy,College
U.S. Naval Academy,726,Navy,College
United States Naval Academy,726,Navy,College
Nazareth,461,Nazareth,College
NBA,,NBA,Professional
NBA G-League,,NBA G-League,Professional
NBC Basketball Camps,,NBC Basketball Camps,Other
NC Central,489,NC Central,College
NC State,490,NC State,College
NCAA,,NCAA,Other
NCAA College Basketball Academy,,NCAA College Basketball Academy,Other
Neb.-Kearney,1156,Neb.-Kearney,College
Nebraska,463,Nebraska,College
Nebraska Omaha,464,Nebraska Omaha,College
Nebraska Wesleyan,462,Nebraska Wesleyan,College
Nebraska-Kearney,1156,Nebraska-Kearney,College
University of Nebraska at Kearney,1156,Nebraska-Kearney,College
Neckar Riesen,,Neckar Riesen,Other
NEO,,Northeastern Oklahoma A&M,Community College
Nettleton High School,,Nettleton High School,Other
Neuss Tigers Youth Girls,,Neuss Tigers Youth Girls,Other
Nevada,466,Nevada,College
Nevada Basketball Academy,,Nevada Basketball Academy,Other
"Nevada, Reno",466,"Nevada, Reno",College
"University of Nevada, Reno",466,"Nevada, Reno",College
New Castle Middle School,,New Castle Middle School,Other
New England Col.,467,New England Col.,College
New England College,467,New England College,College
New England Exposure Basketball,,New England Exposure Basketball,Other
New England Playaz U17,,New England Playaz U17,Other
New Foundations Charter High School,,New Foundations Charter High School,Other
New Hampshire,469,New Hampshire,College
University of New Hampshire,469,New Hampshire,College
New Haven,470,New Haven,College
University of New Haven,470,New Haven,College
New Iberia Senior High School,,New Iberia Senior High School,Other
New Jersey City University,,New Jersey City,Other
New Jersey Panthers,,New Jersey Panthers,Other
New Jersey Institute of Technology,471,New Jersey Tech,College
New Jersey Tech,471,New Jersey Tech,College
New Life Academy,,New Life Academy,Other
New Mexico,473,New Mexico,College
University of New Mexico,473,New Mexico,College
New Mexico Junior College,,New Mexico CC,Community College
New Mexico Highlands,,New Mexico Highlands,Other
