team,team_id,season,jersey,name,position,height,academic_year,hometown,high_school,previous_school,url
Arizona,29,2026-27,12,Makayla Presser-Palmer,G/F,6' 1'',Freshman,"East Springfield, Penn.",Northwestern Senior High School,,https://arizonawildcats.com/sports/womens-basketball/roster/makayla-presserpalmer/19616
Arizona,29,2026-27,13,Karolina Ulan,G/F,6' 1'',Junior,"Warsaw, Poland",,,https://arizonawildcats.com/sports/womens-basketball/roster/karolina-ulan/19618
Arizona,29,2026-27,24,Priyanka Ponnam,G,6' 2'',Freshman,"Pennington, N.J.",Blair Academy,,https://arizonawildcats.com/sports/womens-basketball/roster/priyanka-ponnam/19615
Arizona,29,2026-27,25,"Aliyahna ""Puff"" Morris",G,5' 5'',Sophomore,"Rancho Cucamonga, Calif.",Etiwanda High School,University of California Berkley,https://arizonawildcats.com/sports/womens-basketball/roster/aliyahna-puff-morris/19614
Arizona,29,2026-27,31,Anastasiia Semenova,F,6' 2'',Graduate Student,"Saint Petersburg, Russia",College of Olympic Reserve No. 1,Boston University,https://arizonawildcats.com/sports/womens-basketball/roster/anastasiia-semenova/19641
Arizona,29,2026-27,34,Jasleen Green,G,5' 8'',Freshman,"Ocala, Fla.",Grandview Prep,,https://arizonawildcats.com/sports/womens-basketball/roster/jasleen-green/19613
Arizona,29,2026-27,40,Breanna Williams,F,6' 2'',Redshirt Sophomore,"Billings, Mont.",Skyview HS,Maryland,https://arizonawildcats.com/sports/womens-basketball/roster/breanna-williams/19620
Army,725,2026-27,0,Nakia Ollivierre,G,"5'9""",Freshman,"Waterloo, Iowa",Waterloo West,Waterloo West,https://goarmywestpoint.com/sports/womens-basketball/roster/nakia-ollivierre/25478
Army,725,2026-27,1,Daniela Maletsky,G,"5'10""",Freshman,"Freehold, N.J.",Red Bank Catholic,Red Bank Catholic,https://goarmywestpoint.com/sports/womens-basketball/roster/daniela-maletsky/25410
Army,725,2026-27,2,Audrey Annee,G,"5'9""",Junior,"Indianapolis, Ind.",Center Grove,Center Grove,https://goarmywestpoint.com/sports/womens-basketball/roster/audrey-annee/25388
Army,725,2026-27,3,Brooke Wilson,G,"5'9""",Junior,"Bryn Mawr, Pa.",Archbishop John Carroll,Archbishop John Carroll,https://goarmywestpoint.com/sports/womens-basketball/roster/brooke-wilson/25399
Army,725,2026-27,4,Stella Chartrand,G,"5'9""",Junior,"Atlanta, Ga.",Westminster Schools of Atlanta,Westminster Schools of Atlanta,https://goarmywestpoint.com/sports/womens-basketball/roster/stella-chartrand/25389
Army,725,2026-27,7,Addison Ainsworth,F,,Junior,"Olympia, Wash.",Black Hills HS,,https://goarmywestpoint.com/sports/womens-basketball/roster/addison-ainsworth/25788
Army,725,2026-27,10,Reganne Reardon,F,"6'1""",Sophomore,"Chicago, Ill.",St. Ignatius College Preparatory,St. Ignatius College Preparatory,https://goarmywestpoint.com/sports/womens-basketball/roster/reganne-reardon/25394
Army,725,2026-27,11,Kelly Cramer,G,"5'8""",Sophomore,"Ponte Vedra, Fla.",St. Joseph Academy,St. Joseph Academy,https://goarmywestpoint.com/sports/womens-basketball/roster/kelly-cramer/25390
Army,725,2026-27,12,Jane Preston,F,"6'2""",Sophomore,"Berwyn, Pa.",Conestoga,Conestoga,https://goarmywestpoint.com/sports/womens-basketball/roster/jane-preston/25393
Army,725,2026-27,13,Lilly Thoman,G,"5'6""",Freshman,"Midlothian, Va.",The Steward School,The Steward School,https://goarmywestpoint.com/sports/womens-basketball/roster/lilly-thoman/25474
Army,725,2026-27,14,Jane Rape,G,"6'1""",Freshman,"Frederick, Md.",Oakdale (USMAPS),Oakdale (USMAPS),https://goarmywestpoint.com/sports/womens-basketball/roster/jane-rape/25477
Army,725,2026-27,15,Landry Sherrer,G,"5'8""",Sophomore,"Coppell, Texas",Coppell,Coppell,https://goarmywestpoint.com/sports/womens-basketball/roster/landry-sherrer/25395
Army,725,2026-27,20,Camryn Tade,G,"5'9""",Senior,"Southlake, Texas",Carroll,Carroll,https://goarmywestpoint.com/sports/womens-basketball/roster/camryn-tade/25397
Army,725,2026-27,21,Allie Swindell,F,"6'1""",Freshman,"Celina, Texas",Prestonwood Christian Academy (USMAPS),Prestonwood Christian Academy (USMAPS),https://goarmywestpoint.com/sports/womens-basketball/roster/allie-swindell/25479
Army,725,2026-27,22,Taylor Wilson,G,"5'10""",Senior,"Bryn Mawr, Pa.",Archbishop John Carroll,Archbishop John Carroll,https://goarmywestpoint.com/sports/womens-basketball/roster/taylor-wilson/25400
Army,725,2026-27,23,Sam Tillson,,"6'1""",Junior,"McKinney, Texas",McKinney,McKinney,https://goarmywestpoint.com/sports/womens-basketball/roster/sam-tillson/25398
Army,725,2026-27,24,Julia Sedora,G,"5'8""",Freshman,"Red Lion, Pa.",Red Lion,Red Lion,https://goarmywestpoint.com/sports/womens-basketball/roster/julia-sedora/25475
Army,725,2026-27,30,Kya Smith,F,"6'1""",Senior,"Lubbock, Texas",Coronado,Coronado,https://goarmywestpoint.com/sports/womens-basketball/roster/kya-smith/25396
Army,725,2026-27,33,Fiona Hastick,G,"5'11""",Senior,"Reston, Va.",Paul VI Catholic (USMAPS),Paul VI Catholic (USMAPS),https://goarmywestpoint.com/sports/womens-basketball/roster/fiona-hastick/25391
Auburn,37,2026-27,0,Sira Thienou,Guard,6-2,Junior,"Bamako, Mali",Shining Stars Academy (Va.),Ole Miss,https://auburntigers.com/sports/womens-basketball/roster/player/sira-thienou
Auburn,37,2026-27,1,Zaniyah Williams,Guard,5-8,Freshman,"Norfolk, Va.",Montverde Academy,,https://auburntigers.com/sports/womens-basketball/roster/player/zaniyah-williams
Auburn,37,2026-27,2,Ja'Mia Harris,Guard,5-11,Senior,"Dallas, Texas",DeSoto HS,Texas State,https://auburntigers.com/sports/womens-basketball/roster/player/jamia-harris
Auburn,37,2026-27,3,Phoenix Stotijn,Guard,5-9,Junior,"Amsterdam, Netherlands",Triple Threat,Indiana,https://auburntigers.com/sports/womens-basketball/roster/player/phoenix-stotijn
Auburn,37,2026-27,4,Kaitlyn Duhon,Guard,5-10,Graduate Student,"Houston, Texas",Summer Creek HS,Summer Creek HS,https://auburntigers.com/sports/womens-basketball/roster/player/kaitlyn-duhon
Auburn,37,2026-27,5,Ashley Knox,Guard,6-0,Freshman,"Tampa, Fla.",Tampa Catholic HS,,https://auburntigers.com/sports/womens-basketball/roster/player/ashley-knox
Auburn,37,2026-27,6,Eva Garabadian,Guard,5-8,Junior,"Alpharetta, Ga.",Wesleyan,Georgia College,https://auburntigers.com/sports/womens-basketball/roster/player/eva-garabadian
Auburn,37,2026-27,7,Danielle Osho,Forward,6-1,Sophomore,"Dacula, Ga.",,Miami,https://auburntigers.com/sports/womens-basketball/roster/player/danielle-osho
Auburn,37,2026-27,8,Zahara Bishop,Guard,6-0,Sophomore,"Minneapolis, Minn.",,Seton Hall,https://auburntigers.com/sports/womens-basketball/roster/player/zahara-bishop
Auburn,37,2026-27,9,Jessica Peterson,Forward,6-2,Graduate Student,"Rancho Cucamonga, Calif.",,Miami,https://auburntigers.com/sports/womens-basketball/roster/player/jessica-peterson
Auburn,37,2026-27,10,Sania Richardson,Guard,5-5,Sophomore,"Ada, Okla.",Ada HS,,https://auburntigers.com/sports/womens-basketball/roster/player/sania-richardson
Auburn,37,2026-27,11,Syriah Daniels,Guard/Forward,6-0,Junior,"Auburn, Ala.",Auburn HS,Auburn HS,https://auburntigers.com/sports/womens-basketball/roster/player/syriah-daniels
Auburn,37,2026-27,30,Savannah Scott,Center,6-4,Junior,"Conway, Ark.",Conway HS,UCF,https://auburntigers.com/sports/womens-basketball/roster/player/savannah-scott
Auburn,37,2026-27,35,Quanirah Montague,Forward/Center,6-5,Senior,"Atlantic City, N.J.",Atlantic City HS,Mississippi State,https://auburntigers.com/sports/womens-basketball/roster/player/quanirah-montague
Wisconsin,796,2026-27,0,Nikki Kerstein,PG,"5'8""",Sophomore,"Riverwoods, Ill.",Montini Catholic,,https://uwbadgers.com/sports/womens-basketball/roster/nikki-kerstein/15595
Wisconsin,796,2026-27,2,Giselle Janowski,G,"5'9""",Freshman,"Pewaukee, Wis.",Pewaukee,,https://uwbadgers.com/sports/womens-basketball/roster/giselle-janowski/15600
Wisconsin,796,2026-27,3,Addie Deal,G,,Sophomore,"Irvine, Calif.",Mater Dei,Iowa,https://uwbadgers.com/sports/womens-basketball/roster/addie-deal/15603
Wisconsin,796,2026-27,6,Dorja Zaja,C,"6'3""",Sophomore,"Zagreb, Croatia",Privatna Gimnazija Marul Zagreb,Croatia-Premijer Liga,https://uwbadgers.com/sports/womens-basketball/roster/dorja-zaja/15598
Wisconsin,796,2026-27,7,Teagan Mallegni,G,"6'1""",Junior,"McFarland, Wis.",McFarland,Iowa,https://uwbadgers.com/sports/womens-basketball/roster/teagan-mallegni/15604
Wisconsin,796,2026-27,9,Alba Martín Mesa,G,"5'6""",Junior,"Las Palmas de Gran Canaria, Spain",ÍES Pérez Galdós,,https://uwbadgers.com/sports/womens-basketball/roster/alba-martn-mesa/15596
Wisconsin,796,2026-27,10,Adaline Sheplee,G,"6'3""",Freshman,"Rice Lake, Wis.",Rice Lake,,https://uwbadgers.com/sports/womens-basketball/roster/adaline-sheplee/15599
Wisconsin,796,2026-27,11,Caia Rose,G,"5'5""",Senior,"Whittier, Calif.",Mater Dei,,https://uwbadgers.com/sports/womens-basketball/roster/caia-rose/15602
Wisconsin,796,2026-27,13,Kadidia Toure,F,"6'3""",Graduate Student,"Silver Spring, Md.",Our Lady of Good Counsel,LIU,https://uwbadgers.com/sports/womens-basketball/roster/kadidia-toure/15606
Wisconsin,796,2026-27,14,Leah Nordin,G,"6'3""",Freshman,"Shawano, Wis.",Shawano,,https://uwbadgers.com/sports/womens-basketball/roster/leah-nordin/15601
Wisconsin,796,2026-27,20,Kyrah Daniels,G,,Senior,"Highlands Ranch, Colo.",Thunder Ridge,Missouri State,https://uwbadgers.com/sports/womens-basketball/roster/kyrah-daniels/15594
Wisconsin,796,2026-27,22,Shay Bollin,G,"6'3""",Graduate Student,"Raynham, Mass.",Bridgewater-Raynham Regional,Illinois,https://uwbadgers.com/sports/womens-basketball/roster/shay-bollin/15593
Wisconsin,796,2026-27,24,Laci Steele,G,"5'11""",Senior,"Edmond, Okla.",Edmond North,NC State,https://uwbadgers.com/sports/womens-basketball/roster/laci-steele/15597
Wisconsin,796,2026-27,71,Alicia Courthiau,G,"5'10""",Freshman,"Brussles, Belgium",,,https://uwbadgers.com/sports/womens-basketball/roster/alicia-courthiau/15605
Baylor,51,2026-27,0,Taliah Scott,G,"5'9""",Senior,"Jacksonville, Fla.",St. John's Country Day School,Auburn,https://baylorbears.com/sports/womens-basketball/roster/taliah-scott/15654
Baylor,51,2026-27,1,Ines Goryanova,G,"5'8""",Junior,"Sofia, Bulgaria",DME Academy (Fla.),,https://baylorbears.com/sports/womens-basketball/roster/ines-goryanova/15651
Baylor,51,2026-27,3,Ella Brow,G,"5'8""",Fifth Year,"Palm Beach, Australia",Palm Beach Currumbin State HS,SMU,https://baylorbears.com/sports/womens-basketball/roster/ella-brow/15650
Baylor,51,2026-27,4,Skylar Jones,G,,Senior,"Chicago, Ill.",Whitney Young HS,Louisville,https://baylorbears.com/sports/womens-basketball/roster/skylar-jones/15655
Baylor,51,2026-27,8,Kayla Nelms,F,"6'1""",Junior,"Miami, Fla.",Miami Country Day School,,https://baylorbears.com/sports/womens-basketball/roster/kayla-nelms/15653
Baylor,51,2026-27,11,Lorena Awou,C,"6'5""",Junior,"East Moline, Ill.",United Township HS,NC State,https://baylorbears.com/sports/womens-basketball/roster/lorena-awou/15649
Baylor,51,2026-27,12,Kyla Abraham,F,"6'3""",Fifth Year,"Carrollton, Va.",Smithfield HS,,https://baylorbears.com/sports/womens-basketball/roster/kyla-abraham/15648
Baylor,51,2026-27,13,Kate Koval,F,"6'5""",Junior,"Kyiv, Ukraine",Long Island Lutheran HS,LSU,https://baylorbears.com/sports/womens-basketball/roster/kate-koval/15886
Baylor,51,2026-27,20,Reese Ross,F,"6'1""",Senior,"Rapid City, S.D.",St. Thomas More HS,Utah,https://baylorbears.com/sports/womens-basketball/roster/reese-ross/15656
Baylor,51,2026-27,21,Marcayla Johnson,G,,Sophomore,"Tulsa, Okla.",Booker T. Washington HS,,https://baylorbears.com/sports/womens-basketball/roster/marcayla-johnson/15652
Baylor,51,2026-27,35,Tianna Thompson,G,"5'10""",Junior,"Atlanta, Ga.",The Galloway School,Ole Miss,https://baylorbears.com/sports/womens-basketball/roster/tianna-thompson/15657
Baylor,51,2026-27,55,Trinity Turner,G,"5'7""",Junior,"Orlando, Fla.",Dr. Phillips HS,Georgia,https://baylorbears.com/sports/womens-basketball/roster/trinity-turner/15658
Bellarmine,52,2026-27,4,Triniti Ralston,G,"5'5""",Senior,"Louisville, KY",Sacred Heart Academy,University of Southern Indiana,https://athletics.bellarmine.edu/sports/womens-basketball/roster/triniti-ralston/10200
