season,play_id,game_id,period_number,x_coord,y_coord,play_successful,home_score,visitor_score,play_time,player_name,player_team,player_team_id,play_action_type,play_action_sub_type,play_qualifiers
2022-23,2438769072,2324468,1,0,0,True,7,3,04:49:00,Caitlin Clark,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769073,2324468,1,89,54,True,9,3,04:34:00,Molly Davis,Iowa,312,2pt,layup,pointsinthepaint;,RIGHT
2022-23,2438769075,2324468,1,0,0,True,9,3,04:13:00,Stephanie Soares,Iowa St.,311,turnover,lostball,,LEFT
2022-23,2438769076,2324468,1,0,0,True,9,3,04:13:00,Hannah Stuelke,Iowa,312,steal,,,RIGHT
2022-23,2438769077,2324468,1,0,0,True,9,3,04:13:00,Hannah Stuelke,Iowa,312,substitution,out,,RIGHT
2022-23,2438769078,2324468,1,0,0,True,9,3,04:13:00,McKenna Warnock,Iowa,312,substitution,in,,RIGHT
2022-23,2438769079,2324468,1,0,0,True,9,3,04:13:00,Nyamer Diew,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769080,2324468,1,0,0,True,9,3,04:13:00,Ashley Joens,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769081,2324468,1,76,85,True,9,3,03:56:00,Caitlin Clark,Iowa,312,turnover,badpass,,RIGHT
2022-23,2438769082,2324468,1,0,0,True,9,3,03:56:00,Stephanie Soares,Iowa St.,311,steal,,,LEFT
2022-23,2438769083,2324468,1,7,52,False,9,3,03:44:00,Lexi Donarski,Iowa St.,311,2pt,layup,fromturnover;pointsinthepaint;,LEFT
2022-23,2438769084,2324468,1,0,0,True,9,3,03:42:00,Caitlin Clark,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769085,2324468,1,86,58,True,11,3,03:38:00,McKenna Warnock,Iowa,312,2pt,jumpshot,pointsinthepaint;fastbreak;,RIGHT
2022-23,2438769086,2324468,1,0,0,True,11,3,03:38:00,Caitlin Clark,Iowa,312,assist,,,RIGHT
2022-23,2438769087,2324468,1,26,37,True,11,3,03:13:00,Ashley Joens,Iowa St.,311,turnover,badpass,,LEFT
2022-23,2438769088,2324468,1,0,0,True,11,3,03:13:00,Caitlin Clark,Iowa,312,steal,,,RIGHT
2022-23,2438769089,2324468,1,69,38,False,11,3,03:06:00,McKenna Warnock,Iowa,312,3pt,jumpshot,fromturnover;,RIGHT
2022-23,2438769090,2324468,1,0,0,True,11,3,03:03:00,Ashley Joens,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769091,2324468,1,8,55,False,11,3,02:55:00,Ashley Joens,Iowa St.,311,2pt,layup,pointsinthepaint;,LEFT
2022-23,2438769092,2324468,1,0,0,True,11,3,02:53:00,Kate Martin,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769093,2324468,1,98,49,False,11,3,02:41:00,Monika Czinano,Iowa,312,2pt,layup,pointsinthepaint;blocked;,RIGHT
2022-23,2438769094,2324468,1,0,0,True,11,3,02:41:00,Stephanie Soares,Iowa St.,311,block,,,LEFT
2022-23,2438769095,2324468,1,0,0,True,11,3,02:37:00,Monika Czinano,Iowa,312,rebound,offensive,,RIGHT
2022-23,2438769096,2324468,1,90,50,False,11,3,02:36:00,Monika Czinano,Iowa,312,2pt,layup,2ndchance;pointsinthepaint;,RIGHT
2022-23,2438769097,2324468,1,0,0,True,11,3,02:32:00,Stephanie Soares,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769098,2324468,1,8,52,True,11,5,02:20:00,Emily Ryan,Iowa St.,311,2pt,layup,pointsinthepaint;,LEFT
2022-23,2438769099,2324468,1,8,52,True,11,5,02:20:00,Molly Davis,Iowa,312,foul,personal,shooting;1freethrow;,RIGHT
2022-23,2438769100,2324468,1,0,0,True,11,5,02:20:00,Emily Ryan,Iowa St.,311,foulon,,,LEFT
2022-23,2438769101,2324468,1,0,0,True,11,5,02:20:00,Molly Davis,Iowa,312,substitution,out,,RIGHT
2022-23,2438769102,2324468,1,0,0,True,11,5,02:20:00,Kate Martin,Iowa,312,substitution,out,,RIGHT
2022-23,2438769103,2324468,1,0,0,True,11,5,02:20:00,Monika Czinano,Iowa,312,substitution,out,,RIGHT
2022-23,2438769104,2324468,1,0,0,True,11,5,02:20:00,Sydney Affolter,Iowa,312,substitution,in,,RIGHT
2022-23,2438769105,2324468,1,0,0,True,11,5,02:20:00,Gabbie Marshall,Iowa,312,substitution,in,,RIGHT
2022-23,2438769106,2324468,1,0,0,True,11,5,02:20:00,Addison O'Grady,Iowa,312,substitution,in,,RIGHT
2022-23,2438769107,2324468,1,0,0,True,11,5,02:20:00,Stephanie Soares,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769108,2324468,1,0,0,True,11,5,02:20:00,Maggie Espenmiller-McGraw,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769109,2324468,1,0,0,True,11,5,02:20:00,Ashley Joens,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769110,2324468,1,0,0,True,11,5,02:20:00,Nyamer Diew,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769111,2324468,1,0,0,True,11,5,02:20:00,Denae Fritz,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769112,2324468,1,0,0,True,11,5,02:20:00,Beatriz Jordao,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769113,2324468,1,0,0,True,11,6,02:20:00,Emily Ryan,Iowa St.,311,freethrow,1of1,,LEFT
2022-23,2438769114,2324468,1,92,41,False,11,6,02:04:00,Caitlin Clark,Iowa,312,2pt,jumpshot,pointsinthepaint;,RIGHT
2022-23,2438769115,2324468,1,0,0,True,11,6,02:02:00,Caitlin Clark,Iowa,312,rebound,offensive,,RIGHT
2022-23,2438769116,2324468,1,93,6,False,11,6,02:00:00,Caitlin Clark,Iowa,312,3pt,jumpshot,2ndchance;,RIGHT
2022-23,2438769117,2324468,1,0,0,True,11,6,01:55:00,Nyamer Diew,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769118,2324468,1,64,85,True,11,6,01:54:00,Emily Ryan,Iowa St.,311,turnover,travel,,LEFT
2022-23,2438769119,2324468,1,0,0,True,11,6,01:54:00,Nyamer Diew,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769120,2324468,1,0,0,True,11,6,01:54:00,Ashley Joens,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769121,2324468,1,86,42,True,11,6,01:39:00,Addison O'Grady,Iowa,312,turnover,badpass,,RIGHT
2022-23,2438769122,2324468,1,0,0,True,11,6,01:39:00,Emily Ryan,Iowa St.,311,steal,,,LEFT
2022-23,2438769123,2324468,1,22,75,True,11,8,01:26:00,Lexi Donarski,Iowa St.,311,2pt,jumpshot,fromturnover;,LEFT
2022-23,2438769124,2324468,1,77,47,False,11,8,01:10:00,Caitlin Clark,Iowa,312,2pt,jumpshot,,RIGHT
2022-23,2438769125,2324468,1,0,0,True,11,8,01:07:00,Emily Ryan,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769126,2324468,1,32,46,True,11,11,01:02:00,Ashley Joens,Iowa St.,311,3pt,jumpshot,fastbreak;,LEFT
2022-23,2438769127,2324468,1,0,0,True,11,11,01:02:00,Lexi Donarski,Iowa St.,311,assist,,,LEFT
2022-23,2438769128,2324468,1,81,68,False,11,11,00:46:80,Caitlin Clark,Iowa,312,2pt,jumpshot,,RIGHT
2022-23,2438769129,2324468,1,0,0,True,11,11,00:44:90,Ashley Joens,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769130,2324468,1,83,71,True,11,11,00:44:90,Sydney Affolter,Iowa,312,foul,personal,,RIGHT
2022-23,2438769131,2324468,1,0,0,True,11,11,00:44:90,Ashley Joens,Iowa St.,311,foulon,,,LEFT
2022-23,2438769132,2324468,1,0,0,True,11,11,00:44:90,Addison O'Grady,Iowa,312,substitution,out,,RIGHT
2022-23,2438769133,2324468,1,0,0,True,11,11,00:44:90,Monika Czinano,Iowa,312,substitution,in,,RIGHT
2022-23,2438769134,2324468,1,0,0,True,11,11,00:44:90,Beatriz Jordao,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769135,2324468,1,0,0,True,11,11,00:44:90,Stephanie Soares,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769136,2324468,1,25,20,False,11,11,00:34:50,Ashley Joens,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769137,2324468,1,0,0,True,11,11,00:30:30,Stephanie Soares,Iowa St.,311,rebound,offensive,,LEFT
2022-23,2438769138,2324468,1,5,79,True,11,11,00:29:50,Stephanie Soares,Iowa St.,311,turnover,badpass,,LEFT
2022-23,2438769139,2324468,1,0,0,True,11,11,00:29:50,Caitlin Clark,Iowa,312,steal,,,RIGHT
2022-23,2438769140,2324468,1,75,55,False,11,11,00:00:10,McKenna Warnock,Iowa,312,2pt,jumpshot,fromturnover;,RIGHT
2022-23,2438769143,2324468,2,0,0,True,11,11,10:00:00,Sydney Affolter,Iowa,312,substitution,out,,RIGHT
2022-23,2438769144,2324468,2,0,0,True,11,11,10:00:00,Kate Martin,Iowa,312,substitution,in,,RIGHT
2022-23,2438769146,2324468,2,21,54,True,11,11,09:50:00,Stephanie Soares,Iowa St.,311,turnover,badpass,,LEFT
2022-23,2438769148,2324468,2,91,42,False,11,11,09:19:00,Caitlin Clark,Iowa,312,2pt,jumpshot,fromturnover;pointsinthepaint;,RIGHT
2022-23,2438769149,2324468,2,0,0,True,11,11,09:19:00,Ashley Joens,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769150,2324468,2,21,63,True,11,11,09:19:00,Monika Czinano,Iowa,312,foul,personal,,RIGHT
2022-23,2438769151,2324468,2,0,0,True,11,11,09:19:00,Stephanie Soares,Iowa St.,311,foulon,,,LEFT
2022-23,2438769152,2324468,2,8,33,True,11,13,09:10:00,Denae Fritz,Iowa St.,311,2pt,jumpshot,,LEFT
2022-23,2438769153,2324468,2,85,54,False,11,13,08:46:00,Kate Martin,Iowa,312,2pt,jumpshot,pointsinthepaint;,RIGHT
2022-23,2438769154,2324468,2,0,0,True,11,13,08:44:00,Stephanie Soares,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769155,2324468,2,8,9,True,11,13,08:27:00,Denae Fritz,Iowa St.,311,turnover,travel,,LEFT
2022-23,2438769156,2324468,2,0,0,True,11,13,08:27:00,Denae Fritz,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769157,2324468,2,0,0,True,11,13,08:27:00,Maggie Espenmiller-McGraw,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769158,2324468,2,0,0,True,11,13,08:27:00,Stephanie Soares,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769159,2324468,2,0,0,True,11,13,08:27:00,Morgan Kane,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769160,2324468,2,91,52,True,13,13,08:14:00,Monika Czinano,Iowa,312,2pt,jumpshot,fromturnover;pointsinthepaint;,RIGHT
2022-23,2438769161,2324468,2,0,0,True,13,13,08:14:00,McKenna Warnock,Iowa,312,assist,,,RIGHT
2022-23,2438769162,2324468,2,8,69,False,13,13,07:54:00,Emily Ryan,Iowa St.,311,2pt,jumpshot,,LEFT
2022-23,2438769163,2324468,2,0,0,True,13,13,07:51:00,Monika Czinano,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769164,2324468,2,93,50,True,15,13,07:49:00,McKenna Warnock,Iowa,312,2pt,layup,pointsinthepaint;fastbreak;,RIGHT
2022-23,2438769165,2324468,2,0,0,True,15,13,07:49:00,Caitlin Clark,Iowa,312,assist,,,RIGHT
2022-23,2438769166,2324468,2,9,34,True,15,13,07:25:00,Ashley Joens,Iowa St.,311,turnover,lostball,,LEFT
2022-23,2438769167,2324468,2,0,0,True,15,13,07:25:00,Caitlin Clark,Iowa,312,steal,,,RIGHT
2022-23,2438769168,2324468,2,76,87,False,15,13,07:19:00,McKenna Warnock,Iowa,312,3pt,jumpshot,fromturnover;,RIGHT
2022-23,2438769169,2324468,2,0,0,True,15,13,07:15:00,Morgan Kane,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769170,2324468,2,7,53,False,15,13,07:10:00,Lexi Donarski,Iowa St.,311,2pt,layup,pointsinthepaint;blocked;,LEFT
2022-23,2438769171,2324468,2,0,0,True,15,13,07:10:00,Kate Martin,Iowa,312,block,,,RIGHT
2022-23,2438769173,2324468,2,0,0,True,15,13,07:10:00,Caitlin Clark,Iowa,312,substitution,out,,RIGHT
2022-23,2438769174,2324468,2,0,0,True,15,13,07:10:00,Molly Davis,Iowa,312,substitution,in,,RIGHT
2022-23,2438769175,2324468,2,29,41,True,15,13,06:55:00,Emily Ryan,Iowa St.,311,turnover,badpass,,LEFT
2022-23,2438769176,2324468,2,92,48,False,15,13,06:45:00,Monika Czinano,Iowa,312,2pt,layup,fromturnover;pointsinthepaint;,RIGHT
2022-23,2438769177,2324468,2,0,0,True,15,13,06:39:00,Emily Ryan,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769178,2324468,2,20,14,False,15,13,06:38:00,Lexi Donarski,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769179,2324468,2,0,0,True,15,13,06:33:00,Molly Davis,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769180,2324468,2,0,0,True,15,13,06:25:00,Monika Czinano,Iowa,312,substitution,out,,RIGHT
2022-23,2438769181,2324468,2,0,0,True,15,13,06:25:00,Addison O'Grady,Iowa,312,substitution,in,,RIGHT
2022-23,2438769182,2324468,2,0,0,True,15,13,06:25:00,Morgan Kane,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769183,2324468,2,0,0,True,15,13,06:25:00,Stephanie Soares,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769184,2324468,2,91,60,False,15,13,06:12:00,Addison O'Grady,Iowa,312,2pt,jumpshot,pointsinthepaint;blocked;,RIGHT
2022-23,2438769185,2324468,2,0,0,True,15,13,06:12:00,Stephanie Soares,Iowa St.,311,block,,,LEFT
2022-23,2438769186,2324468,2,0,0,True,15,13,06:09:00,Ashley Joens,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769187,2324468,2,34,70,True,15,13,05:57:00,Lexi Donarski,Iowa St.,311,turnover,badpass,,LEFT
2022-23,2438769188,2324468,2,0,0,True,15,13,05:57:00,McKenna Warnock,Iowa,312,steal,,,RIGHT
2022-23,2438769189,2324468,2,76,58,True,15,13,05:50:00,Maggie Espenmiller-McGraw,Iowa St.,311,foul,personal,,LEFT
2022-23,2438769190,2324468,2,0,0,True,15,13,05:50:00,Molly Davis,Iowa,312,foulon,,,RIGHT
2022-23,2438769191,2324468,2,0,0,True,15,13,05:50:00,McKenna Warnock,Iowa,312,substitution,out,,RIGHT
2022-23,2438769192,2324468,2,0,0,True,15,13,05:50:00,Gabbie Marshall,Iowa,312,substitution,out,,RIGHT
2022-23,2438769193,2324468,2,0,0,True,15,13,05:50:00,Caitlin Clark,Iowa,312,substitution,in,,RIGHT
2022-23,2438769194,2324468,2,0,0,True,15,13,05:50:00,Hannah Stuelke,Iowa,312,substitution,in,,RIGHT
2022-23,2438769195,2324468,2,63,58,True,15,13,05:49:00,Hannah Stuelke,Iowa,312,turnover,badpass,,RIGHT
2022-23,2438769196,2324468,2,0,0,True,15,13,05:49:00,Ashley Joens,Iowa St.,311,steal,,,LEFT
2022-23,2438769197,2324468,2,15,57,True,15,13,05:45:00,Hannah Stuelke,Iowa,312,foul,personal,shooting;2freethrow;,RIGHT
2022-23,2438769198,2324468,2,0,0,True,15,13,05:45:00,Ashley Joens,Iowa St.,311,foulon,,,LEFT
2022-23,2438769199,2324468,2,0,0,True,15,13,05:45:00,Maggie Espenmiller-McGraw,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769200,2324468,2,0,0,True,15,13,05:45:00,Denae Fritz,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769201,2324468,2,0,0,True,15,14,05:45:00,Ashley Joens,Iowa St.,311,freethrow,1of2,fastbreak;fromturnover;,LEFT
2022-23,2438769202,2324468,2,0,0,True,15,15,05:45:00,Ashley Joens,Iowa St.,311,freethrow,2of2,fastbreak;fromturnover;,LEFT
2022-23,2438769203,2324468,2,82,74,True,17,15,05:25:00,Caitlin Clark,Iowa,312,2pt,jumpshot,,RIGHT
2022-23,2438769204,2324468,2,32,47,False,17,15,05:07:00,Stephanie Soares,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769205,2324468,2,0,0,True,17,15,05:04:00,Caitlin Clark,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769206,2324468,2,68,65,False,17,15,04:37:00,Caitlin Clark,Iowa,312,3pt,jumpshot,,RIGHT
2022-23,2438769207,2324468,2,0,0,True,17,15,04:33:00,Addison O'Grady,Iowa,312,rebound,offensive,,RIGHT
2022-23,2438769208,2324468,2,70,68,True,20,15,04:28:00,Kate Martin,Iowa,312,3pt,jumpshot,2ndchance;,RIGHT
2022-23,2438769209,2324468,2,0,0,True,20,15,04:28:00,Molly Davis,Iowa,312,assist,,,RIGHT
2022-23,2438769210,2324468,2,9,48,False,20,15,04:12:00,Denae Fritz,Iowa St.,311,2pt,layup,pointsinthepaint;,LEFT
2022-23,2438769211,2324468,2,0,0,True,20,15,04:10:00,Stephanie Soares,Iowa St.,311,rebound,offensive,,LEFT
2022-23,2438769212,2324468,2,31,64,True,20,18,04:06:00,Emily Ryan,Iowa St.,311,3pt,jumpshot,2ndchance;,LEFT
2022-23,2438769213,2324468,2,31,64,True,20,18,04:06:00,Kate Martin,Iowa,312,foul,personal,,RIGHT
2022-23,2438769214,2324468,2,0,0,True,20,18,04:06:00,Denae Fritz,Iowa St.,311,foulon,,,LEFT
2022-23,2438769216,2324468,2,0,0,True,20,18,04:06:00,Addison O'Grady,Iowa,312,substitution,out,,RIGHT
2022-23,2438769217,2324468,2,0,0,True,20,18,04:06:00,Monika Czinano,Iowa,312,substitution,in,,RIGHT
2022-23,2438769218,2324468,2,34,53,True,20,21,03:49:00,Emily Ryan,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769219,2324468,2,0,0,True,20,21,03:49:00,Lexi Donarski,Iowa St.,311,assist,,,LEFT
2022-23,2438769220,2324468,2,92,99,False,20,21,03:24:00,Molly Davis,Iowa,312,3pt,jumpshot,blocked;,RIGHT
2022-23,2438769221,2324468,2,0,0,True,20,21,03:24:00,Emily Ryan,Iowa St.,311,block,,,LEFT
2022-23,2438769222,2324468,2,0,0,True,20,21,03:20:00,Emily Ryan,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769223,2324468,2,7,49,True,20,23,03:09:00,Ashley Joens,Iowa St.,311,2pt,layup,pointsinthepaint;,LEFT
2022-23,2438769224,2324468,2,90,54,False,20,23,02:51:00,Hannah Stuelke,Iowa,312,2pt,jumpshot,pointsinthepaint;,RIGHT
2022-23,2438769225,2324468,2,0,0,True,20,23,02:49:00,Ashley Joens,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769226,2324468,2,31,42,True,20,26,02:36:00,Stephanie Soares,Iowa St.,311,3pt,jumpshot,,LEFT
