ncaa_id,game_id,date,team,opponent,official
796,14176,2/16/2022,Wisconsin,Michigan St.,Natasha Camy
796,14176,2/16/2022,Wisconsin,Michigan St.,Tim Daley
796,14176,2/16/2022,Wisconsin,Michigan St.,Julie Krommenhoek
796,13871,3/2/2022,Wisconsin,Illinois,Brian Hall
796,13871,3/2/2022,Wisconsin,Illinois,Nykesha Thompson
796,13871,3/2/2022,Wisconsin,Illinois,Michael McConnell
796,13836,1/12/2022,Wisconsin,Minnesota,Erica Parker
796,13836,1/12/2022,Wisconsin,Minnesota,Brian Hall
796,13836,1/12/2022,Wisconsin,Minnesota,Felicia Grinter
796,13733,12/16/2021,Wisconsin,Illinois St.,Xiomara Cruz
796,13733,12/16/2021,Wisconsin,Illinois St.,Mark Resch
796,13733,12/16/2021,Wisconsin,Illinois St.,Nykesha Thompson
796,13725,11/14/2021,Wisconsin,Njit,Kelsey Reynolds
796,13725,11/14/2021,Wisconsin,Njit,Karleena Tobin
796,13725,11/14/2021,Wisconsin,Njit,Julie Krommenhoek
796,13857,1/23/2022,Wisconsin,Penn St.,Jamie Broderick
796,13857,1/23/2022,Wisconsin,Penn St.,Maggie Tieman
796,13857,1/23/2022,Wisconsin,Penn St.,Felicia Grinter
796,13729,11/27/2021,Wisconsin,Boise St.,Kim Hobbs
796,13729,11/27/2021,Wisconsin,Boise St.,Richard Waters
796,13729,11/27/2021,Wisconsin,Boise St.,Tiffany Bird
796,13724,11/10/2021,Wisconsin,St. Thomas (MN),Gerda Gatling
796,13724,11/10/2021,Wisconsin,St. Thomas (MN),Nykesha Thompson
796,13724,11/10/2021,Wisconsin,St. Thomas (MN),Gina Cross
796,13732,12/12/2021,Wisconsin,Green Bay,Erica Parker
796,13732,12/12/2021,Wisconsin,Green Bay,Kalei Enterline
796,13732,12/12/2021,Wisconsin,Green Bay,Tim Daley
51,27645,3/12/2022,Baylor,Oklahoma,Kevin Pethtel
51,27645,3/12/2022,Baylor,Oklahoma,Maj Forsberg
51,27645,3/12/2022,Baylor,Oklahoma,Lisa Jones
51,27262,11/9/2021,Baylor,Texas St.,Bill Larance
51,27262,11/9/2021,Baylor,Texas St.,Chaney Muench
51,27262,11/9/2021,Baylor,Texas St.,Roy Gulbeyan
51,27648,3/18/2022,Baylor,Hawaii,Sherry Britton
51,27648,3/18/2022,Baylor,Hawaii,Richard Waters
51,27648,3/18/2022,Baylor,Hawaii,Julie Krommenhoek
51,27367,3/6/2022,Baylor,Texas Tech,Metta Christensen
51,27367,3/6/2022,Baylor,Texas Tech,Bill Larance
51,27367,3/6/2022,Baylor,Texas Tech,Bryan Enterline
51,27652,3/20/2022,Baylor,South Dakota,Teresa Turner
51,27652,3/20/2022,Baylor,South Dakota,Julie Krommenhoek
51,27652,3/20/2022,Baylor,South Dakota,Eric Brewton
51,27351,2/16/2022,Baylor,Tcu,Bill Larance
51,27351,2/16/2022,Baylor,Tcu,NyKesha Thompson
51,27351,2/16/2022,Baylor,Tcu,Gina Cross
51,27264,11/15/2021,Baylor,New Orleans,Saif Esho
51,27264,11/15/2021,Baylor,New Orleans,Nykesha Thompson
51,27264,11/15/2021,Baylor,New Orleans,Felicia Grinter
51,27356,1/23/2022,Baylor,Iowa St.,Scott Yarbrough
51,27356,1/23/2022,Baylor,Iowa St.,Brian Hall
51,27356,1/23/2022,Baylor,Iowa St.,Maj Frosberg
51,27269,11/30/2021,Baylor,Morehead St.,Scott Yarbrough
51,27269,11/30/2021,Baylor,Morehead St.,Cameron Inouye
51,27269,11/30/2021,Baylor,Morehead St.,Dee Kantner
51,27361,2/12/2022,Baylor,West Virginia,Kevin Pethtel
51,27361,2/12/2022,Baylor,West Virginia,Cameron Inouye
51,27361,2/12/2022,Baylor,West Virginia,Mark Zentz
51,27266,11/25/2021,Baylor,Fordham,Adrienne Gilmore
51,27266,11/25/2021,Baylor,Fordham,Erika Herriman
51,27266,11/25/2021,Baylor,Fordham,Nick Marshall
51,27362,2/9/2022,Baylor,Kansas St.,Tiffany Bird
51,27362,2/9/2022,Baylor,Kansas St.,Brian Garland
51,27362,2/9/2022,Baylor,Kansas St.,Roy Gulbeyan
51,27270,12/4/2021,Baylor,Missouri,Brian Garland
51,27270,12/4/2021,Baylor,Missouri,Julie Krommenhoek
51,27270,12/4/2021,Baylor,Missouri,Brian Hall
51,27355,1/19/2022,Baylor,Oklahoma St.,Karleena Tobin
51,27355,1/19/2022,Baylor,Oklahoma St.,Michael McConnell
51,27355,1/19/2022,Baylor,Oklahoma St.,Gina Cross
51,27271,12/8/2021,Baylor,Alcorn,Tiffany Bridges
51,27271,12/8/2021,Baylor,Alcorn,Nykesha Thompson
51,27271,12/8/2021,Baylor,Alcorn,Lisa Jones
51,27359,2/2/2022,Baylor,Oklahoma,Nykesha Thompson
51,27359,2/2/2022,Baylor,Oklahoma,Bill Larance
51,27359,2/2/2022,Baylor,Oklahoma,Felicia Grinter
51,27352,2/4/2022,Baylor,Texas,Metta Christensen
51,27352,2/4/2022,Baylor,Texas,Michael McConnell
51,27352,2/4/2022,Baylor,Texas,Brian Hall
51,27368,3/11/2022,Baylor,Oklahoma St.,Nykesha Thompson
51,27368,3/11/2022,Baylor,Oklahoma St.,Julie Krommenhoek
51,27368,3/11/2022,Baylor,Oklahoma St.,Eric Brewton
51,27627,12/29/2021,Baylor,North Texas,Saif Esho
51,27627,12/29/2021,Baylor,North Texas,Brian Garland
51,27627,12/29/2021,Baylor,North Texas,Beverly Roberts
51,27365,2/26/2022,Baylor,Kansas,Natasha Camy
51,27365,2/26/2022,Baylor,Kansas,Brian Hall
51,27365,2/26/2022,Baylor,Kansas,Michael McConnell
51,27646,3/13/2022,Baylor,Texas,Lisa Jones
51,27646,3/13/2022,Baylor,Texas,Gina Cross
