Conference,Team,Season,Away,Home,Neutral,Diff
A-Sun WBB,Bellarmine,2020-2021,18.166666666666668,17.2,NA,-0.9666666666666686
A-Sun WBB,Bellarmine,2021-2022,18.333333333333332,17.692307692307693,NA,-0.6410256410256387
A-Sun WBB,Bellarmine,2022-2023,22.142857142857142,17,19,-5.142857142857142
A-Sun WBB,Bellarmine,2023-2024,22.25,19.444444444444443,NA,-2.805555555555557
A-Sun WBB,Central Arkansas,2021-2022,18.571428571428573,15.5,NA,-3.071428571428573
A-Sun WBB,Central Arkansas,2022-2023,16.642857142857142,13.666666666666666,NA,-2.9761904761904763
A-Sun WBB,Central Arkansas,2023-2024,17.416666666666668,15.444444444444445,13,-1.9722222222222232
A-Sun WBB,Eastern Kentucky,2021-2022,17.6875,17.466666666666665,NA,-0.220833333333335
A-Sun WBB,Eastern Kentucky,2022-2023,17.333333333333332,16.533333333333335,17,-0.7999999999999972
A-Sun WBB,Eastern Kentucky,2023-2024,20,13.333333333333334,12.5,-6.666666666666666
A-Sun WBB,Florida Gulf Coast,2017-2018,18.5,15.476190476190476,26,-3.0238095238095237
A-Sun WBB,Florida Gulf Coast,2018-2019,18.071428571428573,16.05263157894737,NA,-2.018796992481203
A-Sun WBB,Florida Gulf Coast,2019-2020,14.461538461538462,16.15,NA,1.688461538461537
A-Sun WBB,Florida Gulf Coast,2020-2021,16.90909090909091,17.235294117647058,21,0.32620320855614793
A-Sun WBB,Florida Gulf Coast,2021-2022,15.23076923076923,15.75,NA,0.51923076923077
A-Sun WBB,Florida Gulf Coast,2022-2023,15.666666666666666,14.277777777777779,12.5,-1.3888888888888875
A-Sun WBB,Florida Gulf Coast,2023-2024,16.4,13,18,-3.3999999999999986
A-Sun WBB,Jacksonville,2017-2018,19.294117647058822,18.6875,NA,-0.6066176470588225
A-Sun WBB,Jacksonville,2018-2019,18.41176470588235,17.384615384615383,NA,-1.0271493212669682
A-Sun WBB,Jacksonville,2019-2020,19.642857142857142,19.4375,NA,-0.20535714285714235
A-Sun WBB,Jacksonville,2020-2021,19.25,17.444444444444443,NA,-1.8055555555555571
A-Sun WBB,Jacksonville,2021-2022,19.857142857142858,17.133333333333333,NA,-2.723809523809525
A-Sun WBB,Jacksonville,2022-2023,16.384615384615383,17.785714285714285,21,1.4010989010989015
A-Sun WBB,Jacksonville,2023-2024,21.583333333333332,19.333333333333332,NA,-2.25
A-Sun WBB,Jacksonville State,2021-2022,16.266666666666666,15.117647058823529,NA,-1.1490196078431367
A-Sun WBB,Jacksonville State,2022-2023,16.46153846153846,14.857142857142858,16,-1.6043956043956022
A-Sun WBB,Kennesaw State,2017-2018,18.357142857142858,18.5,NA,0.14285714285714235
A-Sun WBB,Kennesaw State,2018-2019,19.647058823529413,18.857142857142858,NA,-0.7899159663865554
A-Sun WBB,Kennesaw State,2019-2020,18.733333333333334,17.571428571428573,NA,-1.1619047619047613
A-Sun WBB,Kennesaw State,2020-2021,19.5,15.692307692307692,NA,-3.8076923076923084
A-Sun WBB,Kennesaw State,2021-2022,16.53846153846154,18.4,NA,1.8615384615384585
A-Sun WBB,Kennesaw State,2022-2023,18.176470588235293,17.923076923076923,16,-0.25339366515837014
A-Sun WBB,Kennesaw State,2023-2024,18.125,17.25,16,-0.875
A-Sun WBB,Liberty,2018-2019,20.0625,19.0625,NA,-1
A-Sun WBB,Liberty,2019-2020,20.529411764705884,18.571428571428573,NA,-1.957983193277311
A-Sun WBB,Liberty,2020-2021,17.846153846153847,16.785714285714285,NA,-1.060439560439562
A-Sun WBB,Liberty,2021-2022,17.266666666666666,16,NA,-1.2666666666666657
A-Sun WBB,Liberty,2022-2023,16.666666666666668,16.333333333333332,22.333333333333332,-0.3333333333333357
A-Sun WBB,Lipscomb,2017-2018,18.41176470588235,17.928571428571427,NA,-0.48319327731092443
A-Sun WBB,Lipscomb,2018-2019,17.25,18.923076923076923,NA,1.6730769230769234
A-Sun WBB,Lipscomb,2019-2020,20.6875,19.928571428571427,NA,-0.758928571428573
A-Sun WBB,Lipscomb,2020-2021,19.90909090909091,16,NA,-3.90909090909091
A-Sun WBB,Lipscomb,2021-2022,18.066666666666666,17,NA,-1.0666666666666664
A-Sun WBB,Lipscomb,2022-2023,17.5,15.066666666666666,14,-2.4333333333333336
A-Sun WBB,Lipscomb,2023-2024,16.384615384615383,15.88888888888889,NA,-0.49572649572649397
A-Sun WBB,NJIT,2017-2018,18.6,17,NA,-1.6000000000000014
A-Sun WBB,NJIT,2018-2019,16.058823529411764,18.923076923076923,NA,2.864253393665159
A-Sun WBB,NJIT,2019-2020,14.4375,15.615384615384615,NA,1.177884615384615
A-Sun WBB,North Alabama,2018-2019,18,16.375,NA,-1.625
A-Sun WBB,North Alabama,2019-2020,19.923076923076923,16.352941176470587,NA,-3.5701357466063364
A-Sun WBB,North Alabama,2020-2021,17.928571428571427,18.727272727272727,NA,0.7987012987012996
A-Sun WBB,North Alabama,2021-2022,16.76923076923077,17.25,NA,0.48076923076922995
A-Sun WBB,North Alabama,2022-2023,17.8,17.8,NA,0
A-Sun WBB,North Alabama,2023-2024,19.2,16.166666666666668,NA,-3.0333333333333314
A-Sun WBB,North Florida,2017-2018,16.823529411764707,16.642857142857142,NA,-0.18067226890756416
A-Sun WBB,North Florida,2018-2019,16.266666666666666,15.5,NA,-0.7666666666666657
A-Sun WBB,North Florida,2019-2020,14.882352941176471,14.571428571428571,NA,-0.31092436974789983
A-Sun WBB,North Florida,2020-2021,15.142857142857142,16.818181818181817,NA,1.6753246753246742
A-Sun WBB,North Florida,2021-2022,16.941176470588236,18.384615384615383,NA,1.4434389140271477
A-Sun WBB,North Florida,2022-2023,16.846153846153847,17,20,0.1538461538461533
A-Sun WBB,North Florida,2023-2024,16.09090909090909,17.7,21,1.6090909090909093
A-Sun WBB,Queens (NC),2022-2023,20.928571428571427,20,NA,-0.928571428571427
A-Sun WBB,Queens (NC),2023-2024,22.7,21.166666666666668,NA,-1.5333333333333314
A-Sun WBB,South Carolina Upstate,2017-2018,18.285714285714285,15.4375,NA,-2.8482142857142847
A-Sun WBB,Stetson,2017-2018,17.466666666666665,16.470588235294116,NA,-0.996078431372549
A-Sun WBB,Stetson,2018-2019,16.666666666666668,14.647058823529411,NA,-2.0196078431372566
A-Sun WBB,Stetson,2019-2020,18,18.133333333333333,NA,0.13333333333333286
A-Sun WBB,Stetson,2020-2021,15.416666666666666,16.416666666666668,13,1.0000000000000018
A-Sun WBB,Stetson,2021-2022,15.647058823529411,15.6,NA,-0.0470588235294116
A-Sun WBB,Stetson,2022-2023,15.846153846153847,16.0625,17,0.2163461538461533
A-Sun WBB,Stetson,2023-2024,17.09090909090909,16.8,19,-0.29090909090908923
AAC WBB,Central Florida,2017-2018,18.058823529411764,16.5,NA,-1.5588235294117645
AAC WBB,Central Florida,2018-2019,18.72222222222222,17.333333333333332,NA,-1.3888888888888893
AAC WBB,Central Florida,2019-2020,15.166666666666666,17.055555555555557,NA,1.888888888888891
AAC WBB,Central Florida,2020-2021,16.88888888888889,14.636363636363637,22,-2.2525252525252526
AAC WBB,Central Florida,2021-2022,14.666666666666666,13.833333333333334,NA,-0.8333333333333321
AAC WBB,Central Florida,2022-2023,19,15.75,14.5,-3.25
AAC WBB,Charlotte,2023-2024,19.11111111111111,17.77777777777778,18.333333333333332,-1.3333333333333321
AAC WBB,Cincinnati,2017-2018,16.384615384615383,14.105263157894736,NA,-2.279352226720647
AAC WBB,Cincinnati,2018-2019,17.933333333333334,16.05,NA,-1.8833333333333329
AAC WBB,Cincinnati,2019-2020,16.923076923076923,15.789473684210526,NA,-1.1336032388663977
AAC WBB,Cincinnati,2020-2021,17.416666666666668,19.166666666666668,NA,1.75
AAC WBB,Cincinnati,2021-2022,19.666666666666668,19.5625,NA,-0.10416666666666785
AAC WBB,Cincinnati,2022-2023,18.785714285714285,20.153846153846153,19.666666666666668,1.3681318681318686
AAC WBB,Connecticut,2017-2018,12.692307692307692,11.666666666666666,13.666666666666666,-1.0256410256410255
AAC WBB,Connecticut,2018-2019,11.705882352941176,12.333333333333334,NA,0.6274509803921582
AAC WBB,Connecticut,2019-2020,11.357142857142858,10.944444444444445,NA,-0.412698412698413
AAC WBB,East Carolina,2017-2018,22.75,22.789473684210527,NA,0.03947368421052744
AAC WBB,East Carolina,2018-2019,17.5,17.36842105263158,NA,-0.13157894736842124
AAC WBB,East Carolina,2019-2020,20.933333333333334,19.133333333333333,NA,-1.8000000000000007
AAC WBB,East Carolina,2020-2021,20.75,19.4,NA,-1.3500000000000014
AAC WBB,East Carolina,2021-2022,19.733333333333334,17.285714285714285,NA,-2.4476190476190496
AAC WBB,East Carolina,2022-2023,19.076923076923077,18.6875,16.25,-0.38942307692307665
AAC WBB,East Carolina,2023-2024,16.833333333333332,18.583333333333332,21,1.75
AAC WBB,Florida Atlantic,2023-2024,16.5,14.2,12,-2.3000000000000007
AAC WBB,Houston,2017-2018,22.294117647058822,18.933333333333334,NA,-3.360784313725489
AAC WBB,Houston,2018-2019,20.647058823529413,17.285714285714285,NA,-3.3613445378151283
AAC WBB,Houston,2019-2020,17.25,15.533333333333333,NA,-1.7166666666666668
AAC WBB,Houston,2020-2021,18.846153846153847,16.666666666666668,NA,-2.179487179487179
AAC WBB,Houston,2021-2022,17.58823529411765,17.352941176470587,NA,-0.23529411764706154
AAC WBB,Houston,2022-2023,23.416666666666668,20.214285714285715,20.6,-3.2023809523809526
AAC WBB,Memphis,2017-2018,14.846153846153847,14.588235294117647,NA,-0.25791855203619996
AAC WBB,Memphis,2018-2019,18.714285714285715,16.823529411764707,NA,-1.8907563025210088
AAC WBB,Memphis,2019-2020,15.75,15.866666666666667,NA,0.11666666666666714
AAC WBB,Memphis,2020-2021,15.444444444444445,16.4,NA,0.9555555555555539
AAC WBB,Memphis,2021-2022,16.384615384615383,15.266666666666667,NA,-1.1179487179487158
AAC WBB,Memphis,2022-2023,17.785714285714285,16.466666666666665,19,-1.3190476190476197
AAC WBB,Memphis,2023-2024,21.444444444444443,23.11111111111111,20.666666666666668,1.6666666666666679
AAC WBB,North Texas,2023-2024,17.7,15.222222222222221,15.5,-2.477777777777778
AAC WBB,Rice,2023-2024,19.6,17.545454545454547,NA,-2.0545454545454547
AAC WBB,South Florida,2017-2018,15,12.736842105263158,21,-2.2631578947368425
AAC WBB,South Florida,2018-2019,16.125,12.421052631578947,NA,-3.703947368421053
AAC WBB,South Florida,2019-2020,19.214285714285715,15.277777777777779,NA,-3.9365079365079367
AAC WBB,South Florida,2020-2021,16,16.714285714285715,16.5,0.7142857142857153
AAC WBB,South Florida,2021-2022,15.5,14.647058823529411,NA,-0.8529411764705888
AAC WBB,South Florida,2022-2023,14.75,12.8,17.428571428571427,-1.9499999999999993
AAC WBB,South Florida,2023-2024,17.333333333333332,16.5,16.4,-0.8333333333333321
AAC WBB,Southern Methodist,2017-2018,19,16.2,NA,-2.8000000000000007
AAC WBB,Southern Methodist,2018-2019,18.46153846153846,16.58823529411765,NA,-1.8733031674208114
AAC WBB,Southern Methodist,2019-2020,16.09090909090909,16.666666666666668,NA,0.5757575757575779
AAC WBB,Southern Methodist,2020-2021,24.666666666666668,17.666666666666668,NA,-7
AAC WBB,Southern Methodist,2021-2022,14.928571428571429,15.466666666666667,NA,0.538095238095238
AAC WBB,Southern Methodist,2022-2023,15.307692307692308,14.4,15.5,-0.907692307692308
AAC WBB,Southern Methodist,2023-2024,22.166666666666668,14.428571428571429,21.5,-7.738095238095239
AAC WBB,Temple,2017-2018,19.25,17.94736842105263,NA,-1.30263157894737
AAC WBB,Temple,2018-2019,17,17.583333333333332,NA,0.5833333333333321
AAC WBB,Temple,2019-2020,20,15.764705882352942,NA,-4.235294117647058
AAC WBB,Temple,2020-2021,16.818181818181817,16.90909090909091,NA,0.09090909090909349
AAC WBB,Temple,2021-2022,19.071428571428573,17.428571428571427,NA,-1.642857142857146
AAC WBB,Temple,2022-2023,18.642857142857142,19.571428571428573,15,0.9285714285714306
AAC WBB,Temple,2023-2024,19,20.916666666666668,18,1.9166666666666679
AAC WBB,Tulane,2017-2018,15.375,16.666666666666668,NA,1.2916666666666679
AAC WBB,Tulane,2018-2019,17.307692307692307,17.58823529411765,NA,0.2805429864253419
AAC WBB,Tulane,2019-2020,15.5,17,NA,1.5
AAC WBB,Tulane,2020-2021,14.25,15.666666666666666,NA,1.416666666666666
AAC WBB,Tulane,2021-2022,14.166666666666666,14.263157894736842,NA,0.0964912280701764
AAC WBB,Tulane,2022-2023,16.181818181818183,13.411764705882353,12.75,-2.77005347593583
AAC WBB,Tulane,2023-2024,16,15.166666666666666,14,-0.8333333333333339
AAC WBB,Tulsa,2017-2018,18.5625,18.333333333333332,NA,-0.22916666666666785
AAC WBB,Tulsa,2018-2019,18.375,15.8,NA,-2.5749999999999993
AAC WBB,Tulsa,2019-2020,17.5,18.5,NA,1
AAC WBB,Tulsa,2020-2021,15.555555555555555,16.1,NA,0.5444444444444461
AAC WBB,Tulsa,2021-2022,17.5,16,NA,-1.5
AAC WBB,Tulsa,2022-2023,18.416666666666668,15.4,19.666666666666668,-3.0166666666666675
AAC WBB,Tulsa,2023-2024,20.25,16.77777777777778,17.4,-3.4722222222222214
AAC WBB,UAB,2023-2024,14.5,14.916666666666666,16,0.4166666666666661
AAC WBB,UTSA,2023-2024,21.083333333333332,18.375,NA,-2.708333333333332
AAC WBB,Wichita State,2017-2018,17.4,18.125,NA,0.7250000000000014
AAC WBB,Wichita State,2018-2019,18.5,17.75,NA,-0.75
AAC WBB,Wichita State,2019-2020,20.466666666666665,18.75,NA,-1.716666666666665
AAC WBB,Wichita State,2020-2021,18.444444444444443,19,NA,0.5555555555555571
AAC WBB,Wichita State,2021-2022,17.333333333333332,15.666666666666666,NA,-1.666666666666666
AAC WBB,Wichita State,2022-2023,16.285714285714285,15.2,15,-1.0857142857142854
AAC WBB,Wichita State,2023-2024,20.125,16.583333333333332,19,-3.541666666666668
ACC WBB,Boston College,2017-2018,17.466666666666665,15.333333333333334,NA,-2.133333333333331
ACC WBB,Boston College,2018-2019,20.25,19.166666666666668,NA,-1.0833333333333321
ACC WBB,Boston College,2019-2020,18.625,17.625,NA,-1
ACC WBB,Boston College,2020-2021,19.444444444444443,18.5,NA,-0.9444444444444429
ACC WBB,Boston College,2021-2022,17.857142857142858,15.526315789473685,NA,-2.3308270676691727
ACC WBB,Boston College,2022-2023,18.363636363636363,16.5,17.75,-1.8636363636363633
ACC WBB,Boston College,2023-2024,19.77777777777778,17.25,19.5,-2.5277777777777786
ACC WBB,Clemson,2017-2018,18.928571428571427,18,NA,-0.928571428571427
ACC WBB,Clemson,2018-2019,18.333333333333332,17.27777777777778,NA,-1.0555555555555536
ACC WBB,Clemson,2019-2020,18.333333333333332,16.4375,NA,-1.8958333333333321
ACC WBB,Clemson,2020-2021,18.727272727272727,19.133333333333333,NA,0.40606060606060623
ACC WBB,Clemson,2021-2022,18.76923076923077,16.88888888888889,NA,-1.8803418803418808
ACC WBB,Clemson,2022-2023,17.727272727272727,15.894736842105264,20.2,-1.832535885167463
ACC WBB,Clemson,2023-2024,19.666666666666668,13.076923076923077,16,-6.589743589743591
ACC WBB,Duke,2017-2018,15.384615384615385,12.944444444444445,13.5,-2.4401709401709404
ACC WBB,Duke,2018-2019,16.857142857142858,13.9375,NA,-2.9196428571428577
ACC WBB,Duke,2019-2020,16.5,14.9375,NA,-1.5625
ACC WBB,Duke,2020-2021,NA,13,NA,NA
ACC WBB,Duke,2021-2022,15.692307692307692,13.941176470588236,NA,-1.7511312217194561
ACC WBB,Duke,2022-2023,16.384615384615383,16.875,16.75,0.49038461538461675
ACC WBB,Duke,2023-2024,19.333333333333332,16.833333333333332,NA,-2.5
ACC WBB,Florida State,2017-2018,17.625,14.176470588235293,NA,-3.4485294117647065
ACC WBB,Florida State,2018-2019,17.357142857142858,16.526315789473685,NA,-0.8308270676691727
ACC WBB,Florida State,2019-2020,16.533333333333335,15.117647058823529,NA,-1.415686274509806
ACC WBB,Florida State,2020-2021,18.125,16.3,14,-1.8249999999999993
ACC WBB,Florida State,2021-2022,16.375,15.466666666666667,NA,-0.9083333333333332
ACC WBB,Florida State,2022-2023,18.75,15.333333333333334,17.833333333333332,-3.416666666666666
ACC WBB,Florida State,2023-2024,15.428571428571429,14.25,16.333333333333332,-1.1785714285714288
ACC WBB,Georgia Tech,2017-2018,20.846153846153847,18.047619047619047,NA,-2.7985347985347993
ACC WBB,Georgia Tech,2018-2019,20.384615384615383,18.470588235294116,NA,-1.9140271493212673
ACC WBB,Georgia Tech,2019-2020,14.416666666666666,14.789473684210526,NA,0.3728070175438596
ACC WBB,Georgia Tech,2020-2021,16,13.846153846153847,12,-2.1538461538461533
ACC WBB,Georgia Tech,2021-2022,13.6,12.941176470588236,NA,-0.6588235294117641
ACC WBB,Georgia Tech,2022-2023,16.833333333333332,14.714285714285714,18.75,-2.1190476190476186
ACC WBB,Georgia Tech,2023-2024,14.428571428571429,14.615384615384615,17.5,0.18681318681318615
ACC WBB,Louisville,2017-2018,18.642857142857142,16.454545454545453,16.666666666666668,-2.188311688311689
ACC WBB,Louisville,2018-2019,18.5,15.363636363636363,NA,-3.1363636363636367
ACC WBB,Louisville,2019-2020,17.533333333333335,14.235294117647058,NA,-3.298039215686277
ACC WBB,Louisville,2020-2021,18.555555555555557,16.11764705882353,15.25,-2.437908496732028
ACC WBB,Louisville,2021-2022,16.333333333333332,15.631578947368421,NA,-0.7017543859649109
ACC WBB,Louisville,2022-2023,17.466666666666665,16.071428571428573,21,-1.395238095238092
ACC WBB,Louisville,2023-2024,20.857142857142858,15.166666666666666,21.666666666666668,-5.690476190476192
ACC WBB,Miami (FL),2017-2018,19.09090909090909,18.05,25,-1.0409090909090892
ACC WBB,Miami (FL),2018-2019,18.166666666666668,16.545454545454547,NA,-1.621212121212121
ACC WBB,Miami (FL),2019-2020,20.6,17.65,NA,-2.950000000000003
ACC WBB,Miami (FL),2020-2021,14.9,16.25,NA,1.3499999999999996
ACC WBB,Miami (FL),2021-2022,17.4,16.42105263157895,NA,-0.9789473684210499
ACC WBB,Miami (FL),2022-2023,17.333333333333332,16.77777777777778,16.8,-0.5555555555555536
ACC WBB,Miami (FL),2023-2024,18.166666666666668,15.384615384615385,18,-2.782051282051283
ACC WBB,NC State,2017-2018,14.857142857142858,15.3,10,0.44285714285714306
ACC WBB,NC State,2018-2019,13.076923076923077,11.571428571428571,NA,-1.5054945054945055
ACC WBB,NC State,2019-2020,13.25,12,NA,-1.25
