"team","in_out","player","height","year","position","hometown"
"Baylor","out","Lety Vasconcelos","6-7","FR","center","Miguel Calmon, Bahia, Brazil"
"Bellarmine","out","Aly Avrach","5-8","SO","shooting guard","Boca Raton, FL"
"Bellarmine","out","Jayla Butler","5-5","SO","guard","Milwaukee, WI"
"Bellarmine","out","Gracie Merkle","6-6","SO","center","Mt. Washington, KY"
"Bethune-Cookman","out","Kerrighan Dunn","5-9","JR","guard","Texarkana, TX"
"Bethune-Cookman","out","D'Shantae Edwards","5-7","SO","shooting guard","Dallastown, PA"
"Bethune-Cookman","out","O'Mariyah Tucker","5-10","SR","wing","Ocala, FL"
"Bethune-Cookman","out","Nia Jordan","6-1","SR","wing","Philadelphia, PA"
"Binghamton","out","Elena Delicado","6-1","RS JR","forward","Madrid, Spain"
"Binghamton","out","Anna Long","5-9","SO","guard","Miamisburg, OH"
"Binghamton","out","Ella Okubasu","6-2","SO","forward","Toronto, ON"
"Binghamton","out","Ella Wanzer","5-10","RS SO","shooting guard","Buffalo, NY"
"Boise State","out","Kaitlin Burgess","5-8","RS SR","shooting guard","Auckland, New Zealand"
"Boise State","out","Sydney McQuietor","6-2","SR","forward","Keller, TX"
"Boston College","in","Kennedi Jackson","6-4","RS SR","center","New Orleans, LA"
"Boston College","out","Jayda Johnson","6-1","guard","West Haven, CT"
"Boston College","out","JoJo Lacey","6-1","SR","wing","Douglassville, PA"
"Boston College","out","Ally VanTimmeren","6-3","JR","forward","Allendale, MI"
"Boston University","out","Sophie Beneventine","5-8","SR","guard","Basking Ridge, NJ"
"Boston University","out","Kelsi Mingo","5-8","SR","guard","Boca Raton, FL"
"Boston University","out","Caitlin Weimar","6-4","SR","center","Cortlandt Manor, NY"
"Bowling Green","out","Abbie Riddle","5-11","FR","guard","Baltimore, OH"
"Bowling Green","out","Jaci Tubergen","5-11","SO","point guard","Hudsonville, MI"
"Bradley","out","Reagan Barkema","5-11","SO","wing","Story City, IA"
"Bradley","out","Isis Fitch","6-0","SR","forward","Homewood, IL"
"Bradley","out","Halli Poock","5-4","FR","point guard","Waterloo, IA"
"Bradley","out","Daija Powell","6-1","SR","forward","Tyrone, GA"
"Bradley","out","Alex Rouse","5-8","JR","combo guard","Little Rock, AR"
"Bradley","out","Armoni 'Moni' Strozier","6-0","FR","forward/center","Flint, MI"
"Bradley","out","Callie Ziebell","6-2","JR","forward","Sparta, WI"
"BYU","out","Rose Bubakar","6-0","JR","wing","Frederick, MD"
"BYU","out","Nani Falatea","5-9","JR","point guard","Salt Lake City, UT"
"BYU","out","Ali'a Matavao","6-0","FR","forward","Las Vegas, NV"
"Brown","out","Charlotte Jewell","5-7","SR","point guard","Alexandria, VA"
"Brown","out","Kyla Jones","5-9","SR","guard","Chicago, IL"
"Brown","out","Mya Murray","6-2","SR","forward","Uniontown, PA"
"Bryant","in","Ali Brigham","6-4","SR","center","Franklin, MA"
"Bryant","in","Maranda Nyborg","6-3","SR","center","Bethel, CT"
"Bryant","in","Mimi Rubino","5-7","SR","point guard","Pequannock, NJ"
"Bryant","out","Megan Bodziony","5-10","SR","shooting guard/wing","Wakefield, RI"
"Bryant","out","Breya Busby","5-5","RS SO","point guard","Orlando, FL"
"Bryant","out","Lucie Castagne","5-4","SR","point guard","Paris, France"
"Bryant","out","Kemari Reynolds","5-7","SR","point guard","Manchester Township, NJ"
"Bryant","out","Alana Scott","5-8","FR","shooting guard/wing","Groveland, MA"
"Bryant","out","Mariona Planes Fortuny","6-3","SR","forward/center","Bellpuig, Spain"
"Bucknell","out","Nicole Davis","6-4","SR","forward","Richmond, VA"
"Bucknell","out","Julie Kulesza","5-9","SR","guard","Wilmington, DE"
"Bucknell","out","Blake Matthews","5-4","SO","point guard","Houston, TX"
"Bucknell","out","Rosie Scognamiglio","5-10","FR","shooting guard","Bradley Beach, NJ"
"Bucknell","out","Grace Sullivan","6-4","SO","center","Antioch, IL"
"Bucknell","out","Emma Theodorsson","6-1","SO","wing","Moon Township, PA"
"Buffalo","in","Noelani Cornfield","5-6","SR","point guard","Gowanda, NY"
"Buffalo","in","Jaylin Hartman","6-2","FR","forward","Mendham, NJ"
"Buffalo","out","Katie Burton","5-9","JR","guard","Fishers, IN"
"Buffalo","out","Chanteese Craig","6-2","JR","center","Fort Wayne, IN"
"Buffalo","out","Hattie Ogden","6-2","SO","wing/forward","Magrath, Alberta"
"Buffalo","out","Ella Take","5-11","FR","wing/forward","Kingston, ON"
"Buffalo","out","Jessica Wangolo","5-7","FR","point guard","Ottawa, ON"
"Butler","out","Anna Mortag","6-1","SR","wing","Milwaukee, WI"
"Butler","out","Abby Stoddard","6-1","SR","wing","Crown Point, IN"
"Butler","out","Kendall Wingler","5-10","SR","guard","Ekron, KY"
"Cal","out","Ornela Muca","5-7","SR","combo guard","Athens, Greece"
"UC Irvine","in","Summah Hanson","6-2","FR","forward","Brisbane, Australia"
"UC Irvine","out","Caiyle Kaupu","6-0","SR","forward","Holualoa, HI"
"UC Irvine","out","Nevaeh Parkinson","6-3","SR","center","Dallas, TX"
"UC Irvine","out","Tarryn Ross","5-10","SR","wing/forward","Garden Grove, CA"
"Cal Poly","out","Jordan Hoffman","5-7","FR","combo guard","Weatherford, OK"
"Cal Poly","out","Diamond Richardson","5-9","JR","combo guard","Sacramento, CA"
"UC Santa Barbara","out","Bella Barrett","6-0","FR","center","Buckeye, AZ"
"UC Santa Barbara","out","Laurel Rockwood","6-4","RS SO","center","Henderson, NV"
"UC Santa Barbara","out","Alexis Whitfield","6-2","SR","forward","West Hills, CA"
"Cal State Bakersfield","in","Madelynn Muniz","5-10","FR","guard","Phoenix, AZ"
"Cal State Bakersfield","out","Julia Riley","6-1","SO","wing","Granite Bay, CA"
"Cal State Bakersfield","out","Sophia Tougas","6-0","RS SO","guard","Glens Falls, NY"
"Cal State Fullerton","out","Hope Hassmann","5-8","FR","point guard","Maple Valley, WA"
"Cal State Fullerton","out","Ashlee Lewis","6-1","SR","center","Cerritos, CA"
"Cal State Fullerton","out","Brielle Minor","5-9","FR","point guard","Los Angeles, CA"
"Cal State Fullerton","out","Allysan Tse","5-8","SO","shooting guard","Pasasdena, CA"
"Cal State Northridge","out","Laney Amundsen","6-1","RS JR","forward","Fresno, CA"
"Cal State Northridge","out","Kaitlyn Elsholz","5-11","FR","wing","Peoria, AZ"
"Cal State Northridge","out","Amiyah Ferguson","5-7","FR","combo guard","St. Stephen, SC"
"Cal State Northridge","out","Rachel Harvey","5-7","RS JR","point guard","San Francisco, CA"
"Cal State Northridge","out","Talo Li-Uperesa","5-11","RS JR","wing","San Francisco, CA"
"Cal State Northridge","out","Alondra Lizama","5-10","FR","wing","North Hollywood, CA"
"Cal State Northridge","out","Arina Nikishina","6-6","SR","center","Saint Petersburg, Russia"
"Cal State Northridge","out","Kayanna Spriggs","6-2","JR","forward/center","San Diego, CA"
"Campbell","out","Christabel Ezumah","6-2","SR","forward/center","Sugar Hill, GA"
"Campbell","out","Sarah Hammack Fitzgerald","6-3","SR","center","Chesapeake, VA"
"Canisius","out","Sisi Eleko","6-2","SO","forward","Montreal, Quebec"
"Canisius","out","Jane McCauley","5-9","GR","shooting guard","New Rochelle, NY"
"Central Arkansas","out","Kierra Prim","5-9","SR","wing","Overland Park, KS"
"Central Arkansas","out","Fatime Seck","6-0","FR","wing","El Paso, TX"
"Central Connecticut","out","Tatiana Brown","6-2","SO","center","Virginia Beach, VA"
"Central Connecticut","out","Ally Sentance","5-9","SO","combo guard","Thorold, ON"
"Central Connecticut","out","Samora Watson","5-6","SO","point guard","League City, TX"
"UCF","out","Sierra Godbolt","5-6","SO","point guard","Orlando, FL"
"UCF","out","Anzhaně Hutton","6-0","SR","forward","Dallas, TX"
"UCF","out","Jayla Kelly","6-3","SR","center","Chesterfield, MO"
"UCF","out","Mary McMillan","5-6","SR","point guard","Apopka, FL"
"UCF","out","Morgan Robinson-Nwagwu","5-8","GR","shooting guard","Atlanta, GA"
"UCF","out","Timia Ware","5-6","JR","point guard","Chicago, IL"
"Central Michigan","out","Alexis Boyke","6-0","FR","forward","Frankenmuth, MI"
"Central Michigan","out","Capria Brown","5-10","RS JR","guard","Danville, IL"
"Central Michigan","out","Madisen Wardell","6-0","SO","forward","Detroit, MI"
"Charleston","out","Zoe McCrary","6-2","SR","forward","Allen, TX"
"Charleston","out","Jaila Roberts","5-6","RS SR","point guard","Cantonment, FL"
"Charleston Southern","out","Kennedi Jackson","6-4","RS SR","center","New Orleans, LA"
"Charlotte","out","Aylesha Wade","5-6","JR","point guard","Clover, SC"
"Charlotte","out","Jewel Watkins","5-10","SO","shooting guard/wing","Columbus, OH"
"Chattanooga","out","Joiya Maddox","6-0","SR","shooting guard","Hoover, AL"
"Chattanooga","out","Khyla Wade-Warren","6-2","RS JR","forward","Selmer, TN"
"Chattanooga","out","Lamiah Walker","5-11","JR","shooting guard/wing","Chattanooga, TN"
"Chicago State","out","ZiKeyah Carter","6-6","JR","center","Waverly Hall, GA"
"Chicago State","out","Che'mya Carouthers","5-10","JR","guard","Tupelo, MS"
"Chicago State","out","Whitney Dunn","5-9","SO","guard","Chicago, IL"
"Chicago State","out","Princess Hester","6-1","SO","forward","Spring Hill, FL"
"Chicago State","out","Claire Simmons","5-10","JR","wing","Louisville, KY"
"Chicago State","out","Laura Segues","5-10","SR","wing","Castelloli, Spain"
"Cincinnati","in","Nia Clark","5-9","GR","guard","Indianapolis, IN"
"Cincinnati","out","Ta'Ziah Jenks","6-0","RS JR","wing","Louisville, KY"
"Cincinnati","out","Braylyn Milton","5-11","JR","guard","Charlotte, NC"
"Clemson","in","Summah Evans","6-0","SR","wing/forward","Cairns, Australia"
"Clemson","out","Maddi Cluse","5-10","JR","wing","Sagamore Hills, OH"
"Clemson","out","MaKayla Elmore","6-3","JR","forward","Fostoria, OH"
"Clemson","out","Madi Ott","5-10","JR","combo guard","Frisco, TX"
"Clemson","out","Nya Valentine","5-3","JR","point guard","Mobile, AL"
"Clemson","out","Ruby Whitehorn","5-11","SO","shooting guard","Detroit, MI"
"Cleveland State","out","Faith Burch","6-1","RS SO","forward","Warren, OH"
"Coastal Carolina","in","Savannah Brooks","5-9","SO","shooting guard","Taneytown, MD"
"Coastal Carolina","in","Kristin Williams","5-8","JR","shooting guard","San Diego, CA"
"Coastal Carolina","out","Tiara Abron","5-8","JR","guard","Senatobia, MS"
"Coastal Carolina","out","Arielle-Vadrelle Belinga","6-3","JR","forward/center","Riverdale, GA"
"Coastal Carolina","out","Arin Freeman","5-7","JR","combo guard","Little Rock, AR"
"Coastal Carolina","out","Maelyn McNealy","5-8","FR","guard","Knoxville, TN"
"Coastal Carolina","out","Kendahl Spearman","5-7","FR","point guard","Greenville, SC"
"Colgate","out","Tiasia McMillan","6-0","SR","forward","Seffner, FL"
"Colorado","out","Jadyn Atchison","6-1","FR","guard","Cedar Hill, TX"
"Colorado","out","Mikayla Johnson","6-1","RS FR","shooting guard/wing","Anchorage, AK"
"Colorado","out","Ruthie Loomis-Goltl","6-3","FR","forward/center","Bridgeport, NE"
"Colorado","out","Brianna McLeod","6-3","SO","forward/center","Brampton, ON"
"Colorado","out","Shelomi Sanders","5-6","RS FR","shooting guard","Rockwall, TX"
"Colorado","out","Lele Tanuvasa","6-0","FR","shooting guard","Eureka, CA"
"Colorado State","out","Cali Clark","6-3","SR","forward","Centennial, CO"
"Columbia","out","Mary Lobon","6-1","SR","forward","Valencia, Spain"
"Columbia","out","Nicole Stephens","5-7","SR","combo guard","Pickerington, OH"
"UConn","out","Inês Bettencourt","5-9","SO","point guard","São Miguel, Portugal"
"UConn","out","Amari DeBerry","6-6","JR","forward/center","Williamsville, NY"
"Cornell","out","Mia Beam","5-8","SR","shooting guard","Louisville, KY"
"Cornell","out","Kaya Ingram","5-8","SR","point guard","Albuquerque, NM"
"Creighton","out","Brittany Harshaw","6-1","RS FR","forward","Andover, KS"
"Creighton","out","McKayla Miller","6-1","FR","wing","Cimmarron, KS"
"Creighton","out","Emma Ronsiek","6-1","SR","forward","Sioux Falls, SD"
"Dartmouth","out","Mekkena Boyd","5-8","SR","guard","Williston, VT"
"Dartmouth","out","Mia Curtis","5-9","SR","shooting guard","Minneapolis, MN"
"Dartmouth","out","Carrington Washburn","6-0","SR","wing","Brentwood, TN"
"Davidson","out","Elle Sutphin","6-3","RS SR","forward/center","Pilot Mountain, NC"
"Dayton","out","Anyssa Jones","5-10","SR","guard","Westerville, OH"
"Dayton","out","Taisiya Kozlova","6-1","SR","wing","Moscow, Russia"
"Dayton","out","Riley Rismiller","6-4","FR","center","Coldwater, OH"
"Delaware","out","Darrionna Howard","6-0","FR","forward","Smithfield, NC"
"Delaware","out","Nakiyah Mays-Prince","5-5","SO","point guard","Chicago, IL"
"Delaware","out","Mia Yanogacio","5-7","JR","point guard","Somerset, NJ"
"Delaware State","out","Savannah Brooks","5-9","SO","shooting guard","Taneytown, MD"
"Delaware State","out","Deyonce Thompson","5-10","SO","wing","Grand Rapids, MI"
"Delaware State","out","Naomi Zulueta","5-7","SO","wing","Lancaster, PA"
"Denver","out","Joclyen Wyatt","5-8","JR","combo guard","Tacoma, WA"
"Detroit Mercy","out","Amaya Burch","5-9","SO","shooting guard","Sicklerville, NJ"
"Detroit Mercy","out","Lucia Fleta Robles","5-7","SR","point guard","San Cristobal de La Laguna, Spain"
"Detroit Mercy","out","Kamari Forrest","5-10","FR","shooting guard/wing","Saginaw, MI"
"Detroit Mercy","out","Irene Murua","6-0","SR","forward","Arrasate, Spain"
"Detroit Mercy","out","Emma Trawally Porta","6-0","JR","forward","Tiana, Spain"
"Drake","out","Hannah Nilges","5-7","JR","guard","Jefferson City, MO"
"Drexel","out","Momo LaClair","5-10","JR","combo guard","Syracuse, NY"
"Duquesne","out","Naelle Bernard","5-5","SR","point guard","Paris, France"
"Duquesne","out","Tess Myers","5-9","SR","shooting guard","Lower Burrell, PA"
"East Carolina","out","Jaedyn Cook","6-2","FR","forward","Richmond, VA"
"East Carolina","out","Karina Gordon","5-9","FR","combo guard","Hallandale Beach, FL"
"East Tennessee State","out","Jaileyah Cotton","5-6","SO","point guard","Bardstown, KY"
"East Tennessee State","out","Meleah Kirtner","5-10","JR","guard","Wytheville, VA"
"East Tennessee State","out","Journee McDaniel","5-9","SO","shooting guard","New Bern, NC"
"East Tennessee State","out","Samiah Puckett","6-3","FR","forward/center","Griffin, GA"
"East Tennessee State","out","Lyndie Ramsey","5-8","FR","guard","Elizabethton, TN"
"East Tennessee State","out","Sarah Thompson","5-7","JR","shooting guard","Gate Ctiy, VA"
"Eastern Illinois","out","Julia Bengtson","5-8","JR","guard","Becker, MN"
"Eastern Illinois","out","Miah Monahan","5-8","JR","point guard","Silver Lake, MN"
"Eastern Illinois","out","Taris Thornton","6-0","JR","wing","Chicago, IL"
"Eastern Kentucky","out","Brie Crittendon","5-10","RS SO","guard","Ryle, KY"
"Eastern Michigan","out","Lachelle Austin","5-7","JR","point guard","Redford, MI"
"Eastern Michigan","out","Nia Boston","5-6","JR","guard","Stockton, CA"
"Eastern Michigan","out","Tayra Eke","6-3","JR","center","Madrid, Spain"
"Eastern Michigan","out","Treasure Thompson","6-2","RS JR","forward","Joliet, IL"
"Eastern Washington","in","Peyton Howard","5-9","SR","guard","Spokane, WA"
"Eastern Washington","out","Aaliyah Alexander","5-8","RS JR","combo guard","Federal Way, WA"
"Eastern Washington","out","Jaleesa Lawrence","5-10","JR","wing","Meridian, ID"
"Eastern Washington","out","Devynn Warns","5-7","JR","shooting guard","Renton, WA"
"Eastern Washington","out","Andie Zylak","5-7","JR","point guard","Spokane, WA"
"Elon","out","Ajia James","6-1","SR","wing","Stafford, VA"
"Evansville","out","Sydney Bradley","5-10","FR","guard","St. Louis, MO"
"Evansville","out","Kynidi Mason Striverson","5-8","SO","point guard","Sellersburg, IN"
"Evansville","out","Lexie Sinclair","5-8","FR","guard","Carol Stream, IL"
"Evansville","out","Nevaeh Thomas","6-1","FR","wing/forward","Kenosha, WI"
"Fairfield","out","MacKenzie Daleba","5-11","SR","wing","Dorchester, MA"
"Fairfield","out","Kate Peek","5-9","SO","shooting guard","Poughkeepsie, NY"
"Fairfield","out","Mimi Rubino","5-7","SR","point guard","Pequannock, NJ"
"Fairfield","out","Dayna Tirado","6-1","SR","forward","Closter, NJ"
"Fairleigh Dickinson","out","Ciera Cevallos","5-6","FR","point guard","Maplewood, NJ"
"Florida","out","Alberte Rimdal","5-9","JR","combo guard","Køge, Denmark"
"Florida A&M","out","Hailee Brennen","6-3","SO","forward/center","Debary, FL"
"Florida Atlantic","in","Stefanie Ingram","5-7","RS FR","combo guard","Orlando, FL"
"Florida Atlantic","out","Kayana Armbrister","6-0","FR","wing","Boston, MA"
"Florida Atlantic","out","Dyllan Hanna","6-2","SO","center","St. Augustine, FL"
"Florida Atlantic","out","Aniya Hubbard","5-8","SO","wing","Hoover, AL"
"Florida Atlantic","out","Devyn Scott","5-8","SR","combo guard","Montgomery, NY"
"Florida Atlantic","out","Allie Tylka","6-0","GR","wing","Island Lake, IL"
"Florida Atlantic","out","Carlie Vick","6-2","SO","forward","St. Albans, MO"
"Florida Gulf Coast","out","Ashley Baez","5-6","JR","shooting guard","Santo Domingo, Dominican Republic"
"FIU","out","Aileen Marquez","5-8","JR","shooting guard","Puebla, Mexico"
"FIU","out","Courtney Turner","5-10","SR","forward","Smyrna, DE"
"Florida State","out","Lucía Navarro","6-0","FR","wing/forward","Valencia, Spain"
"Florida State","out","Sakyia White","6-1","JR","forward","Tuscaloosa, AL"
"Fordham","out","Cassidy Mahaney","5-8","FR","shooting guard","Frederick, MD"
"Fordham","out","Maranda Nyborg","6-3","SR","center","Bethel, CT"
"Fresno State","in","Saga Ukkonen","5-9","JR","point guard","Helsinki, Finland"
"Fresno State","out","Sydney Dethman","6-2","JR","forward","Froid, MT"
"Fresno State","out","Bineta Diatta","6-1","JR","forward","Saly, Senegal"
"Fresno State","out","Maria Doreste","5-8","SO","guard","Las Palmas de Gran Canaria, Spain"
"Fresno State","out","Deajanae Harvey","5-6","SR","combo guard","San Diego, CA"
"Fresno State","out","Tamia Stricklin","6-0","RS SO","wing","Renton, WA"
"Fresno State","out","Franka Wittenberg","5-9","SO","point guard","Hildesheim, Germany"
"Furman","out","Evie DePetro","5-9","SR","shooting guard","Knoxville, TN"
"Furman","out","Nia Johnson","5-8","GR","guard","Sacramento, CA"
"Furman","out","Ella Riggs","5-9","SO","guard","Cincinnati, OH"
"Gardner-Webb","out","Ramatoulaye Keita","5-11","GR","forward","Bamako, Mali"
"Gardner-Webb","out","Trinity Moreland","6-2","SO","forward","Charlotte, NC"
"Gardner-Webb","out","Grace Pack","6-2","SO","center","Midlothian, VA"
"Gardner-Webb","out","Cecilee Silver","5-8","SO","guard","Asheville, NC"
"George Mason","in","Louis Volker","6-1","FR","center","Purcellville, VA"
"George Mason","out","Taylor Jameson","5-6","SR","guard","Wichita, KS"
"George Mason","out","Amy O'Hara","6-3","SO","forward","Hoppers Crossing, Victoria, Australia"
"George Mason","out","Carmen Williams","5-10","JR","wing","Voorhees, NJ"
"George Washington","out","Asjah Inniss","5-9","SR","combo guard","Duluth, GA"
"George Washington","out","Jaylin Hartman","6-2","FR","forward","Mendham, NJ"
"Georgetown","out","Mayla Ham","5-11","FR","forward","Detroit, MI"
"Georgetown","out","Yasmin Ott","5-7","SR","point guard","Little Rock, AR"
"Georgia","out","Stefanie Ingram","5-7","RS FR","combo guard","Orlando, FL"
"Georgia","out","Zoesha Smith","6-1","SR","forward","Brunswick, GA"
"Georgia Southern","out","Lydia Freeman",,,"guard/forward","Snellville, GA"
"Georgia Southern","out","Eden Johnson",,,"wing/forward","Fayetteville, GA"
"Georgia Southern","out","Zaria Johnson",,,"guard","Greenwood, SC"
"Georgia Southern","out","Paris Miller",,,"guard","McDonough, GA"
"Georgia Southern","out","Constance Thomas",,,"wing/forward","Fayetteville, GA"
"Georgia Southern","out","Kayla Thomas",,,"wing/forward","Dublin, GA"
"Georgia Southern","out","Terren Ward",,,"wing/forward","Pooler, GA"
"Georgia State","out","Christeina Bryan",,,"wing/forward","Jonesboro, GA"
"Georgia State","out","Kamryn Dziak",,,"guard/wing","Cuyahoga Falls, OH"
"Georgia State","out","Alyssa Phillip",,,"guard","Lawrenceville, GA"
"Georgia Tech","out","Jada Bediako","6-3","FR","forward/center","Brampton, ON"
"Georgia Tech","out","Raeven Boswell","5-11","SO","guard","Austin, TX"
"Georgia Tech","out","Avyonce Carter","5-10","SR","wing","Norcross, GA"
"Georgia Tech","out","Anisa Clark","5-7","SR","shooting guard","McDonough, GA"
"Grambling State","in","Ja'Miyah Bryant","6-1","JR","forward","Pensacola, FL"
"Grambling State","in","Sharonica Hartsfield","5-5","SR","point guard","Oklahoma City, OK"
"Grambling State","in","Shaniah Nunn","6-0","SO","wing","Birmingham, AL"
"Grambling State","out","Deivejon Harris","6-2","JR","center","Bronx, NY"
"Grand Canyon","in","Kaitlyn Elsholz","5-11","FR","wing","Peoria, AZ"
"Grand Canyon","out","Naudia Evans","5-6","JR","point guard","Waynesville, MO"
"Hampton","out","Heaven Accimeus","5-8","SR","guard","Brooklyn, NY"
"Hampton","out","Camryn Hill","6-0","SR","wing","Dallas, TX"
