ncaa_id,game_id,date,start_time,location,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
725,13066,2/16/2022,7:00 PM,"Cotterell Court, Hamilton, NY",Colgate,13,0,Army West Point,8,0,"Brandon Appel,  Zoe Robbins,  Michael Henderson"
725,13046,11/24/2021,1:00 PM,"Christl Arena, West Point, NY",Army West Point,17,0,Air Force,24,0,"Ashlee Goode,  Nyesha Thompson,  Tom Danaher"
725,13050,12/8/2021,5:00 PM,"Chace Athletic Center, Smithfield, RI",Bryant,21,0,Army West Point,24,0,"Christian Peterson,  Paul Maiella,  Elizabeth Kuzmeski"
725,13051,12/28/2021,5:00 PM,"John J. Lee Amphitheater, New Haven, CT",Yale,14,0,Army West Point,15,0,"Kevin George,  Norma Jones,  Bruce Morris"
725,13047,11/26/2021,3:00 PM,"Christl Arena, West Point, NY",Army West Point,12,0,Maine,21,0,"Kevin Ruland,  Gina Catanzariti,  Norma Jones"
725,13437,3/7/2022,6:00 PM,"Case Gym, Boston, MA",Boston U.,17,1,Army West Point,19,0,"Corey Pothier,  Michael Motta,  Elizabeth Kuzmeski"
725,13067,2/19/2022,1:00 PM,"Christl Arena, West Point, NY",Army West Point,10,0,American,16,0,"Gary Schimel,  Katie Wood,  Corey Pothier"
37,20051,11/16/2021,7:00 PM,"Auburn Arena, Auburn, AL",Auburn,21,0,Alabama St.,23,1,"Kaz Beverley,  Ashlee Goode,  Luis Gonzalez"
37,20092,2/10/2022,7:00 PM,"Bud Walton Arena, Fayetteville, AR",Arkansas,11,1,Auburn,16,1,"Fatou Cissoko-Stephens,  Brian Hall,  Cameron Inouye"
37,20084,1/6/2022,7:00 PM,"Mizzou Arena, Columbia, MO",Missouri,15,0,Auburn,19,0,"Bill Larance,  Talisa Green,  Roy Gulbeyan"
37,20088,1/23/2022,3:00 PM,"Auburn Arena, Auburn, AL",Auburn,21,0,Alabama,17,0,"Metta Christensen,  Roy Gulbeyan,  Eric Brewton"
37,20089,1/27/2022,7:00 PM,"Auburn Arena, Auburn, AL",Auburn,14,0,Tennessee,18,0,"Fatou Cissoko-Stephens,  Bryan Enterline,  Dee Kantner"
37,20085,1/9/2022,4:00 PM,"Auburn Arena, Auburn, AL",Auburn,18,0,Lsu,16,0,"Ify Seales,  Saif Esho,  Denise Brooks"
37,20093,2/14/2022,6:00 PM,"Auburn Arena, Auburn, AL",Auburn,27,0,Florida,22,1,"Karleena Tobin,  Beverly Roberts,  Mark Zentz"
37,20050,11/14/2021,2:00 PM,"Chartway Arena, Norfolk, VA",Old Dominion,19,0,Auburn,27,0,"David Jenkins,  Bill Larance,  Meadow Overstreet"
37,20057,12/15/2021,7:00 PM,"Curb Event Center, Nashville, TN",Belmont,18,0,Auburn,12,0,"Nadi Cary,  Royce Blevins,  Kylie Galloway"
37,20094,2/17/2022,7:00 PM,"Colonial Life Arena, Columbia, SC",South Carolina,10,0,Auburn,11,0,"Timothy Greene,  Carla Fountain,  Billy Smith"
37,20082,1/25/2022,7:00 PM,"Auburn Arena, Auburn, AL",Auburn,15,0,Kentucky,16,0,"Meadow Overstreet,  Michael McConnell,  Felicia Grinter"
37,20083,1/2/2022,4:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,21,1,Auburn,20,0,"Saif Esho,  Maggie Tieman,  William Smith"
37,20095,2/20/2022,11:00 AM,"Auburn Arena, Auburn, AL",Auburn,21,0,Georgia,18,0,"Kristen Bell,  Douglas Knight,  Eric Brewton"
37,20060,11/21/2021,4:00 PM,"McCamish Pavilion, Atlanta, GA",Georgia Tech,18,0,Auburn,20,0,"Mark Resch,  Ed Sidlasky,  Denise Brooks"
37,20059,12/20/2021,12:00 PM,"Auburn Arena, Auburn, AL",Auburn,14,0,Kennesaw St.,16,0,"Eric Baker,  Fatou Cissoko-Stephens,  Billy Smith"
37,20096,2/24/2022,7:00 PM,"Auburn Arena, Auburn, AL",Auburn,15,0,Ole Miss,16,0,"Talisa Green,  Saif Esho,  Cameron Inouye"
37,20055,12/5/2021,2:00 PM,"Auburn Arena, Auburn, AL",Auburn,20,0,Oklahoma St.,22,0,"Bill Larance,  Beverly Roberts,  Bryan Enterline"
37,20106,3/2/2022,1:25 PM,"Bridgestone Arena, Nashville, TN",Alabama,22,0,Auburn,20,0,"Cameron Inouye,  Angelica Suffren,  Dee Kantner"
